GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Retailing,Internet & Catalog Retail,1-800-FLOWERS.COM,12.441,-47.728,-23.295,8.478,31.745,-40.863,-15.362,-8.512,-3.963,17.438,-1.719,-6.401,7.412,-28.7,5.049
Consumer Discretionary,Media,Media,4LICENSING CORP,43.323,-13.304,-25.733,16.424,16.623,-76.617,-17.076,6.806,-11.369,-9.882,0.574,-2.568,7.384,-8.655,-0.121
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,1.05,-8.802,7.753,-7.667,0.566,2.842,-3.975,8.479,12.468,-2.053,-3.154,,,,
Consumer Discretionary,Media,Media,A. H. BELO CORP,,,,,,,-0.919,-3.647,3.06,14.569,61.788,-28.851,-23.346,48.099,75.978
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,-4.243,0.508,50.766,-17.884,4.728,9.32,18.372,-10.925,9.242,-28.485,-5.982,,,,
Consumer Discretionary,Retailing,Specialty Retail,AARON'S INC,,-0.002,0.003,,1.178,1.108,1.834,-3.558,2.586,102.309,-37.663,104.235,-46.723,101.557,-227.542
Consumer Discretionary,Retailing,Specialty Retail,ABERCROMBIE & FITCH  -CL A,-10.327,30.083,223.371,13.018,293.995,-288.048,31.272,36.085,404.078,157.991,156.403,-242.858,60.01,-43.389,-79.408
Consumer Discretionary,Media,Media,ACCESS WORLDWIDE CMMNCTNS,-2.78,1.447,-1.176,-1.724,2.098,-0.815,1.081,-0.41,,,,,,,
Consumer Discretionary,Retailing,Internet & Catalog Retail,ACORN INTERNATIONAL INC -ADR,,,,,,18.741,5.359,107.999,-1.094,-4.696,-51.286,19.513,-20.205,-8.423,
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ADAMS GOLF INC,3.702,2.757,-3.634,4.524,6.232,-5.62,-1.275,1.793,-5.305,6.602,-5.838,11.492,,,
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE AUTO PARTS INC,-4.568,0.108,-4.232,-2.398,44.834,-15.538,-29.655,3.526,22.704,62.66,-40.809,-1.308,540.21,514.36,-1007.8
