Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Automobiles and Components,AMERICAN AXLE and MFG HOLDINGS,0.565,0.462,0.429,0.406,0.314,0.188,0.176,0.183,0.259,0.294,0.507,0.539,0.478,0.507,0.507,0.515
Automobiles and Components,AUTOLIV INC,0.224,0.196,0.268,0.277,0.225,0.203,0.183,0.25,0.231,0.255,0.321,0.22,0.128,0.109,0.096,0.089
Automobiles and Components,BORGWARNER INC,0.213,0.33,0.287,0.266,0.241,0.212,0.166,0.181,0.157,0.128,0.168,0.175,0.212,0.223,0.167,0.177
Automobiles and Components,COOPER TIRE and RUBBER CO,0.139,0.389,0.413,0.403,0.337,0.306,0.29,0.228,0.28,0.24,0.322,0.24,0.205,0.193,0.133,0.132
Automobiles and Components,DAIMLER AG,0.297,0.369,0.425,0.438,0.422,0.425,0.419,0.401,0.413,0.407,0.443,0.453,0.395,0.42,0.468,0.461
Automobiles and Components,DANA HOLDING CORP,0.337,0.373,0.409,0.404,0.367,0.322,0.245,0.358,0.047,0.047,0.224,0.198,0.186,0.17,0.176,0.317
Automobiles and Components,DELPHI AUTOMOTIVE PLC,0.226,0.096,0.172,0.18,0.143,0.155,0.18,0.199,0.22,0.26,0.41,0.038,0.026,0.23,0.242,0.218
Automobiles and Components,ENOVA SYSTEMS INC,5.464,1.969,1.129,0.802,0.566,0.745,0.636,0.108,0.087,0.066,0.071,0.062,0.076,0.144,0.435,2.389
Automobiles and Components,FEDERAL-MOGUL HOLDINGS CORP,0.394,0.381,0.418,0.032,0.046,0.043,0.039,0.079,0.071,0.335,0.397,0.401,0.387,0.402,0.408,0.362
Automobiles and Components,FORD MOTOR CO,0.559,0.553,0.584,0.608,0.58,0.59,0.591,0.569,0.618,0.603,0.706,0.68,0.631,0.558,0.551,0.568
Automobiles and Components,FORD MOTOR CO-PRE FASB,0.105,0.11,0.118,0.143,0.162,0.155,0.142,0.147,0.225,0.204,0.311,0.374,0.257,0.15,0.149,0.156
Automobiles and Components,FUEL SYSTEMS SOLUTIONS INC,0.225,0.286,0.147,0.159,0.188,0.234,0.3,0.1,0.095,0.074,0.042,0.047,0.027,0.022,0.002,0.001
Automobiles and Components,GENERAL MOTORS CO,0.444,0.48,0.478,0.513,0.545,0.606,0.626,0.604,0.259,0.298,0.511,0.116,0.084,0.096,0.107,0.218
