GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,"2,000.000","2,001.000","2,002.000","2,003.000","2,004.000","2,005.000","2,006.000","2,007.000","2,008.000","2,009.000","2,010.000","2,011.000","2,012.000","2,013.000","2,014.000","2,015.000","2,016.000"
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,0.125,0.249,0.429,0.211,0.223,0.278,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,0.127,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,0.05,0.079,0.074,0.057,0.035,0.024,0.255,0.222,0.183,0.325,0.236,0.178,0.11,0,0.001,0.263,0.232
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,0.988,NA,91,0,0,0,0.001,0.594,NA,NA,NA,NA,NA,NA,7,4.071,NA
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,0.224,NA
Consumer Discretionary,Retailing,Specialty Retail,2ND SWING INC-REDH,0.293,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,4LICENSING CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.013,0,0,NA
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,NA,NA,NA,NA,NA,NA,NA,0.516,0.347,0.062,0.002,0.12,0.083,NA,NA,NA,NA
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,0.16,0.023,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,0,0.005,0.004,0.003,0.001,0.011,0.012,0.012,0.001,0.001,0.001,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,A-MAX TECHNOLOGY -ADR -REDH,NA,NA,NA,0.611,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,A. H. BELO CORP,NA,NA,NA,NA,NA,NA,0.357,0.612,0.018,0,0,0,0,0,0,0,NA
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,0.011,0.026,0.009,0.002,0.097,0.086,0.073,0.067,0.099,0.072,0.08,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,AAI FOSTERGRANT INC,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
