GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,-4.287,-0.006,0.223,0.816,2.03,-1.624,1.256,,,,,,,,,,,7
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,0.101,0.063,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,12.441,-47.728,-23.295,8.478,31.745,-40.863,-15.362,-8.512,-3.963,17.438,-1.719,-6.401,7.412,-28.7,5.049,22.737,-0.114,17
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,0.101,-0.13,-0.015,0.013,2.588,0.058,3.283,-5.821,,,,,,,0.002,0.008,,10
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,,,,,,,,,,,,,,,0.495,-0.675,,2
Consumer Discretionary,Retailing,Specialty Retail,2ND SWING INC-REDH,0.094,-0.138,,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,4LICENSING CORP,43.323,-13.304,-25.733,16.424,16.623,-76.617,-17.076,6.806,-11.369,-9.882,0.574,-2.568,7.384,-8.655,-0.121,,,15
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,,,,,,,,,,,,4.967,-5.197,84.702,-9.47,-13.106,,5
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,-1.961,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,,,,,,,,23.461,15.334,8.427,7.186,16.597,-18.37,,,,,6
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,1.725,11.083,,,,,,,,,,,,,,,,2
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,-0.912,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,4.088,0.221,3.191,,,,,,,,,,,,,,,3
