GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Staples,Food Beverage & Tobacco,Tobacco,22ND CENTURY GROUP INC,,,,,,,,,,,,,-0.252,5.83,0.572,-2.642,,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,7-ELEVEN INC,56.319,-7.579,-4.834,63.662,-114.299,,,,,,,,,,,,,5
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,A.C. SIMMONDS & SONS INC,,,,,,,,,,,,,,-0.003,,,,1
Consumer Staples,Food Beverage & Tobacco,Food Products,ACTIVE HEALTH FOODS INC,,,,,,,,,,0.003,-0.003,0.001,0.003,,,,,4
Consumer Staples,Food Beverage & Tobacco,Food Products,ADECOAGRO SA,,,,,,,,,22.674,-18.554,-4.537,260.277,-111.737,13.338,-118.352,85.099,,8
Consumer Staples,Food Beverage & Tobacco,Food Products,ADVANCEPIERRE FOODS HOLDINGS,,,,,,,,,,,,,,,-0.193,4.408,,2
Consumer Staples,Household & Personal Products,Personal Products,AGE RESEARCH INC,,0,-0.002,0,,,,,,,,,,,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED ANIMAL NUTR-ADR-REDH,,,,,,,,,1.911,4.812,,,,,,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED INDUSTRIES INC,,,,,,,1.068,6.492,17.143,11.739,-25.18,,,,,,,5
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIA CORP -ADS,,,,,,1.049,1.748,184.297,-30.836,-64.305,-57.515,,11.195,16.767,-29.384,-4.072,-1.554,11
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIBRANDS INTERNATIONAL INC,-3.4,,,,,,,,,,,,,,,,,1
Consumer Staples,Household & Personal Products,Personal Products,AGRITECH WORLDWIDE INC,-5.251,-2.94,-0.507,1.261,-1.29,-0.068,0.672,1.762,-1.844,-0.268,2.002,-2.014,0.332,-0.201,0.584,-0.718,,16
Consumer Staples,Household & Personal Products,Personal Products,AIRWARE LABS CORP,,,,,,,,,,,,0,-0.191,0.019,0.023,,,4
Consumer Staples,Household & Personal Products,Personal Products,AKI HOLDING CORP,-5.857,3.496,-2.779,-0.405,,,,,,,,,,,,,,4
Consumer Staples,Household & Personal Products,Personal Products,ALBERTO-CULVER CO,58.706,87.333,15.515,152.663,-176.959,4.656,102.774,-113.403,352.27,24.443,-167.797,,,,,,,11
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSON'S INC,-188,28,101,127,-288,133,,,,,,,,,,,,6
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSONS COS INC  -REDH,,,,,,,,,,,,,,270,818.8,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,ALICO INC,1.056,4.429,3.915,6.212,7.947,-10.915,11.681,9.76,22.771,-35.576,-7.868,-9.59,11.992,11.255,6.196,-23.66,1.151,17
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKALINE WATER COMPANY INC,,,,,,,,,,,,,,-0.062,0.087,1.102,,3
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKAME HOLDINGS INC,,,,,,,,,,,,,,0.128,0.044,,,2
Consumer Staples,Household & Personal Products,Personal Products,ALLERGY RESEARCH GROUP INC,0.133,0.011,0.141,1.365,0.441,0.342,0.672,1.7,,,,,,,,,,8
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALLIANCE BOOTS PLC -ADR,65.984,2.28,95.214,-96.232,117.672,,,,,,,,,,,,,6
Consumer Staples,Food Beverage & Tobacco,Tobacco,ALLIANCE ONE INTL INC,5.798,-12.655,94.397,-70.113,10.309,-3.143,54.273,31.956,-24.549,42.073,-86.232,76.237,-27.717,142.716,-90.929,45.594,,16
Consumer Staples,Food Beverage & Tobacco,Beverages,ALLIED DOMECQ PLC  -ADR,,-162.512,-300.234,211.358,492.246,,,,,,,,,,,,,4
Consumer Staples,Household & Personal Products,Personal Products,ALTEROLA BIOTECH INC,,,,,,,,,,-0.096,-0.007,0,0,0.009,-0.009,0.003,,7
Consumer Staples,Food Beverage & Tobacco,Tobacco,ALTRIA GROUP INC,,-484,112,,,514,,,,,443,956,-370,275,146,-952,,16
Consumer Staples,Food Beverage & Tobacco,Beverages,AMBEV SA  -ADR,,794.403,82.778,22.28,35.706,-194.344,328.788,432.434,448.274,427.145,,,421.078,979.202,-721.003,,,15
