GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",3TEC ENERGY CORP,-1.705,13.326,-15.513,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ABLE ENERGY INC,-2.319,,-1.23,0.141,0.91,0.444,0.39,0.889,-0.009,,,,,,,,,8
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS ENERGY PARTNERS-REDH,,,,,,-1.242,0.001,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS PETROLEUM CORP/NV,-1.795,5.601,-2.723,-4.389,1.284,-1.242,0.001,18.893,-17.012,-0.063,-1.762,-0.099,2.061,3.144,-1.433,-0.232,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ACCESS MIDSTREAM PARTNERS LP,,,,,,,,,81.999,73.99,17.813,-17.794,64.972,-47.765,24.642,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ADAMS RESOURCES & ENERGY INC,12.003,-21.963,13.085,1.08,-8.4,-1.125,1.851,3.029,-5.489,-1.402,12.226,8.034,10.173,13.494,19.451,11.693,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ADINO ENERGY CORP,-0.012,,0.058,-0.049,,-0.009,0.014,0.077,-0.061,0.473,-0.217,0.097,-0.315,,,,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",ADVANTAGE OIL & GAS LTD,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",AEGEAN MARINE PETROLM NETWK,,,,,,4.322,74.823,-80.458,44.96,7.914,31.658,-17.917,8.664,-14.671,66.976,9.763,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AEMETIS INC,,,,,,,,,,,,,0.041,4.635,-4.594,-0.049,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA ENERGY CORP,,,,,,,,,,,,,-18.069,-5.964,-1.976,5.399,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA OIL CORP,,,,,,,,,,,64.98,33.433,162.617,221.034,-332.047,-56.957,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ALAMO ENERGY CORP,,,,,,,,,,,-0.24,0.035,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALBERTA ENERGY CO LTD,-16.006,37.548,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALL STAR GAS CORP,-0.891,0.077,0,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE BIOENERGY PLUS INC,,,,,,,,,,,,,,0.06,0.157,-0.144,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE HOLDINGS GP LP,,,,,21.015,0.887,4.997,-35.286,244.925,-222.347,317.876,-60.768,-250.358,67.264,-70.101,10.404,5.847,13
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE RESOURCE PTNRS  -LP,-1.067,2.243,-0.176,1.128,21.021,0.877,4.735,-35.671,243.757,-223.319,318.006,-66.034,-245.245,65.371,-69.053,8.83,6.351,17
Energy,Energy,Energy Equipment & Services,ALLIS-CHALMERS ENERGY INC,-0.143,0.148,-0.006,1.153,6.045,-5.424,37.825,3.948,-36.827,34.206,-20.132,,,,,,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",ALMA MARITIME LTD  -REDH,,,,,,,,,,0.076,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",ALON USA ENERGY INC,,,,1.842,56.101,73.463,-72.654,4.449,-50.161,21.983,31.25,85.379,-40.77,108.203,-9.538,19.166,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",ALON USA PARTNERS LP,,,,,,,,,,,19.239,115.593,-69.944,87.582,-47.258,26.628,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ALPHA NATURAL RESOURCES INC,,,8.357,2.802,-3.855,32.231,-6.366,21.109,621.825,-210.321,88.903,31.11,144.841,-111.079,121.542,-83.062,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",ALTEX INDUSTRIES INC,0.097,0.633,-0.272,-0.021,0.017,0.167,2.859,-0.543,-0.306,-0.327,-0.637,-0.743,0.268,-0.067,-0.086,-0.094,-0.133,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ALVOPETRO ENERGY LTD,,,,,,,,,,,,,,99.457,-59.348,-12.187,,3
Energy,Energy,Energy Equipment & Services,ALY ENERGY SERVICES INC,,,,,,,,,,,,,,-0.22,0.61,-1.553,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AMBER RESOURCES CO OF COLO,0.004,0.01,-0.014,0,0,,0,0,0,1.07,-0.095,-0.069,,,,,,11
Energy,Energy,Energy Equipment & Services,AMEC FOSTER WHEELER PLC -ADR,,,,,,,,,,,,,,-14.917,423.72,-228.563,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AMEN PROPERTIES INC,-0.369,-0.371,0.64,1.2,1.406,-2.043,2.353,-2.936,,2.42,-1.456,-1.476,-1.064,0.113,4.661,,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICA WEST RESOURCES INC,-0.005,,-0.002,0,0,0,0,0.5,-0.098,-0.113,0.02,0.033,,,,,,11
