GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Financials,Insurance,Insurance,1347 PROPERTY INS HLDGS INC,,,,,,,,,,,,,,9.482,38.632,-5.682,,3
Financials,Diversified Financials,Capital Markets,1ST PRESTIGE WEALTH MGMT INC,,0.003,-0.023,0,0.045,0.136,-0.1,,,,,,,,,,,6
Financials,Insurance,Insurance,21ST CENTURY INS GROUP,-37.794,21.669,76.988,-41.832,-30.313,33.971,-16.669,,,,,,,,,,,7
Financials,Diversified Financials,Capital Markets,21ST CENTURY TECHNOLOGIES,,-0.081,-0.007,1.796,,,,,,,,,,,,,,3
Financials,Diversified Financials,Capital Markets,A B WATLEY GROUP INC,-4.209,-4.582,-0.294,-0.172,0.142,,,,,,,,,,,,,5
Financials,Diversified Financials,Diversified Financial Services,A-MARK PRECIOUS METALS INC,,,,,,,,,,,,,1.896,10.292,-8.372,7.734,-3.785,5
Financials,Not Assigned,Real Estate Investment Trusts (REITs) - Discontinued Effective 08/31/2016,AAMES INVESTMENT CORP,-10.585,17.404,-10.192,6.469,-0.993,85.392,,,,,,,,,,,,6
Financials,Not Assigned,Real Estate,AAMES INVESTMENT CORP-OLD,,,,6.469,-0.993,,,,,,,,,,,,,2
Financials,Insurance,Insurance,ACCEPTANCE INSURANCE COS INC,-66.929,9.279,-4.176,10.195,,,,,,,,,,,,,,4
Financials,Banks,Thrifts & Mortgage Finance,ACCREDITED HOME LENDERS HLDG,-0.488,12.822,-3.49,15.819,8.036,9.559,128.399,,,,,,,,,,,7
Financials,Diversified Financials,Consumer Finance,ACE CASH EXPRESS INC,46.163,23.609,-12.922,-8.154,14.931,-13.611,43.222,,,,,,,,,,,7
Financials,Insurance,Insurance,ACMAT CORP  -CL A,0.392,5.338,5.94,18.963,-8.913,-14.045,-7.145,-1.346,6.316,-2.48,-3.016,2.909,-3.184,-1.304,0.312,-2.052,,16
Financials,Diversified Financials,Diversified Financial Services,ACTRADE FINL TECHNOLGIES LTD,4.225,32.731,,,,,,,,,,,,,,,,2
Financials,Banks,Thrifts & Mortgage Finance,ADFITECH INC,,,,,,,,,,,,,,-2.349,-2.175,,,2
Financials,Diversified Financials,Consumer Finance,ADVANCE AMER CASH ADVANCE CT,,,-11.377,3.809,7.74,9.035,39.986,-38.994,-12.234,22.172,-11.241,8.344,,,,,,10
Financials,Diversified Financials,Consumer Finance,ADVANTA CORP  -CL B,-4.068,19.236,-6.118,12.107,8.624,-1.456,0.946,55.173,-58.512,,,,,,,,,9
Financials,Diversified Financials,Diversified Financial Services,ADVEST GROUP INC,0.648,,,,,,,,,,,,,,,,,1
Financials,Not Assigned,Real Estate,AEGIS REALTY INC,-0.752,1.442,,,,,,,,,,,,,,,,2
Financials,Insurance,Insurance,AEGON NV  -ADR,-224.373,127.284,753.872,73.063,,-871.571,,,,,,,,,,,,16
Financials,Diversified Financials,Diversified Financial Services,AF OCEAN INVESTMENT MGMT CO,,,,,,,,,,,,,,0.167,-0.322,-0.187,,3
Financials,Diversified Financials,Capital Markets,AFFILIATED MANAGERS GRP INC,-22.267,41.815,-45.719,225.626,-84.005,0.146,61.306,21.225,173.477,-136.944,53.841,136.2,-19.1,39.2,81,13.2,,16
Financials,Insurance,Insurance,AFFIRMATIVE INS HOLDINGS INC,,,-4.468,13.1,8.738,23.941,4.447,-8.436,22.465,-5.585,-14.564,-17.805,9.617,6.393,-20.706,,,13
Financials,Insurance,Insurance,AFLAC INC,-7,243,527,-327,,,-94,360,-622,,-202,128,-208,502,,-308,,16
Financials,Diversified Financials,Capital Markets,AFP PROVIDA SA  -ADR,-0.33,-0.628,0.648,0.515,3.881,0.544,-1.218,-0.502,41.322,23.348,-7.196,-2.067,10.772,7.205,,,,14
Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),AG MORTGAGE INVESTMENT TRUST,,,,,,,,,,,,35.851,113.744,-63.405,-21.826,-18.11,,5
Financials,Diversified Financials,Diversified Financial Services,AGILITY CAPITAL INC,6.215,-3.742,,,,,,,,,,,,,,,,2
Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),AGNC INVESTMENT CORP,,,,,,,,,,146.791,-29.545,,,-287,-423,-610,,7
Financials,Diversified Financials,Capital Markets,ALCENTRA CAPITAL CORP,,,,,,,,,,,,,-0.796,-0.14,19.995,-5.156,,4
Financials,Insurance,Insurance,ALFA CORP,-2.174,5.749,-0.463,1.131,9.16,17.176,-0.011,-2.159,,,,,,,,,,8
Financials,Diversified Financials,Capital Markets,ALL MARKETING SOLUTIONS INC,,,,,,,,,,,,,,0,0,,,2
Financials,Insurance,Insurance,ALLCITY INSURANCE CO,-0.567,-0.041,0.011,,,,,,,,,,,,,,,3
Financials,Insurance,Insurance,ALLEGHANY CORP,-14.754,5.47,11.706,204.16,57.507,-106.998,20.875,-3.217,-39.521,14.401,44.215,8.008,564.775,-151.209,106.944,-129.992,,16
Financials,Diversified Financials,Capital Markets,ALLIANCEBERNSTEIN HOLDING LP,0,0,0,0,0,0.089,-0.089,0,0,0,0,0,0,0,0,0,,16
Financials,Diversified Financials,Capital Markets,ALLIANCEBERNSTEIN LP,,,,,,,,,,,35.975,-11.51,-11.499,-117.291,45.612,-14.02,,6
Financials,Insurance,Insurance,ALLIANZ SE  -ADR,262.488,,-243.252,,,,,,,,806.755,,,,,,,16
Financials,Diversified Financials,Capital Markets,ALLIED CAPITAL CORP,-15.706,-1.56,10.297,202.981,-157.007,-25.797,-29.676,1.853,46.862,-29.72,,,,,,,,10
Financials,Insurance,Insurance,ALLIED WORLD ASSURANCE CO AG,,,,,124.685,-18.359,194.438,-164.235,453.246,-363.64,464.807,-122.999,47.883,-149.943,57.403,18.7,,12
Financials,Insurance,Insurance,ALLSTATE CORP,-32,41,199,-96,48,-101,130,-21,-7,197,-50,214,30,-131,-18,-162,,16
Financials,Insurance,Insurance,ALLSTATE LIFE INSUR CO/NY,1.027,5.213,14.311,-10.955,-2.107,-4.806,3.272,0.266,-2.391,,,,,,,,,9
Financials,Insurance,Insurance,ALLSTATE LIFE INSURANCE CO,,,,,,,,,,,,,,-248,53,-42,,3
Financials,Diversified Financials,Consumer Finance,ALLY FINANCIAL INC,443.5,,,,,,-336,,,414,,,,,45,804,,16
Financials,Insurance,Insurance,ALPHASTAR INSURANCE GRP LTD,-9.348,-24.838,,,,,,,,,,,,,,,,2
Financials,Insurance,Insurance,ALTERRA CAPITAL HOLDINGS LTD,-277.511,70.691,-6.219,109.412,37.673,74.843,127.864,-44.239,551.748,-247.126,203.328,17.238,-29.179,,,,,13
Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),ALTISOURCE RESIDENTIAL CORP,,,,,,,,,,,,,,15.983,-49.822,50.536,,3
Financials,Not Assigned,Real Estate Investment Trusts (REITs) - Discontinued Effective 08/31/2016,AMB PROPERTY CORP,-12.954,52.713,16.261,38.346,-18.286,123.489,-58.118,45.461,3.712,-36.767,11.255,,,,,,,11
Financials,Insurance,Insurance,AMBAC FINANCIAL GROUP INC,31.84,31.152,-50.764,-1.367,-4.582,8.338,4.249,92.065,-16.122,5.419,-102.582,6.502,27.838,33.533,-3.467,-38.159,,16
Financials,Insurance,Insurance,AMCOMP INC,,,,40.284,-17.889,-27.064,4.17,15.432,,,,,,,,,,5
Financials,Banks,Thrifts & Mortgage Finance,AMER BUSINESS FINL SVCS INC,47.356,21.341,17.507,-61.124,-33.258,,,,,,,,,,,,,5
Financials,Insurance,Insurance,AMER COUNTRY HOLDINGS INC,11.817,-10.017,,,,,,,,,,,,,,,,2
Financials,Banks,Thrifts & Mortgage Finance,AMER INSD MTG SER 85  -LP,-18.093,-1.265,6.082,0.897,-10.725,,,,,,,,,,,,,5
Financials,Banks,Thrifts & Mortgage Finance,AMER INSD MTG SER 86  -LP,-4.328,-15.181,2.718,,,,,,,,,,,,,,,3
Financials,Banks,Thrifts & Mortgage Finance,AMER INSD MTG SER 88  -LP,-1.807,-1.98,-0.385,,,,,,,,,,,,,,,3
Financials,Banks,Thrifts & Mortgage Finance,AMER INSURED MTG INVS  -LP,-0.415,-0.033,1.718,,,,,,,,,,,,,,,3
