GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Health Care,Health Care Equipment & Services,Health Care Providers & Services,21ST CENTURY ONCOLOGY HLDGS,,,,-1.688,2.413,3.961,6.433,,38.858,-16.21,-18.981,-3.8,5.233,2.052,81.954,-33.871,,12
Health Care,Health Care Equipment & Services,Health Care Providers & Services,24/7 KID DOC INC,-0.049,-0.071,0,0.161,0.275,0.05,0.062,0.948,-0.801,0.022,0.025,-0.154,-0.013,-0.014,-0.199,,,15
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,3-DIMENSIONAL PHARMACEUTICAL,106.912,-95.038,,,,,,,,,,,,,,,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,3SBIO INC -ADR,,,,,,,-0.048,107.704,-54.495,-25.853,-16.593,14.707,32.864,,,,,7
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,4-D NEUROIMAGING,0.643,-0.905,-0.011,0.515,,,,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Technology,A D A M INC,-0.235,1.636,-0.658,2.334,-1.312,-0.426,3.566,0.979,-4.048,4.069,,,,,,,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,AAC HOLDINGS INC,,,,,,,,,,,,,0.607,1.272,46.528,-29.79,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AAIPHARMA INC,-0.763,5.146,0.161,2.253,-1.655,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABAXIS INC,-0.037,2.086,6.332,-1.106,-3.548,4.388,0.019,7.036,32.018,-21.38,15.614,2.372,9.067,18.679,33.426,-18.692,,16
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABBOTT LABORATORIES,306.121,-256.84,47.072,290.674,230.504,,,,,,,,,,588,938,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABBVIE INC,,,,,,,,,,,9.607,17.838,,,,51,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABEONA THERAPEUTICS INC,7.546,-0.989,-5.982,-0.717,1.048,-1.426,0.845,-1.035,-4.258,-2.07,6.426,-4.573,-2.064,0.028,11.096,28.618,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABGENIX INC,153.876,-67.579,108.311,-188.833,129.788,-117.482,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABIOMED INC,-11.455,-44.795,-1.095,-37.679,0.783,0.214,61.814,-67.604,-0.257,3.003,1.043,0.159,3.461,11.465,1.485,25.83,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ABLE LABORATORIES INC,0.063,0.781,0.646,18.264,-8.415,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABRAXIS BIOSCIENCE INC,,,,,,0.085,-1.766,704.6,-398.735,-103.078,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABVIVA INC,-0.127,-0.046,-0.226,-0.003,,0.029,-0.02,,,,,,,,,,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AC IMMUNE SA,,,,,,,,,,,,,,,-7.998,73.092,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACACIA DIVERSIFIED HLDGS INC,,,,,,0,0.001,0.202,-0.044,0.015,-0.01,-0.009,0.189,-0.188,,0.171,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACADIA HEALTHCARE CO INC,,,,,,,,,,,4.125,52.504,-11.719,-44.83,89.471,-82.825,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACADIA PHARMACEUTICALS INC,,,-1.057,1.855,1.994,1.494,5.684,1.507,4.184,-3.049,-11.273,0.04,51.01,-46.192,50.147,40.284,,14
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACAMBIS PLC  -ADR,-0.525,30.409,-14.774,91.886,-58.821,-54.658,,,,,,,,,,,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACASTI PHARMA INC,,,,,,,,,,,-0.093,1.285,-0.382,-0.47,0.508,1.269,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,ACCELERATE DIAGNOSTICS INC,0.102,-0.837,-0.891,0.081,-1.478,-1.669,-2.56,-1.611,-0.161,-0.371,-0.579,0.493,13.487,17.96,23.534,67.022,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCELERON PHARMA INC,,,,,,,,,,,,30.121,-25.426,73.552,63.297,-148.677,,5
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCELLENT INC,,,,,,,,,8.837,19.26,7.002,-1.929,21.044,,,,,5
Health Care,Health Care Equipment & Services,Health Care Technology,ACCELPATH INC,,,,,,,,,,,,-0.009,-0.034,-0.015,0.025,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCENTIA BIOPHARMACEUTICALS,,,,,0.239,0.859,12.628,-13.769,-0.484,-0.814,0.233,-0.138,-0.291,,,,,9
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESS PLANS USA INC,4.52,-0.786,1.856,5.477,-2.805,-2.022,-2.779,-0.521,,,,,,,,,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESSITY CORP,0.498,-0.637,0.643,-0.813,0.093,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCLARENT INC -REDH,,,,,,,-16.856,-7.704,,,,,,,,,,2
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCREDO HEALTH INC,4.662,44.316,-11.607,5.093,-5.263,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCRETIVE HEALTH INC,,,,,,,,,16.911,-7.997,111.914,41.152,-19.769,51.935,-83.724,-41.67,,8
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCUMED INTERNATIONAL INC,-0.196,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCURAY INC,,,,,,7.302,10.832,176.974,-167.894,-0.101,8.599,50.472,47.598,-70.191,19.033,-12.795,40.22,12
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACELITY HOLDINGS INC -REDH,-5.223,-1.94,54.286,101.579,-31.698,-0.983,-16.237,158.847,-18.226,15.39,53.446,,,,-23.408,,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACELRX PHARMACEUTICALS INC,,,,,,,,,3.061,1.078,-4.095,4.739,40.138,40.469,-28.363,47.884,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACETO CORP,-1.18,4.499,6.945,6.008,12.067,-3.38,13.782,-1.412,14.195,11.246,-26.911,-2.186,-3.802,8.369,9.666,-8.877,32.808,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACHAOGEN INC,,,,,,,,,,,,,-5.455,3.665,8.143,1.406,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACHILLION PHARMACEUTICALS,,,,,1.238,0.102,13.079,-13.691,2.089,-1.348,15.661,-9.263,2.416,14.931,40.207,8.061,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACLARA BIOSCIENCES INC,98.636,-77.916,7.036,-11.63,,,,,,,,,,,,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACLARIS THERAPEUTICS INC,,,,,,,,,,,,,,-9.455,1.169,-0.906,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACORDA THERAPEUTICS INC,,,,,2.764,0.032,6.34,-1.29,12.803,17.701,-12.674,23.313,-16.078,6.161,134.133,-28.966,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACTINIUM PHARMACEUTICALS INC,,,,,,,,,,,,,-0.085,-0.085,1.173,18.936,,4
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACTIVECARE INC,,,,,,,,,,,,,0.352,-0.306,-0.027,-0.025,-0.005,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACURA PHARMACEUTICALS INC,-0.089,-0.255,8.769,-8.269,2.161,-2.843,-0.033,31.14,-0.97,-0.224,-6.129,11.64,-28.209,4.864,-11.566,1.711,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACUSPHERE INC,,1.542,1.54,46.766,-9.382,5.932,8.638,-33.648,,,,,,,,,,7
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAMAS PHARMACEUTICALS INC,,,,,,,,,,,,,59.84,22.655,-24.166,-28.342,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMIS PHARMACEUTICALS CORP,,,,,,,,,,0.273,0.949,-1.231,,5.403,-1.628,0.306,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMS RESPIRATORY THERAPTCS,,,,2.133,33.986,-18.736,10.16,6.489,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAPTIMMUNE THERAPEUTCS -ADR,,,,,,,,,,,,,,-4.218,52.945,181.743,,3
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADCARE HEALTH SYSTEMS INC,,,,,,-0.049,0.928,-1.21,0.34,3.215,-0.57,3.453,8.753,3.437,-8.639,-8.015,,11
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADDISON-DAVIS DIAGNOSTICS,-0.904,-0.071,0.001,0.005,0.243,-0.152,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADDUS HOMECARE CORP,,,,,,,,0.018,6.092,-5.595,0.298,1.204,-0.283,13.828,-2.202,-9.259,,9
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADEPTUS HEALTH INC,,,,,,,,,,,,,-1.309,8.04,-9.493,14.035,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADERIS PHARMACEUTICALS INC,2.478,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADEZA BIOMEDICAL CORP,,,-5.923,1.341,68.026,9.604,-43.801,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADMA BIOLOGICS INC,,,,,,,,,,,,,12.448,13.614,-8.951,-6.758,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADOLOR CORP,63.921,-17.375,-13.35,-31.328,1.596,-5.206,1.55,12.297,-8.041,-0.321,-2.61,,,,,,,11
