GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Industrials,Capital Goods,Construction & Engineering,180 CONNECT INC,,,,,11.405,-9.027,1.58,-2.537,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,3CI COMPLETE COMPLIANCE CORP,0.326,0.148,0.189,0.158,-0.347,-0.107,,,,,,,,,,,,6
Industrials,Capital Goods,Industrial Conglomerates,3M CO,-85,314,2,,921,,375,449,-47,,337,,664,-302,-684,-99,600,17
Industrials,Commercial & Professional Services,Professional Services,51JOB INC  -ADR,,,,5.612,88.589,-2.188,4.878,19.031,7.445,-14.782,35.679,-65.014,54.391,-9.418,1.378,7.913,,13
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC,,,,,,,,,,-0.002,0.005,,,,,,,2
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC -OLD,-0.023,,,,,,,0,0.002,-0.002,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,A NOVO BROADBAND INC,6.974,-6.784,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Machinery,A S V INC,8.741,-4.262,-1.164,25.345,0.035,8.08,-18.427,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,A-POWER ENERGY GENERATN SYS,,,,,,0.913,-0.766,-0.147,8.686,121.958,,,,,,,,5
Industrials,Capital Goods,Electrical Equipment,A123 SYSTEMS INC,,,,,,,,13.875,47.151,386.612,-240.281,-29.948,,,,,,5
Industrials,Commercial & Professional Services,Professional Services,AAMPRO GROUP INC,0,0,0.138,-0.002,-0.02,-0.038,0.116,,,,,,,,,,,7
Industrials,Capital Goods,Building Products,AAON INC,,1.106,3.948,1.115,-5.192,-0.157,-0.549,0.591,-0.61,25.37,-23.246,-2.38,3.146,8.926,9.867,-14.044,,15
Industrials,Capital Goods,Aerospace & Defense,AAR CORP,12.568,20.713,-5.368,11.856,9.328,71.4,-38.421,26.074,3.114,-33.135,-21.937,10.287,7.6,13.9,-34.5,-23.5,,16
Industrials,Capital Goods,Trading Companies & Distributors,ABATIX CORP,-0.101,0.008,0.006,0.156,0.162,0.452,-0.639,0.31,-0.22,0.056,,,,,,,,10
Industrials,Capital Goods,Electrical Equipment,ABB LTD  -ADR,-218,,36,,,-450,,452,,720,,,,-854,-578,-878,,16
Industrials,Capital Goods,Machinery,ABC DISPENSING TECHNOLOGIES,0.041,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Machinery,ABC-NACO INC,1.86,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Construction & Engineering,ABENGOA SA  -ADR,,,,,,,,,,,,,,741.998,,,,3
Industrials,Capital Goods,Aerospace & Defense,ABILITY INC,,,,,,,,,,,,,,,11.333,14.12,,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEAUCTIONS.COM INC,1.47,-0.685,-0.354,0.569,-0.551,0.773,0.049,0.591,-1.371,,,,,,,,,9
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEST INC,-0.156,0.201,1.251,-0.244,-0.257,0.574,1.109,,,,,,,,,,,7
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABM INDUSTRIES INC,-0.139,1.052,16.375,91.531,-47.578,-6.576,77.208,2.191,-135.482,7.412,5.293,-12.979,16.992,-10.82,4.1,18.8,-2,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABTECH HOLDINGS INC,,,,,,,,,,,-0.105,1.382,1.157,-1.331,-0.164,-0.367,,6
Industrials,Commercial & Professional Services,Professional Services,ACACIA RESEARCH CORP,-1.678,23.288,-7.067,-11.65,-4.642,3.573,17.717,0.423,7.812,3.456,50.78,212.218,-92.929,-95.119,7.781,0.757,,16
Industrials,Capital Goods,Construction & Engineering,ACCELERATED BUILDING CONCEPT,-2.201,-0.73,0.003,0.008,-0.009,-0.006,0.072,-0.458,,,0,0,,,,,,10
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS TO MONEY INC,-10.763,-4.414,0.529,3.597,-0.148,4.132,-1.622,-4.227,0.676,1.235,-3.349,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS WORLDWIDE CMMNCTNS,-2.78,1.447,-1.176,-1.724,2.098,-0.815,1.081,-0.41,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCO BRANDS CORP,,,,17.2,19.3,11.3,-41.1,-7.7,-24.2,25.5,39.6,38,-71.2,3.5,-0.3,2.2,,13
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCUFACTS PRE-EMPLOYMENT SCR,-0.064,-0.194,0.32,0.437,0.479,0.372,,,,,,,,,,,,6
Industrials,Capital Goods,Machinery,ACCURIDE CORP,6.023,9.192,-6.442,1.426,29.151,-23.428,61.789,-19.269,32.741,-67.155,21.945,-21.551,-30.164,6.675,-3.653,-0.014,,16
Industrials,Transportation,Road & Rail,ACF INDUSTRIES HOLDING CORP,-48.8,53.9,-120.7,526.2,,,,,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACG HOLDINGS INC,0,4.547,-4.547,0,0,0,0,,,,,,,,,,,7
Industrials,Transportation,Marine,ACLN LTD,42.485,,,,,,,,,,,,,,,,,1
