GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,1MAGE SOFTWARE INC,-0.103,0.062,-0.063,-0.006,-0.093,,,,,,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,21VIANET GROUP INC  -ADR,,,,,,,,,,,1.706,51.976,3.51,169.583,-131.264,160.647,,6
Information Technology,Software & Services,Internet Software & Services,24/7 REAL MEDIA INC,-13.089,-7.559,0.7,13.971,6.045,12.319,19.381,,,,,,,,,,,7
Information Technology,Software & Services,Internet Software & Services,2U INC,,,,,,,,,,,,,1.232,-18.178,79.917,96.8,,4
Information Technology,Software & Services,Internet Software & Services,30DC INC,,,,,,,,,,,,0.005,0.997,-0.914,-0.014,-0.049,,5
Information Technology,Technology Hardware & Equipment,Communications Equipment,3COM CORP,-802.623,-218.742,-163.207,59.976,-207.739,232.562,58.12,-55.573,42.174,,,,,,,,,9
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products,3D LABS INC LTD,2.56,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Software,3D PIONEER SYSTEMS INC,,,,,,,,,,,,,,-0.017,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3D SYSTEMS CORP,6.446,-13.051,-3.669,21.675,2.322,-2.164,-9.997,15.358,-7.525,2.749,12.436,141.771,-23.261,150.457,-21.454,-129.219,,16
Information Technology,Technology Hardware & Equipment,Communications Equipment,3DICON CORP -OLD,,,,,,,,,,,,,,0.069,-0.036,-0.023,,3
Information Technology,Software & Services,Software,3DO CO,-16.887,0.782,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,3DSHOPPING .COM,3.811,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3PAR INC,,,,,,24.089,-12.927,80.863,-49.964,-8.574,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,58.COM INC  -ADR,,,,,,,,,,,,-3.344,-31.642,49.825,50.882,371.929,,5
Information Technology,Software & Services,Software,5B TECHNOLOGIES CORP,0.152,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,Communications Equipment,5BARZ INTERNATIONAL INC,,,,,,,,,,,,,,0.402,-0.425,0.269,,3
Information Technology,Software & Services,IT Services,6D GLOBAL TECHNOLOGIES,,,,,,,,,-3.135,1.269,12.013,-12.236,-1.03,-0.035,4.883,1.208,,8
Information Technology,Software & Services,Internet Software & Services,724 SOLUTIONS INC,8.611,-13.619,-41.15,-5.693,-8.019,-0.145,,,,,,,,,,,,6
Information Technology,Software & Services,Software,8X8 INC,-24.45,-11.704,-9.051,9.878,9.266,-16.256,0.476,4.45,5.191,1.68,-1.582,5.952,27.879,8.854,-6.049,-19.534,,16
Information Technology,Software & Services,Internet Software & Services,A-1 GROUP INC,,,,,,,,,,,,,0.022,0.064,0.02,,,3
Information Technology,Software & Services,Software,A10 NETWORKS INC,,,,,,,,,,,,,4.819,-3.074,71.112,6.212,,4
Information Technology,Software & Services,Internet Software & Services,A21 GROUP INC,,,,,0.716,0.477,4.261,-3.365,,,,,,,,,,4
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",AAVID THERMAL TECHNOLOGIES,5.576,-7.79,-2.241,2.934,13.081,12.656,,,,,,,,,,,,6
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",ACACIA RESEARCH-CONSOLIDATED,-1.678,23.288,-16.368,-11.134,-5.464,6.254,19.88,0.423,,,,,,,,,,8
Information Technology,Software & Services,Internet Software & Services,ACCELERIZE INC,,,,,,,,,,,,,0.127,0.925,-0.027,-0.223,,4
Information Technology,Software & Services,Software,ACCELIO CORP,-0.434,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Software,ACCELRYS INC,52.193,-0.459,-40.655,-0.727,-10.249,3.4,8.591,19.879,-12.531,36.526,9.195,-16.706,3.137,-35.119,,,,14
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",ACCENT COLOR SCIENCES INC,-1.484,,,,,,,,,,,,,,,,,1
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,ACCENT OPTICAL TECH INC-REDH,,,-6.034,-6.742,,,,,,,,,,,,,,2
Information Technology,Software & Services,IT Services,ACCENTURE PLC,159.924,609.567,-563.107,,220.797,-68.968,582.998,247.408,288.364,938.902,296.63,862.786,939.448,,-710.58,-560.539,544.843,17
Information Technology,Software & Services,Internet Software & Services,ACCESS POWER INC,-0.198,-0.013,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,ACCESSPOINT CORP,-0.022,0.046,-0.105,,-0.022,,,,,,,,,,,,,4
Information Technology,Software & Services,Software,ACCLAIM ENTERTAINMENT INC,-67.683,20.059,24.207,-3.347,,,,,,,,,,,,,,4
Information Technology,Software & Services,Software,ACCPAC INTERNATIONAL -REDH,-11.6,1.801,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,ACCRUE SOFTWARE INC,-19.803,-9.305,,,,,,,,,,,,,,,,2
Information Technology,Technology Hardware & Equipment,Communications Equipment,ACE COMM CORP,0.962,1.384,-2.24,-1.96,1.311,-0.198,-1.737,1.676,,,,,,,,,,8
Information Technology,Software & Services,Software,ACI WORLDWIDE INC,-47.082,8.852,55.89,26.092,55.646,-50.505,26.455,-49.354,15.955,12.951,45.393,25.788,-120.769,18.73,-17.758,24.938,,16
Information Technology,Software & Services,IT Services,ACIES CORP,,-0.006,0.026,-0.026,0.741,-0.624,-0.123,0.04,0.003,-0.043,,,,,,,,9
