GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Materials,Materials,Metals & Mining,37 CAPITAL INC,-0.019,-0.003,0.003,0.052,-0.046,-0.095,-0.101,-0.039,-0.012,0.002,0,,-0.002,0.004,-0.002,0,,15
Materials,Materials,Metals & Mining,3DX INDUSTRIES INC,,,,,,,,,,,,,,-0.016,0,,,2
Materials,Materials,Chemicals,ABAKAN INC,,,,,,,,,,,,,-0.627,-0.202,,,,2
Materials,Materials,Paper & Forest Products,ABITIBI CONSOLIDATED INC,66.023,53.372,-39.241,-71.965,68.141,-58.339,116.718,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ACINDAR INDUSTRIA ARGENT-ADR,-9.645,-5.491,,,,,,,,,,,,,,,,2
Materials,Materials,Metals & Mining,ACME METALS INC,0,,,,,,,,,,,,,,,,,1
Materials,Materials,Containers & Packaging,ACOLOGY INC,,,,,,,,,,,,,,,0.259,-0.224,,2
Materials,Materials,Metals & Mining,ADAL GROUP INC,-0.002,0.01,-0.011,0.006,0.239,0.266,,,,,,,,,,,,6
Materials,Materials,Metals & Mining,ADEX MINING INC,,,,,,,,,,,0.93,1.473,-2.489,-2.252,-0.222,0.13,,6
Materials,Materials,Chemicals,ADM TRONICS UNLIMITED INC/DE,-0.209,-0.062,-0.002,0.04,2.922,-2.028,1.516,-0.426,-0.917,-0.465,-0.536,0.144,-0.194,-0.022,0.133,1.182,,16
Materials,Materials,Chemicals,ADVANCED EMISSIONS SOLUTIONS,,,-0.168,0.452,1.331,11.918,2.103,-2.647,14.719,-26.745,8.24,31.183,-31.142,,,-15.916,,12
Materials,Materials,Chemicals,ADVANCED MATERIALS GROUP INC,0.605,0.202,-0.539,-0.076,-0.025,0.352,0.035,0.021,-0.11,,,,,,,,,9
Materials,Materials,Chemicals,ADVANSIX INC,,,,,,,,,,,,,,,0,0,,2
Materials,Materials,Containers & Packaging,AEP INDUSTRIES INC,-0.174,0.275,-0.506,1.505,5.539,-1.863,-5.988,-0.627,-0.322,0.077,0.748,5.396,-3.638,10.512,-12.452,19.3,-16.491,17
Materials,Materials,Metals & Mining,AFRICAN GOLD GROUP INC,,,,,,,,,,,,,-4.979,-0.31,-0.014,-0.128,,4
Materials,Materials,Metals & Mining,AGNICO EAGLE MINES LTD,-8.682,7.274,131.754,-42.569,-23.929,28.15,227.42,26.219,-246.412,91.898,-64.72,83.887,118.621,-158.967,38.436,-53.387,,16
Materials,Materials,Chemicals,AGRAQUEST INC,9.669,,,,,,,,,,,,,,,,,1
Materials,Materials,Chemicals,AGRIUM INC,-86,33,58,91,225,-125,-191,,,576,-393,711,-620,143,47,-333,,16
Materials,Materials,Chemicals,AGROFRESH SOLUTIONS INC,,,,,,,,,,,,,,,0.708,57.681,,2
Materials,Materials,Chemicals,AIR LIQUIDE SA  -ADR,,,,,,-166.972,345.234,-244.016,678.69,264.282,207.394,298.638,-825.312,-321.74,2.299,22.261,,11
Materials,Materials,Containers & Packaging,AIR PACKAGING TECHNOLOGY INC,-0.774,-0.085,,,,,,,,,,,,,,,,2
Materials,Materials,Chemicals,AIR PRODUCTS & CHEMICALS INC,32.5,-27.9,187.5,-177.5,70.1,-90.5,-20.6,7.1,63,384.7,-113.9,48.2,31.9,-4,-113.8,-130.2,,17
Materials,Materials,Chemicals,AIRGAS INC,0,0,0,0,7.578,2.345,-9.054,17.117,4.14,-0.187,10.217,-12.555,41.723,-16.825,-18.837,5.085,,16
Materials,Materials,Metals & Mining,AK STEEL HOLDING CORP,32.4,14.2,181.5,-227.8,322.4,142.5,-0.2,194.2,-150.9,-101,-244.9,-174.8,185,-181.7,24.9,-13.6,116.6,17
Materials,Materials,Chemicals,AKZO NOBEL NV  -ADR,-484.421,34.714,68.153,260.758,,-384.865,508.085,,,673.604,,,294.048,636.59,-448.947,-360.519,,16
Materials,Materials,Metals & Mining,ALAMOS GOLD INC,,-1.408,3.741,-3.648,8.842,18.258,-1.677,-0.365,-0.451,125.719,-15.835,66.302,423.957,-460.749,-53.621,193.9,,15
Materials,Materials,Metals & Mining,ALAMOS GOLD INC -OLD,,,,,,,,,,,-14.348,23.137,136.585,103.607,-56.37,,,5
Materials,Materials,Chemicals,ALBEMARLE CORP,-29.321,11.285,7.051,-12.611,11.217,12.18,90.929,-18.948,122.752,55.488,220.859,-60.234,8.28,-0.457,,,,16
Materials,Materials,Metals & Mining,ALCAN INC,-234,-142,-9,693,-438,-159,48,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ALCOA CORP,,,,,,,,,,,,,,,53,291,296,3
Materials,Materials,Metals & Mining,ALDERON IRON ORE CORP,,,,,,,,,,1.414,22.85,-16.341,26.664,57.398,-63.721,-5.469,,7
Materials,Materials,Chemicals,ALDEROX INC,-0.104,0.007,-0.011,,0.001,,0,0.004,,,,,,,,,,6
Materials,Materials,Metals & Mining,ALERIS CORP,2.436,-1.713,3.574,7.885,3.068,-11.006,,,,60.4,4.6,117.9,361.5,-532.8,-24.1,26.2,,13
Materials,Materials,Metals & Mining,ALEXCO RESOURCE CORP,,,,,,,7.944,9.282,-8.469,-2.546,13.519,27.028,-18.732,-13.611,0.025,-0.344,,10
Materials,Materials,Metals & Mining,ALHAMBRA RESOURCES LTD,,,,,,,,,,,,,0.067,-0.93,,,,2
Materials,Materials,Metals & Mining,ALLEGHENY TECHNOLOGIES INC,-24.5,7.5,25.7,20.2,171.2,111.9,139.6,121,-153.4,238.9,-276.5,-51.7,-76,722.2,-757.3,-119.7,79.8,17
Materials,Materials,Paper & Forest Products,ALLIANCE FOREST PRODS INC,0.467,,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ALLIED AMERICAN STEEL CORP,,,,,,,,,,,,0.225,-0.225,,,,,2
Materials,Materials,Metals & Mining,ALLOY STEEL INTL INC,,0.179,0.109,-0.075,-0.171,0.086,-0.109,0.465,0.18,-0.24,3.08,-0.245,-3.32,8.841,,,,13
Materials,Materials,Metals & Mining,ALLOYCORP MINING INC,,,,,,,,,,,14.238,-13.066,0.11,4.738,6.629,-7.984,,6
Materials,Materials,Metals & Mining,ALMADEN MINERALS LTD,,,,2.998,-0.592,3.291,9.3,-4.263,-1.822,0.788,2.942,5.012,-4.717,-4.224,-3.295,-1.409,,13
Materials,Materials,Metals & Mining,ALTAN RIO MINERALS LTD,,,,,,,,,,,,,-1.467,-0.186,0.022,0,,4
Materials,Materials,Chemicals,ALTANA AG  -ADR,16.873,73.574,71.739,-44.346,39.249,180.959,,,6.451,-0.672,,,,,,,,10
Materials,Materials,Chemicals,ALTERNATE ENERGY CORP,0.058,-0.054,-0.005,0.412,0.007,-0.282,-0.038,-0.067,-0.032,,,,,,,,,9
Materials,Materials,Metals & Mining,ALUMINA LTD  -ADR,-18.57,65.549,-107.438,106.859,-36.996,-75.402,121.256,-122.776,26.326,245.845,-193.5,-93.1,-8.9,13.9,0.9,-15.6,,16
