GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACADIA REALTY TRUST,-13.173,11.971,11.221,-30.505,-0.66,26.113,49.096,-16.228,-36.652,7.117,26.784,-30.78,2.001,-12.624,138.391,-144.804,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACRE REALTY INVESTORS INC,-0.178,1.122,2.925,3.041,18.969,-25.548,2.989,-3.804,15.851,-8.549,-4.189,-3.148,-0.167,3.122,-3.285,19.637,,16
Real Estate,Real Estate,Real Estate Management & Development,ADVANCED OXYGEN TECHNOLOGY,-0.055,0,0,0,0.003,-0.003,0.379,-0.137,-0.108,-0.103,-0.01,0.003,-0.025,0.006,0.095,-0.033,-0.022,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AGREE REALTY CORP,0.055,-0.017,-0.006,-0.092,-0.417,5.127,-5.251,0.081,0.124,0.02,-0.095,1.409,-0.733,13.267,-9.137,-2.688,,16
Real Estate,Real Estate,Real Estate Management & Development,ALEXANDER & BALDWIN INC,,,,,,,,,,,,6.2,-10.6,2.2,-0.5,-1.5,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDER'S INC,-23.781,132.986,-90.019,-23.903,107.538,449.532,37.11,-55.285,-44.291,-103.206,-15.514,109.399,-153.223,-5.678,-119.903,31.534,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDRIA R E EQUITIES INC,-0.67,-0.4,1.414,1.195,-1.827,0.753,-0.963,5.082,63.131,-0.533,20.604,-12.693,62.432,-83.275,28.315,39.087,,16
Real Estate,Real Estate,Real Estate Management & Development,ALON BLUE SQUARE ISRAEL -ADR,-2.007,-0.029,2.654,11.331,-3.658,4.217,28.327,-33.813,7.919,140.025,-143.042,-7.984,55.887,14.929,-6.754,-10.5,,16
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE ASSET MGMT CORP,,,,,,,,,,,,,105.014,34.986,-23.218,67.762,,4
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE PORTFOLIO SOLTNS,,,,,,,,5.688,1.3,23.468,-8.322,9.991,73.377,24.822,31.037,17.966,,9
Real Estate,Real Estate,Real Estate Management & Development,AMBASE CORP,2.198,1.286,-1.212,-2.133,7.339,-7.272,-0.251,0.293,-0.227,-0.952,-0.381,6.281,-3.708,3.033,-1.641,-1.996,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN ASSETS TRUST INC,,,,,,,,,-0.254,5.211,17.764,70.77,-70.244,6.508,10.37,-19.432,,8
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN CAMPUS COMMUNITIES,,,-2.385,-5.339,-1.177,20.006,54.466,-67.034,13.527,40.493,47.414,-91.108,-0.945,17.297,-13.689,-8.403,,14
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN FARMLAND CO,,,,,,,,,,,,,,-31.088,3.254,7.052,,3
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN HOMES 4 RENT,,,,,,,,,,,,,397.198,-248.209,-40.202,-51.101,,4
Real Estate,Real Estate,Real Estate Management & Development,AMERICAN REALTY INVESTORS,1.698,-3.468,7.723,1.111,12.858,-8.497,-6.869,4.525,-5.518,-1.155,7.762,7.663,-3.171,3.038,-4.138,2.933,,16
Real Estate,Real Estate,Real Estate Management & Development,AMERICAN SPECTRUM REALTY INC,0.002,2.25,-1.496,2.149,-2.348,-0.289,0.866,-0.319,1.245,-1.63,1.541,-1.53,0.019,-1.629,,,,14
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN TOWER CORP,56.826,-46.08,91.334,-21.827,110.092,-102.856,168.563,-248.141,109.954,104.216,636.67,-553.772,38.427,-75.042,19.916,7.194,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),APARTMENT INVST & MGMT CO,55.511,-77.115,19.553,14.879,-9.089,56.387,68.094,-19.363,89.215,-218.416,30.065,-20.259,-6.653,-28.662,-26.78,21.818,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),APPLE HOSPITALITY REIT INC,,,,,,,,,,,,,,9.075,-18.102,0,,3
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ARMADA HOFFLER PROPERTIES,,,,,,,,,,,,5.014,-4.049,9.482,7.001,1.106,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ASHFORD HOSPITALITY PRME INC,,,,,,,,,,,,2.04,3.862,123.463,27.663,-66.4,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ASHFORD HOSPITALITY TRUST,,1.13,-2.184,78.265,-29.145,10.886,15.348,18.928,149.326,-76.429,52.522,-50.081,18.326,-57.155,86.283,0.015,,15
Real Estate,Real Estate,Real Estate Management & Development,ASIA PACIFIC BOILER CORP,,,,,,,,,,,,,0.014,-0.014,0.007,,,3
