GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,360NETWORKS INC,-157,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ABOVENET INC,-113.503,,,,,,24.8,-24.9,41.3,78.2,-103.7,56.8,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ADELPHIA BUSINESS SOLUTIONS,1.41,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AIRGATE PCS INC,-200.516,-44.094,18.185,21.603,-40.625,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALAMOSA HOLDINGS INC,136.112,-37.096,-42.935,37.907,30.273,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALASKA COMMUNICATIONS SYS GP,-40.098,-20.884,-22.447,79.233,-3.916,-21.783,7.983,-1.652,-33.882,4.945,9.045,5.174,-3.651,26.2,-11.33,4.292,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLEGIANCE TELECOM INC,-106.131,-22.019,-120.773,28.909,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLIED RISER COMMUNICATIONS,-123.109,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLSTREAM INC -CL B,-147.214,294.301,-73.894,130.892,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALLTEL CORP,49.6,18.1,70.2,523.2,-172.9,504.3,-48.2,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLTEL PENNSYLVANIA INC,-0.069,0.05,0.23,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALTEVA INC,-0.126,-0.158,1.06,4.076,11.092,0.147,-4.66,-6.447,1.828,1.609,1.613,-6.324,-2.776,-0.163,22.411,,,15
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AMERICA MOVIL SAB DE CV -ADR,,,621.435,-20.087,605.073,-544.898,,,731.638,410.01,,,,204.332,,,,16
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AMERICAN CELLULAR CORP,,-8.919,9.903,,13.984,35.122,-40.157,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AMERN NORTEL COMMUNICATIONS,0.687,-1.185,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,APT SATELLITE HOLDINGS -ADR,152.656,-10.89,-101.754,-35.949,16.317,-45.013,1.652,-3.757,,,,,,,,,,8
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AQUIS COMMUNICATIONS INC,-0.595,0.706,0.175,-0.588,,,,,,,,,,,,,,4
