GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Utilities,Utilities,Independent Power and Renewable Electricity Producers,3POWER ENERGY GROUP INC,,,,,,,,,,0.007,-0.014,-0.006,-0.005,0,0,0.008,,7
Utilities,Utilities,Independent Power and Renewable Electricity Producers,808 RENEWABLE ENERGY CORP,,,,,,,,,,,,,,-0.271,3.809,-3.989,,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,8POINT3 ENERGY PARTNERS LP,,,,,,,,,,,,,,0,0,56.781,,3
Utilities,Utilities,Multi-Utilities,AEI,,,,,,,,-314,220,-54,,,,,,,,3
Utilities,Utilities,Electric Utilities,AEP GENERATING CO,2.44,-1.774,-0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS CENTRAL CO,6.258,-3.344,74.511,-19.538,-0.76,-0.026,0.779,-0.678,0.102,-0.003,0.074,0.148,-0.322,0.054,-0.054,0,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS NORTH CO,0.867,-4.487,-1.235,1.644,0,0,0.084,-0.084,0.2,0,0.023,-0.02,-0.203,0,0,0,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AES CORP,212,-28,-86,945,-382,109,203,700,,928,772,-732,275,-258,-103,-277,,16
Utilities,Utilities,Gas Utilities,ALABAMA GAS CORP,0.333,0.689,-0.554,-1.378,2.027,3.702,1.596,-1.43,2.393,-0.268,7.45,-9.093,-2.258,-2.527,2.6,1.6,-7.2,17
Utilities,Utilities,Electric Utilities,ALABAMA POWER CO,-5.228,21.509,-13.071,20.067,41.709,-57.239,-6.933,58.077,-45.435,339.835,-214,190,-207,158,-22,-79,,16
Utilities,Utilities,Water Utilities,ALANCO TECHNOLOGIES INC,-0.485,-0.096,0.247,-0.231,1.878,-1.238,0.418,-0.54,0.111,-0.313,-0.013,0.383,-0.499,0.412,0.519,-0.427,-0.649,17
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALGONQUIN POWER & UTIL CORP,,,,,,,,,,,,,,,-3.936,83.156,,2
Utilities,Utilities,Electric Utilities,ALLEGHENY ENERGY INC,-47.963,19.959,166.251,324.381,-339.13,72.73,-148.074,144.612,103.395,-75.5,203.6,,,,,,,11
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALLEGHENY ENRG SUPPLY CO LLC,,,37.953,192.354,-161.331,-38.509,20.448,10.92,-65.482,-7.924,14.63,1.446,0.623,-18.287,0,0,,14
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALLEGHENY GENERATING CO,0.034,-0.039,2.093,0.168,5.228,-5.642,0.988,,,,,,,,,,,7
Utilities,Utilities,Electric Utilities,ALLETE INC,117.8,14.9,-31.3,26.6,-31,43.5,-44.8,-21.5,78.7,-76.3,19.2,56.2,-20.3,16.5,48.5,-48.8,,16
Utilities,Utilities,Electric Utilities,ALLIANT ENERGY CORP,34.746,-61.797,-4.528,179.422,21.8,2.9,59.9,479.6,-398.7,-171.6,-16,-147.9,9.8,-11.4,47.1,-51.1,,16
Utilities,Utilities,Multi-Utilities,AMEREN CORP,-68.914,-58.876,561,-517,-42,27,41,218,-263,530,-77,-290,-46,-179,-25,287,,16
Utilities,Utilities,Multi-Utilities,AMEREN ILLINOIS CO,17.265,-4.169,-9,-1,-14,-2,6,20,-26,28,16,-301,-21,1,0,70,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERENENERGY GENERATING CO,,1.467,1,-1,-1,-1,1,1,0,4,0,2,17,165,-64,-65,,15
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERICAN DG ENERGY INC,,,,,,,,1.637,-3.374,1.466,0.772,13.88,-4.438,-3.558,2.022,-6.238,,9
Utilities,Utilities,Electric Utilities,AMERICAN ELECTRIC POWER CO,-172,-9,989,-17,-556,81,-100,-123,233,79,-196,-73,58,-161,45,13.9,34.1,17
Utilities,Utilities,Water Utilities,AMERICAN STATES WATER CO,3.619,24.688,-12.099,-5.622,-8.472,8.729,-9.809,-1.525,5.585,-5.598,3.809,-2.882,22.171,14.74,37.762,-71.624,,16
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS CO INC,,,,,,-13.779,-35.323,-16.273,-3.939,12.714,-9.144,1.095,10.226,2.531,-3.884,22,,11
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS INC,-14.529,-8.88,,,,,,,,,,,,,,,,2
Utilities,Utilities,Electric Utilities,AMERICAS POWER PARTNERS INC,0.645,-0.675,0.42,-0.006,,,,,,,,,,,,,,4
Utilities,Utilities,Gas Utilities,AMERIGAS PARTNERS  -LP,10.405,21.694,14.911,-1.528,-5.289,58.579,-14.387,-50.741,-23.125,48.304,-51.487,0.906,51.47,-47.467,0.845,1.277,1.07,17
Utilities,Utilities,Electric Utilities,APPALACHIAN POWER,-58.981,7.816,-9.378,41.596,-4.025,0.198,0.577,-0.123,-0.199,0.01,-1.055,1.366,1.259,-0.831,-0.132,0.2,,16
Utilities,Utilities,Water Utilities,AQUA AMERICA INC,3.391,-3.077,4.905,4.842,2.359,-2.32,32.167,-29.499,0.404,6.925,-15.935,2.27,-2.683,-0.463,-0.92,-0.909,,16
Utilities,Utilities,Water Utilities,AQUAVENTURE HOLDINGS LTD,,,,,,,,,,,,,,,23.222,-19.697,,2
Utilities,Utilities,Multi-Utilities,AQUILA INC,167.7,-129.7,178.8,215.8,-432.4,-206.1,213.8,-198.4,,,,,,,,,,8
Utilities,Utilities,Multi-Utilities,AQUILA INC-OLD,3,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Electric Utilities,ARIZONA PUBLIC SERVICE CO,-4.868,14.212,25.728,69.453,7.423,0.358,31.937,-29.719,19.393,49.254,-20.861,-80.064,-16.374,0.226,0.79,17.541,,16
Utilities,Utilities,Water Utilities,ARTESIAN RESOURCES  -CL A,0.27,0.661,-0.179,0.254,0.089,0.142,0.055,1.106,0.374,-2.42,-0.295,0.132,0.306,-0.195,-0.179,-0.034,,16
Utilities,Utilities,Electric Utilities,ATLANTIC CITY ELECTRIC CO,0.193,-141.81,232.8,-133,-103,3.9,-2.7,1.5,58,-58,-3,87,-85,-3,-1,1,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ATLANTIC POWER CORP,,,,,,,,,-5.919,11.937,-4.353,15.154,-0.46,91.9,-48.7,-37.5,,8
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ATLANTICA YIELD PLC,,,,,,,,,,,,,57.328,260.165,-3.51,160.558,,4
Utilities,Utilities,Gas Utilities,ATLAS PIPELINE PRTNRS LP-OLD,2.043,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Gas Utilities,ATMOS ENERGY CORP,-1.206,7.884,31.564,-32.308,186.249,-161.816,35.699,-15.09,-14.008,64.486,20.749,-0.533,-67.18,1.96,-23.941,-13.605,18.881,17
Utilities,Utilities,Electric Utilities,AVANGRID INC,,,,,,,,,,,,,,,263,-55,,2
Utilities,Utilities,Multi-Utilities,AVISTA CORP,154.324,-26.017,15.148,-45.16,-39.809,-62.4,2.325,-16.403,12.474,12.722,32.378,5.249,0.802,7.11,-60.431,-11.659,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AZURE POWER GLOBAL LTD,,,,,,,,,,,,,,17.069,7.141,15.79,,3
Utilities,Utilities,Water Utilities,AZURIX CORP,2.8,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Electric Utilities,BALTIMORE GAS & ELECTRIC CO,-2.2,16.1,-27.2,0.8,-2.8,6.9,-4.2,6.7,-6.9,2.9,36.4,-1.4,40,-58,33,-55,,16
Utilities,Utilities,Electric Utilities,BANGOR HYDRO-ELECTRIC CO,-3.228,-11.578,0.104,,,,,-0.221,0.102,0.15,-0.252,0,,,,,,8
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BAYCORP HOLDINGS CORP,5.538,6.207,118.886,-126.695,2.158,,,,,,,,,,,,,5
Utilities,Utilities,Multi-Utilities,BERKSHIRE HATHAWAY ENERGY CO,-278.175,342.78,457.685,-184.217,300.69,-479.508,-15.1,835,-898,149,41,-184,490,399,-558,491,,16
Utilities,Utilities,Water Utilities,BIW LTD,-0.003,2.998,-2.377,-0.514,-0.149,0,0,,,,,,,,,,,7
Utilities,Utilities,Multi-Utilities,BLACK HILLS CORP,8.431,4.753,49.855,97.726,-108.253,-30.308,3.332,43.725,87.277,-55.631,-80.463,26.33,-43.306,-7.621,13.377,435.317,,16
Utilities,Utilities,Electric Utilities,BLACK HILLS POWER INC,8.431,2.135,30.21,0.534,-0.708,0.341,0.538,0.81,-2.029,1.705,0.336,0.767,0.993,-1.546,4.361,0.939,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BLUE EARTH INC,,,,,,,,,,,,,0.132,7.918,-5.49,,,3
Utilities,Utilities,Gas Utilities,BOSTON GAS CO,3.744,-0.812,-0.936,,,,,,,,,,,,,,,3
Utilities,Utilities,Water Utilities,BRAVO ENTERPRISES LTD,0.005,0.022,-0.028,0.002,-0.002,0.041,0.314,-0.329,-0.023,,-0.002,0,0.087,-0.073,,,,13
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BRIGHTSOURCE ENERGY INC-REDH,,,,,,,,,,-83.733,19.005,,,,,,,2
Utilities,Utilities,Electric Utilities,BRITISH ENERGY PLC  -ADR,0,0,137.373,322,-86.885,,,,,,,,,,,,,5
Utilities,Utilities,Electric Utilities,BROOKFIELD INFRS PTRS LP,,,,,,,,,0,0,47,-12,109,300,-349,18,,8
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BROOKFIELD RENEWABLE PRTS LP,,,,,,,,,,,,79,27,66,-53,-87,,5
Utilities,Utilities,Water Utilities,CADIZ INC,0.231,-1.833,1.771,0.193,5.609,-3.729,5.095,-1.476,-6.907,6.864,-2.967,5.459,-9.685,10.202,4.319,-13.516,,16
Utilities,Utilities,Water Utilities,CALIFORNIA WATER SERVICE GP,1.586,-2.288,0.11,1.793,15.964,-9.287,50.778,-53.578,7.135,-4.003,32.411,-15.074,11.587,-11.284,-7.919,-10.75,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,CALPINE CORP,239.327,929.34,,412.32,-208.378,67.614,291.69,838,-258,-668,338,-75,32,-343,-224,189,,16
