GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,0.125,0.249,0.429,0.211,0.223,0.278,0.369,,,,,,,,,,,7
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,0.127,0.128,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,0.05,0.079,0.074,0.057,0.035,0.024,0.255,0.222,0.183,0.325,0.236,0.178,0.11,0,0.001,0.263,0.232,17
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,0.988,,91,0,0,0,0.001,0.594,,,,,,,7,4.071,,9
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,,,,,,,,,,,,,,,0.102,0.224,,2
Consumer Discretionary,Retailing,Specialty Retail,2ND SWING INC-REDH,0.293,0.786,,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,4LICENSING CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,,,15
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,,,,,,,,,,,,0,0,0.013,0,0,,5
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,0.478,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,,,,,,,,0.516,0.347,0.062,0.002,0.12,0.083,,,,,6
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,0,0,,,,,,,,,,,,,,,,2
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,0.028,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,0.16,0.023,0.004,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,0,0.005,0.004,0.003,0.001,0.011,0.012,0.012,0.001,0.001,0.001,,,,,,,11
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,A-MAX TECHNOLOGY -ADR -REDH,,,,0.611,0.393,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,A. H. BELO CORP,,,,,,,0.357,0.612,0.018,0,0,0,0,0,0,0,,10
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,0.011,0.026,0.009,0.002,0.097,0.086,0.073,0.067,0.099,0.072,0.08,,,,,,,11
Consumer Discretionary,Retailing,Distributors,AAI FOSTERGRANT INC,0.787,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Specialty Retail,AARON'S INC,,,0.151,0.143,0.167,0.247,0.133,0.167,0.093,0.042,0.028,0.089,0.078,0.078,0.247,0.23,,14
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ABAZIAS INC,,,,,,,,0.208,0.702,,,,,,,,,2
Consumer Discretionary,Media,Media,ABC FAMILY WORLDWIDE INC,0.686,0.713,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Specialty Retail,ABERCROMBIE & FITCH  -CL A,0,0,0,0,0,0,0,0,0.035,0.025,0.023,0.019,0.021,0.069,0.137,0.137,,16
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACCOM INC,0.31,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,ACE HARDWARE CORP,0.173,0.214,0.19,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACI TELECENTRICS INC,0.252,0.11,0.248,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACKERLEY GROUP INC,0.591,0.504,,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,ACME INTERMEDIATE HLDG LLC,0.666,0.705,0.734,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACME TELEVISION LLC,0.516,0.531,0.551,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ACORN INTERNATIONAL INC -ADR,,,,,,0.01,0,0.003,0.012,0.012,0.01,0.018,0.003,0.055,0.068,0,,11
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ACORN PRODUCTS INC,0.511,0.662,0.394,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACQUITY GROUP LTD  -ADR,,,,,,,,,,,0,0,0,,,,,3
Consumer Discretionary,Retailing,Distributors,ACR GROUP INC,0.466,0.435,0.426,0.394,0.411,0.326,0.316,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ACRES GAMING INC,0,0,0.227,0,,,,,,,,,,,,,,4
Consumer Discretionary,Media,Media,ACT TELECONFERENCING INC,0.273,0.283,0.274,0.338,0.421,0.498,0.166,,,,,,,,,,,7
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACTION PERFORMANCE COS INC,0.429,0.206,0.121,0.093,0.045,,,,,,,,,,,,,5
Consumer Discretionary,Media,Media,ACTIONVIEW INTERNATIONAL-OLD,,0.635,,0.051,0.056,0.799,13.179,0.112,,,,,,,,,,6
Consumer Discretionary,Media,Media,ACTV INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACUSHNET HOLDINGS CORP,,,,,,,,,,,,,,,0.514,0.475,,2
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ADAMS GOLF INC,0,0,0,0.003,0.001,0,0,0,,,0,0,,,,,,10
Consumer Discretionary,Media,Media,ADAMS OUTDOOR ADVERTSG  -LP,1.282,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Media,Media,ADELPHIA COMMUN  -CL A,0.586,,,0.026,0.051,0.068,,,,,,,,,,,,4
Consumer Discretionary,Automobiles & Components,Auto Components,ADIENT PLC,,,,,,,,,,,,,,,0.014,0.006,0.273,3
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE AUTO PARTS INC,0.443,0.508,0.375,0.24,0.248,0.239,0.238,0.246,0.207,0.077,0.099,0.114,0.131,0.189,0.206,0.149,,16
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE STORES CO INC,0.383,0.462,0.331,,,,,,,,,,,,,,,3
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ACCESSORY HLDGS CP,0.724,0.686,0.691,0.541,0.685,0.916,,,,,,,,,,,,6
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ENGINE TECHNOLOGIES,0,0,0,0,0,,,,,,,,,,,,,5
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ADVANCED LIGHTING TECH INC,0.543,0.518,0.721,0.188,,,,,,,,,,,,,,4
Consumer Discretionary,Retailing,Distributors,ADVANCED MARKETING SERVICES,0,0.062,0.101,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ADVANSTAR COMMUNICATIONS INC,0.59,0.57,0.644,0.636,0.673,0.602,0.624,,,,,,,,,,,7
Consumer Discretionary,Media,Media,ADVERTISING.COM INC-REDH,,,0.015,0.007,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,ADVO INC,0.657,0.587,0.518,0.368,0.293,0.261,0.238,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AEGEA INC -OLD,,,,,,,,,,,,,9.25,1.996,,,,2
Consumer Discretionary,Media,Media,AEGIS COMMUNICATIONS GROUP,0.337,0.246,0.437,0.517,0.843,0.433,,,,,,,,,,,,6
Consumer Discretionary,Media,Media,AEGIS GROUP PLC  -ADR,0.098,,,,,,,,,,,,,,,,,1
