GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Staples,Food Beverage & Tobacco,Tobacco,22ND CENTURY GROUP INC,,,,,,,,,,,,,1.016,0.014,0.05,0.034,,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,7-ELEVEN INC,0.626,0.649,0.602,0.551,0.416,,,,,,,,,,,,,5
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,A.C. SIMMONDS & SONS INC,,,,,,,,,,,,,,0,,,,1
Consumer Staples,Food Beverage & Tobacco,Food Products,ACTIVE HEALTH FOODS INC,,,,,,,,,,74.667,,6.978,9.426,1.31,,,,4
Consumer Staples,Food Beverage & Tobacco,Food Products,ADECOAGRO SA,,,,,,,,,0.222,0.242,0.29,0.212,0.303,0.386,0.426,0.528,,8
Consumer Staples,Food Beverage & Tobacco,Food Products,ADVANCEPIERRE FOODS HOLDINGS,,,,,,,,,,,,,,,1.228,1.148,,2
Consumer Staples,Household & Personal Products,Personal Products,AGE RESEARCH INC,,2,9,15,,,,,,,,,,,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED ANIMAL NUTR-ADR-REDH,,,,,,,,,0,0.096,,,,,,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED INDUSTRIES INC,,,,,,,0.247,0.048,0.023,0.033,0.332,,,,,,,5
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIA CORP -ADS,,,,,,0.052,0.078,0.007,0.004,0.004,0.037,0.213,0.244,0.286,0.196,0.23,0.243,12
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIBRANDS INTERNATIONAL INC,0.067,,,,,,,,,,,,,,,,,1
Consumer Staples,Household & Personal Products,Personal Products,AGRITECH WORLDWIDE INC,0,0,0.333,0.045,0.012,0.006,0.002,0,0.409,0.878,0.58,0.323,0,0,0.602,1.709,,16
Consumer Staples,Household & Personal Products,Personal Products,AIRWARE LABS CORP,,,,,,,,,,,,,1.242,0.848,2.75,29.018,,4
Consumer Staples,Household & Personal Products,Personal Products,AKI HOLDING CORP,0.651,0.597,0.582,0.556,,,,,,,,,,,,,,4
Consumer Staples,Household & Personal Products,Personal Products,ALBERTO-CULVER CO,0.248,0.214,0.187,0.165,0.059,0.054,0.048,0.082,0.001,0,0.08,,,,,,,11
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSON'S INC,0.375,0.343,0.353,0.346,0.376,0.354,,,,,,,,,,,,6
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSONS COS INC  -REDH,,,,,,,,,,,,,,0.398,0.492,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,ALICO INC,0.235,0.268,0.292,0.27,0.217,0.207,0.244,0.487,0.503,0.394,0.389,0.317,0.216,0.181,0.172,0.449,0.442,17
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKALINE WATER COMPANY INC,,,,,,,,,,,,,,0.146,0.358,0.301,,3
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKAME HOLDINGS INC,,,,,,,,,,,,,,0.712,1.445,,,2
Consumer Staples,Household & Personal Products,Personal Products,ALLERGY RESEARCH GROUP INC,0.336,0.199,0.014,0,0,0,0,0,,,,,,,,,,8
