GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",3TEC ENERGY CORP,0.299,0.297,0.284,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ABLE ENERGY INC,0.233,0.27,0.394,0.425,0.372,0.465,0.421,0.204,0.326,,,,,,,,,9
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS ENERGY PARTNERS-REDH,,,,,,1.063,1.091,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS PETROLEUM CORP/NV,0.797,0.94,1.656,1.46,0.828,1.063,1.091,0.312,0.807,0.861,0.771,0.524,0.519,0.196,0.21,0.525,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ACCESS MIDSTREAM PARTNERS LP,,,,,,,,,0.178,0.023,0.098,0.289,0.381,0.411,0.47,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ADAMS RESOURCES & ENERGY INC,0.027,0.055,0.057,0.055,0.048,0.037,0.01,0,0,0,0,0,0,0,0,0,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ADINO ENERGY CORP,28.737,1.362,4.258,0.872,0.743,0.744,0.967,0.851,0.646,0.567,0.609,0.671,0.9,,,,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",ADVANTAGE OIL & GAS LTD,,,,0.183,0.268,0.375,0.296,0.319,0.35,0.234,0.23,0.156,0.184,0.2,0.135,0.189,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",AEGEAN MARINE PETROLM NETWK,,,,,,0.627,0.106,0.367,0.395,0.419,0.469,0.482,0.457,0.485,0.498,0.492,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AEMETIS INC,,,,,,,,,,,,,0.748,0.971,0.896,1.247,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA ENERGY CORP,,,,,,,,,,,,,0,0,0,0,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA OIL CORP,,,,,,,,,,,0.009,0,0,0,0,0,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ALAMO ENERGY CORP,,,,,,,,,,0.268,0.141,0.297,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALBERTA ENERGY CO LTD,0.285,0.304,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALL STAR GAS CORP,1.234,1.636,2.084,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE BIOENERGY PLUS INC,,,,,,,,,,,,,,0.018,0.159,0.293,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE HOLDINGS GP LP,,,,,0.436,0.304,0.23,0.221,0.445,0.418,0.48,0.408,0.414,0.417,0.366,0.388,0.301,13
