GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Financials,Insurance,Insurance,1347 PROPERTY INS HLDGS INC,,,,,,,,,,,,,0,0,0,0.032,,4
Financials,Banks,Banks,1ST CAPITAL BANK,,,,,,,,,,,,,0,0,0,0,,4
Financials,Banks,Banks,1ST CENTENNIAL BANCORP,,0.018,0.029,0.061,0.097,0.04,0.088,0.224,,,,,,,,,,7
Financials,Banks,Banks,1ST CENTURY BANCSHARES INC,,,,,,,0,0.009,0.179,0.061,0.006,0.062,0.059,0.051,0.03,0.089,,10
Financials,Banks,Banks,1ST CONSTITUTION BANCORP,0.181,0.087,0.095,0.077,0.09,0.09,0.104,0.126,0.128,0.061,0.069,0.135,0.072,0.038,0.046,0.08,,16
Financials,Banks,Banks,1ST ENTERPRISE BANK,,,,,,,,,,,0.033,0.03,0.034,0.058,,,,4
Financials,Banks,Banks,1ST INDEPENDENCE FINL GROUP,0.03,0.051,0.033,0.044,0.067,0.095,0.137,0.162,,,,,,,,,,8
Financials,Diversified Financials,Capital Markets,1ST PRESTIGE WEALTH MGMT INC,,3.073,9.989,2.753,1.821,0.957,2.858,,,,,,,,,,,6
Financials,Banks,Banks,1ST SOURCE CORP,0.123,0.09,0.098,0.141,0.106,0.102,0.085,0.106,0.093,0.057,0.061,0.058,0.066,0.091,0.075,0.067,0.077,17
Financials,Banks,Banks,1ST STATE BANCORP INC,0.056,0.059,0.057,0.087,0.116,0.068,,,,,,,,,,,,6
Financials,Banks,Banks,1ST UNITED BANCORP INC,,,,,,,,0.126,0.129,0.032,0.018,0.01,0.013,0.027,,,,7
Financials,Insurance,Insurance,21ST CENTURY INS GROUP,0,0,0.041,0.086,0.074,0.067,0.059,,,,,,,,,,,7
Financials,Diversified Financials,Capital Markets,21ST CENTURY TECHNOLOGIES,,0.109,0.178,0.112,,,,,,,,,,,,,,3
Financials,Diversified Financials,Capital Markets,A B WATLEY GROUP INC,0.266,0.461,0.858,1.341,5.194,,,,,,,,,,,,,5
Financials,Diversified Financials,Diversified Financial Services,A-MARK PRECIOUS METALS INC,,,,,,,,,,,,,0.432,0.496,0.552,0.601,0.631,5
Financials,Not Assigned,Real Estate Investment Trusts (REITs) - Discontinued Effective 08/31/2016,AAMES INVESTMENT CORP,0.823,0.844,0.844,0.775,0.838,0.935,,,,,,,,,,,,6
Financials,Not Assigned,Real Estate,AAMES INVESTMENT CORP-OLD,,,,0.768,0.838,,,,,,,,,,,,,2
Financials,Banks,Banks,ABIGAIL ADAMS NATL BANCORP,0.028,0.029,0.039,0.066,0.039,0.057,0.021,0.053,0.119,,,,,,,,,9
Financials,Banks,Thrifts & Mortgage Finance,ABINGTON BANCORP INC,,,0.251,0.302,0.256,0.258,0.231,0.192,0.231,0.132,0.101,,,,,,,9
Financials,Banks,Thrifts & Mortgage Finance,ABINGTON BANCORP INC-OLD,0.322,0.278,0.211,0.123,,,,,,,,,,,,,,4
Financials,Banks,Banks,ABN AMRO HOLDING NV  -ADR,0.136,0.098,0.099,0.116,0.126,0.215,0.224,0.186,,,,,,,,,,8
Financials,Banks,Banks,ACADIANA BANCSHARES INC/LA,0.215,0.227,,,,,,,,,,,,,,,,2
Financials,Insurance,Insurance,ACCEPTANCE INSURANCE COS INC,0.098,0.099,0.235,0.34,,,,,,,,,,,,,,4
Financials,Banks,Thrifts & Mortgage Finance,ACCESS ANYTIME BANCORP INC,0.026,0.079,0.085,0.122,0.04,,,,,,,,,,,,,5
Financials,Banks,Banks,ACCESS NATIONAL CORP,,,,0.141,0.177,0.15,0.214,0.14,0.215,0.175,0.149,0.088,0.103,0.204,0.176,0.124,0.172,14
Financials,Banks,Thrifts & Mortgage Finance,ACCREDITED HOME LENDERS HLDG,0.848,0.913,0.942,0.925,0.921,0.918,0.919,,,,,,,,,,,7
Financials,Diversified Financials,Consumer Finance,ACE CASH EXPRESS INC,0.639,0.698,0.632,0.502,0.236,,0.274,,,,,,,,,,,6
Financials,Insurance,Insurance,ACMAT CORP  -CL A,0.247,0.224,0.176,0.144,0.117,0.102,0.088,0.071,0.055,0.094,0.084,0.073,0.084,0.093,0.106,0.13,,16
Financials,Banks,Banks,ACNB CORP,,0.082,0.104,0.18,0.213,0.196,0.213,0.174,0.195,0.141,0.124,0.117,0.102,0.126,0.116,0.097,,15
