GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Health Care,Health Care Equipment & Services,Health Care Providers & Services,21ST CENTURY ONCOLOGY HLDGS,,,,0.466,0.393,0.469,0.514,,0.454,0.454,0.491,0.694,0.845,0.897,0.859,0.985,,12
Health Care,Health Care Equipment & Services,Health Care Providers & Services,24/7 KID DOC INC,0.125,0.459,0.35,0.896,0.548,0.696,0.092,0.032,0.076,0.052,0.039,0.023,0.125,0.228,0.305,,,15
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,3-DIMENSIONAL PHARMACEUTICAL,0.02,0.053,,,,,,,,,,,,,,,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,3SBIO INC -ADR,,,,,,,0.281,0,0,0,0,0,0,,,,,7
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,4-D NEUROIMAGING,0.676,0.243,0.695,0.212,,,,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Technology,A D A M INC,0.028,0.004,0.008,0.004,0.004,0.002,0.446,0.337,0.191,0.206,,,,,,,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,AAC HOLDINGS INC,,,,,,,,,,,,,0.471,0.528,0.196,0.459,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AAIPHARMA INC,0.155,0.402,0.645,0.641,1.037,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABAXIS INC,0.159,0.121,0.032,0.001,0,0,0,0,0,0,0.004,0.005,0.004,0.003,0.002,0.002,,16
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABBOTT LABORATORIES,0.102,0.313,0.265,0.224,0.236,0.228,0.343,0.308,0.291,0.315,0.318,0.256,0.305,0.153,0.19,0.218,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABBVIE INC,,,,,,,,,,,,0.004,0.58,0.504,0.545,0.597,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABEONA THERAPEUTICS INC,0.443,0.553,0.753,1.198,1.272,1.073,2.23,0.608,1.292,3.474,0.627,0.727,0,0,0.024,0,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABGENIX INC,0,0,0.238,0.256,0.601,0.784,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABIOMED INC,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ABLE LABORATORIES INC,0.621,0.163,0.131,0.049,0.029,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABRAXIS BIOSCIENCE INC,,,,,,1.061,0,0,0,0,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABVIVA INC,0.278,0.094,0.096,0.117,0.318,0.658,0.74,2.058,,,,,,,,,,8
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AC IMMUNE SA,,,,,,,,,,,,,,,0,0,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACACIA DIVERSIFIED HLDGS INC,,,,,,,0,0.113,0.252,0.342,0.253,0.128,0.317,0.326,0.377,0,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACADIA HEALTHCARE CO INC,,,,,,,,,,,0.22,0.672,0.481,0.504,0.493,0.524,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACADIA PHARMACEUTICALS INC,,,0.401,0.154,0.063,0.029,0.027,0.016,0.019,0.009,0.003,0.001,0,0,0,0,,14
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACAMBIS PLC  -ADR,0.089,0.295,0.119,0.084,0.082,0.096,,,,,,,,,,,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACASTI PHARMA INC,,,,,,,,,,,0,0,0,0,0,0,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,ACCELERATE DIAGNOSTICS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCELERON PHARMA INC,,,,,,,,,,,,0.095,0.439,0.136,0,0,,5
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCELLENT INC,,,,,,,,,0.641,0.635,0.649,0.656,0.672,,,,,5
Health Care,Health Care Equipment & Services,Health Care Technology,ACCELPATH INC,,,,,,,,,,,,0.008,0.329,6.275,0.574,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCENTIA BIOPHARMACEUTICALS,,,,,0.822,0.93,0.833,1.579,3.722,0.135,0.407,13.262,27.382,,,,,9
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESS PLANS USA INC,0,0.02,0.073,0.041,0.014,0.016,0.015,0.063,,,,,,,,,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESSITY CORP,0.003,0,0.007,0.004,0,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCLARENT INC -REDH,,,,,,,0.051,0.025,,,,,,,,,,2
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCREDO HEALTH INC,0.181,0,0.249,0.213,0.18,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCRETIVE HEALTH INC,,,,,,,,,0,0,0,0,0,0,0,0,,8
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCUMED INTERNATIONAL INC,0.11,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCURAY INC,,,,,,0.033,0,0,0,0,0,0,0.168,0.418,0.395,0.432,0.449,12
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACELITY HOLDINGS INC -REDH,1.703,1.478,0.845,1.031,0.609,0.388,0.247,0.065,0.555,0.43,0.359,,,,0.692,,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACELRX PHARMACEUTICALS INC,,,,,,,,,0.544,0.672,1.758,0.467,0.248,0.131,0.288,0.662,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACETO CORP,0.018,0.116,0.066,0.027,0.007,0.004,0.003,0.003,0.002,0,0.002,0.176,0.153,0.099,0.225,0.225,0.22,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACHAOGEN INC,,,,,,,,,,,,,1.43,0.322,0,0.217,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACHILLION PHARMACEUTICALS,,,,,0.677,0.47,0.133,0.184,0.162,0.281,0.008,0.004,0.009,0.002,0.003,0.001,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACLARA BIOSCIENCES INC,0.003,0.005,0.006,0.005,,,,,,,,,,,,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACLARIS THERAPEUTICS INC,,,,,,,,,,,,,,0,0,0,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACORDA THERAPEUTICS INC,,,,0.193,0.286,0.768,0.366,0.205,0.091,0.059,0.036,0.024,0.014,0.009,0.27,0.267,,13
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACTAVIS PLC-PROFORMA,,,,,,,,,,,,,,0.33,,,,1
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACTINIUM PHARMACEUTICALS INC,,,,,,,,,,,,,0.024,0.027,0.038,0.01,,4
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACTIVECARE INC,,,,,,,,,,,,,1.039,0.41,0.572,2.009,9.255,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACURA PHARMACEUTICALS INC,3.854,5.985,1.272,7.96,1.025,4.248,17.781,0,0,0,0,0,0,0.335,0.6,0.457,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACUSPHERE INC,,0.345,0.396,0.018,0.058,0.223,0.235,0.322,,,,,,,,,,7
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAMAS PHARMACEUTICALS INC,,,,,,,,,,,,,0.062,0,0,0,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMIS PHARMACEUTICALS CORP,,,,,,,,,,2.636,0.73,1.781,3.356,0.028,0,0,,7
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMS RESPIRATORY THERAPTCS,,,,0.676,0,0,0,0,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAPTIMMUNE THERAPEUTCS -ADR,,,,,,,,,,,,,,0.849,0,0,,3
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADCARE HEALTH SYSTEMS INC,,,,,,0.653,0.57,0.588,0.661,0.579,0.613,0.735,0.717,0.681,0.668,0.724,,11
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADDISON-DAVIS DIAGNOSTICS,4.167,0,0.997,0.431,0.897,1.439,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADDUS HOMECARE CORP,,,,,,,,0.536,0.533,0.305,0.271,0.204,0.11,0,0.02,0.016,,9
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADEPTUS HEALTH INC,,,,,,,,,,,,,0.196,0.433,0.392,0.245,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADERIS PHARMACEUTICALS INC,0,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADEZA BIOMEDICAL CORP,,,0.269,0,0,0,0,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADMA BIOLOGICS INC,,,,,,,,,,,,,0.255,0.159,0.55,0.663,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADOLOR CORP,0.005,0.001,0,0,0,0,0,0,0,0,0,,,,,,,11
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADURO BIOTECH INC,,,,,,,,,,,,,,1.315,0,0,,3
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADV NEUROMODULATION SYS INC,0,0.003,0,0,0,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVANCED ACCELERATR APP -ADR,,,,,,,,,,,,,,0.18,0.144,0.079,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVANCED BIOHEALING  -REDH,,,,,,,,,,0.303,0.181,,,,,,,2
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADVANCED BIOMEDICAL TECH INC,,,,,,,,,,,,,11.224,15.594,17.661,27.289,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVANCED LIFE SCIENCE HLDGS,,,,7.843,4.21,0.369,0.195,0.298,4.23,1.867,10.48,,,,,,,8
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADVANCED MED OPTIC-PRO FORMA,,,,,0.343,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADVANCED MEDICAL OPTICS INC,0.291,0.251,0.601,0.511,0.513,0.283,0.423,0.585,0.558,,,,,,,,,9
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVANCED TISSUE SCI  -CL A,0.244,0.191,,,,,,,,,,,,,,,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADVANCED VIRAL RESEARCH CORP,0.028,0.03,0.354,0.483,0,0,0,0.183,,,,,,,,,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADVANCEPCS,0.281,0.155,0.121,,,,,,,,,,,,,,,3
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADVANSOURCE BIOMATERIALS CP,0.052,0,0,0.032,0,0,0,0,0,0,0,0.502,0.636,0.704,0.73,0.771,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVAXIS INC,,,,,,,,,,0.753,0.472,0.908,0.738,0.01,0.003,0,0,8
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADVERUM BIOTECHNOLOGIES,,,,,,,,,,,,,1.256,0,0,0,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AEGERION PHARMACEUTICALS INC,,,,,,,,,1.57,7.583,0,0.132,0.125,0.053,0.524,0.587,,8
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AEGLEA BIOTHERAPEUTICS INC,,,,,,,,,,,,,,,0,0,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AEOLUS PHARMACEUTICALS INC,0.013,0.005,0.517,15.986,0.1,0.925,0.269,0.235,1.041,1.472,0.273,0,0,0,0,0.409,0,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AERIE PHARMACEUTICALS INC,,,,,,,,,,,,0,0.724,0,0.771,0.774,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,AEROGEN INC,0,0,0,0.155,0,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AETERNA ZENTARIS INC,0.053,0.103,0.17,0.131,0.219,0.315,0.006,0.006,0.002,0.002,0.002,0.001,0,0,0,0,,16
