GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Industrials,Capital Goods,Construction & Engineering,180 CONNECT INC,,,,,0.32,0.422,0.441,0.358,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,3CI COMPLETE COMPLIANCE CORP,0.588,0.707,0.493,0.232,0.154,0.141,,,,,,,,,,,,6
Industrials,Capital Goods,Industrial Conglomerates,3M CO,0.195,0.198,0.22,0.171,0.14,0.119,0.17,0.202,0.265,0.213,0.184,0.166,0.179,0.181,0.221,0.331,0.354,17
Industrials,Commercial & Professional Services,Professional Services,51JOB INC  -ADR,,,,0,0,0,0,0,0,0,0,0,0,0,0.199,0.173,,13
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC,,,,,,,,,,0,42.538,,,,,,,2
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC -OLD,0.432,,,,,,,,0,,,,,,,,,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,A NOVO BROADBAND INC,0.08,0.273,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Machinery,A S V INC,0.04,0.037,0.037,0.024,0.014,0.001,0,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,A-POWER ENERGY GENERATN SYS,,,,,,0,0,0.007,0,0.056,,,,,,,,5
Industrials,Capital Goods,Electrical Equipment,A123 SYSTEMS INC,,,,,,,,0.11,0.096,0.036,0.066,0.323,,,,,,5
Industrials,Commercial & Professional Services,Professional Services,AAMPRO GROUP INC,,0.037,0.052,0.064,0.075,0.046,0.03,,,,,,,,,,,6
Industrials,Capital Goods,Building Products,AAON INC,0.179,0.024,0.039,0.052,0.003,0.001,0,0.001,0.021,0,0,0.026,0,0,0,0,,16
Industrials,Capital Goods,Aerospace & Defense,AAR CORP,0.276,0.366,0.374,0.355,0.315,0.328,0.307,0.39,0.331,0.291,0.261,0.361,0.332,0.288,0.102,0.103,,16
Industrials,Capital Goods,Trading Companies & Distributors,ABATIX CORP,0.309,0.326,0.29,0.277,0.287,0.377,0.252,0.259,0.182,0,0.001,0,,,,,,12
Industrials,Capital Goods,Electrical Equipment,ABB LTD  -ADR,0.238,0.303,0.269,0.261,0.224,0.184,0.131,0.086,0.071,0.067,0.06,0.101,0.205,0.167,0.171,0.18,,16
Industrials,Capital Goods,Machinery,ABC DISPENSING TECHNOLOGIES,1.667,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Machinery,ABC-NACO INC,0.574,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Construction & Engineering,ABENGOA SA  -ADR,,,,,,,,,,,,,,0.566,0.407,0.58,,3
Industrials,Capital Goods,Aerospace & Defense,ABILITY INC,,,,,,,,,,,,,,,0,0,,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEAUCTIONS.COM INC,0.151,0.251,0,0,0,0.098,0.041,0,0.427,,,,,,,,,9
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEST INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABM INDUSTRIES INC,0.084,0.017,0,0,0,0,0,0,0.148,0.113,0.091,0.16,0.115,0.149,0.146,0.073,0.118,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABTECH HOLDINGS INC,,,,,,,,,,,6.736,2.509,0.778,1.803,4.425,0.927,,6
Industrials,Commercial & Professional Services,Professional Services,ACACIA RESEARCH CORP,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Industrials,Capital Goods,Construction & Engineering,ACCELERATED BUILDING CONCEPT,0.009,0,0,0,0,0,0,2.173,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS TO MONEY INC,0.267,0.243,0.258,0.378,0.583,0.487,0.755,0.674,0.724,0.739,0.845,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS WORLDWIDE CMMNCTNS,0.405,0.655,0.239,0.337,0.304,0.802,0.476,0.249,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCO BRANDS CORP,,,,0.003,0,0.488,0.435,0.408,0.553,0.656,0.633,0.599,0.428,0.386,0.36,0.369,,13
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCUFACTS PRE-EMPLOYMENT SCR,0.065,0.189,0.066,0.009,0.012,0.005,,,,,,,,,,,,6
Industrials,Capital Goods,Machinery,ACCURIDE CORP,0.871,0.956,0.92,0.928,0.837,0.572,0.521,0.515,0.806,0.596,0.346,0.372,0.478,0.54,0.54,0.524,,16
Industrials,Transportation,Road & Rail,ACF INDUSTRIES HOLDING CORP,0.538,0.512,0.532,0.385,,,,,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACG HOLDINGS INC,0.866,0.901,0.832,1.113,1.197,1.401,1.556,,,,,,,,,,,7
Industrials,Transportation,Marine,ACLN LTD,0,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Electrical Equipment,ACME ELECTRIC CORP,0.229,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACME UNITED CORP,0.356,0.283,0.291,0.246,0.064,0.198,0.292,0.241,0.259,0.216,0.273,0.318,0.359,0.337,0.304,0.318,,16
Industrials,Capital Goods,Electrical Equipment,ACRODYNE COMMUNICATIONS INC,0.747,1.456,1.152,,,,,,,,,,,,,,,3
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACT CLEAN TECHNOLOGIES INC,0,0,0.473,1.462,1.406,1.404,0.976,1.555,1.871,0.455,,,,,,,,10
Industrials,Capital Goods,Machinery,ACT INTERNATIONAL INC,0,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Machinery,ACTUANT CORP  -CL A,1.037,0.955,0.654,0.47,0.457,0.444,0.396,0.374,0.344,0.258,0.227,0.255,0.198,0.243,0.21,0.359,0.405,17
