GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,1MAGE SOFTWARE INC,0.144,0.002,0.136,0.122,0.435,,,,,,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,21VIANET GROUP INC  -ADR,,,,,,,,,,,0.156,0.085,0.167,0.438,0.419,0.313,,6
Information Technology,Software & Services,Internet Software & Services,24/7 REAL MEDIA INC,0.001,0.103,0.235,0.29,0.115,0.102,0.09,,,,,,,,,,,7
Information Technology,Software & Services,Internet Software & Services,2U INC,,,,,,,,,,,,,0,0,0,0,,4
Information Technology,Software & Services,Internet Software & Services,30DC INC,,,,,,,,,,,,0,0,0,0,0,,5
Information Technology,Technology Hardware & Equipment,Communications Equipment,3COM CORP,0.001,0.067,0,0,0,0,0.2,0.17,0.11,,,,,,,,,9
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products,3D LABS INC LTD,0.345,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Software,3D PIONEER SYSTEMS INC,,,,,,,,,,,,,,0,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3D SYSTEMS CORP,0.041,0.21,0.204,0.28,0.203,0.175,0.217,0.073,0.077,0.056,0.04,0.3,0.13,0.017,0.006,0.01,,16
Information Technology,Technology Hardware & Equipment,Communications Equipment,3DICON CORP -OLD,,,,,,,,,,,,,,5.464,7.105,5.257,,3
Information Technology,Software & Services,Software,3DO CO,0.027,0,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,3DSHOPPING .COM,0.005,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3PAR INC,,,,,,0.064,0.106,0.026,0,0,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,58.COM INC  -ADR,,,,,,,,,,,,0,0,0,0,0.068,,5
Information Technology,Software & Services,Software,5B TECHNOLOGIES CORP,0.222,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,Communications Equipment,5BARZ INTERNATIONAL INC,,,,,,,,,,,,,0.22,0.104,0.082,0.624,,4
Information Technology,Software & Services,IT Services,6D GLOBAL TECHNOLOGIES,,,,,,,,,0.197,0.408,0.325,0.29,0.316,0.446,0.033,0.048,,8
Information Technology,Software & Services,Internet Software & Services,724 SOLUTIONS INC,0,0.027,0.011,0,0.43,0.59,,,,,,,,,,,,6
Information Technology,Software & Services,Software,8X8 INC,0.159,0,0,0,0,0.002,0.006,0.006,0.004,0.003,0.002,0.001,0,0.001,0,0.004,,16
Information Technology,Software & Services,Internet Software & Services,A-1 GROUP INC,,,,,,,,,,,,,3.295,2.917,8.548,,,3
Information Technology,Software & Services,Software,A10 NETWORKS INC,,,,,,,,,,,,,0.073,0.213,0,0.001,,4
Information Technology,Software & Services,Internet Software & Services,A21 GROUP INC,,,,18.839,0.586,0.53,0.734,0.843,,,,,,,,,,5
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",AAVID THERMAL TECHNOLOGIES,0.528,1.015,1.003,0.953,0.806,0.734,,,,,,,,,,,,6
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",ACACIA RESEARCH-CONSOLIDATED,0,0.025,0,0,0,0,0,0,,,,,,,,,,8
Information Technology,Software & Services,Internet Software & Services,ACCELERIZE INC,,,,,,,,,,,,,0.275,0,0.583,0.909,,4
Information Technology,Software & Services,Software,ACCELIO CORP,0.104,,,,,,,,,,,,,,,,,1
