GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Materials,Materials,Metals & Mining,37 CAPITAL INC,0,0,0,0,0,0,0,0,0,0,0,3,7.615,0.248,53,167.5,,16
Materials,Materials,Metals & Mining,3DX INDUSTRIES INC,,,,,,,,,,,,,,0.12,1.362,,,2
Materials,Materials,Chemicals,ABAKAN INC,,,,,,,,,,,,,0.32,0.421,0.506,,,3
Materials,Materials,Paper & Forest Products,ABITIBI CONSOLIDATED INC,0.497,0.517,0.515,0.487,0.504,0.468,0.485,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ACINDAR INDUSTRIA ARGENT-ADR,0.558,0.616,,,,,,,,,,,,,,,,2
Materials,Materials,Metals & Mining,ACME METALS INC,0.37,,,,,,,,,,,,,,,,,1
Materials,Materials,Containers & Packaging,ACOLOGY INC,,,,,,,,,,,,,,,2.54,2.721,,2
Materials,Materials,Metals & Mining,ADAL GROUP INC,0,0,,0,0.652,0.849,,,,,,,,,,,,5
Materials,Materials,Metals & Mining,ADEX MINING INC,,,,,,,,,,,0.003,0.001,0,0,0.139,0,,6
Materials,Materials,Chemicals,ADM TRONICS UNLIMITED INC/DE,0.063,0.067,0.103,0.118,0.927,1.745,0,0,0.068,0.132,0.174,0.12,0.162,0.165,0.091,0.028,,16
Materials,Materials,Chemicals,ADVANCED EMISSIONS SOLUTIONS,,,0.004,0.195,0,0,0,0,0,0,0,0.137,0.077,,,0.461,,12
Materials,Materials,Chemicals,ADVANCED MATERIALS GROUP INC,0.304,0.269,0.387,0.497,0.431,0.391,0.23,0.284,0.376,,,,,,,,,9
Materials,Materials,Chemicals,ADVANSIX INC,,,,,,,,,,,,,,,0,0.001,,2
Materials,Materials,Containers & Packaging,AEP INDUSTRIES INC,0.596,0.559,0.546,0.558,0.593,0.63,0.585,0.599,0.637,0.49,0.545,0.574,0.504,0.514,0.574,0.485,0.345,17
Materials,Materials,Metals & Mining,AFRICAN GOLD GROUP INC,,,,,,,,,,,,,0,0,0,0,,4
Materials,Materials,Metals & Mining,AGNICO EAGLE MINES LTD,0.495,0.372,0.242,0,0.197,0.134,0,0.006,0.066,0.176,0.127,0.19,0.163,0.206,0.207,0.172,,16
Materials,Materials,Chemicals,AGRAQUEST INC,0.232,,,,,,,,,,,,,,,,,1
Materials,Materials,Chemicals,AGRIUM INC,0.344,0.413,0.351,0.323,0.226,0.171,0.275,0.163,0.227,0.184,0.2,0.18,0.248,0.243,0.298,0.327,,16
Materials,Materials,Chemicals,AGROFRESH SOLUTIONS INC,,,,,,,,,,,,,,0,0,0.379,,3
Materials,Materials,Chemicals,AIR LIQUIDE SA  -ADR,0.225,0.264,0.217,0.197,0.317,0.27,0.267,0.293,0.331,0.308,0.293,0.292,0.291,0.279,0.27,0.283,,16
Materials,Materials,Containers & Packaging,AIR PACKAGING TECHNOLOGY INC,0.244,1.009,,,,,,,,,,,,,,,,2
Materials,Materials,Chemicals,AIR PRODUCTS & CHEMICALS INC,0.368,0.311,0.284,0.27,0.241,0.245,0.26,0.29,0.316,0.345,0.306,0.319,0.312,0.351,0.344,0.337,0.345,17
Materials,Materials,Chemicals,AIRGAS INC,0.454,0.451,0.388,0.357,0.363,0.326,0.422,0.411,0.4,0.336,0.375,0.406,0.464,0.431,0.389,0.422,,16
Materials,Materials,Metals & Mining,AK STEEL HOLDING CORP,0.277,0.268,0.245,0.251,0.204,0.203,0.202,0.128,0.135,0.142,0.155,0.202,0.362,0.418,0.505,0.576,0.45,17
Materials,Materials,Chemicals,AKZO NOBEL NV  -ADR,0.387,0.348,0.295,0.264,0.238,0.246,0.232,0.187,0.196,0.205,0.188,0.178,0.225,0.226,0.205,0.162,,16
Materials,Materials,Metals & Mining,ALAMOS GOLD INC,,0,0.199,0.17,0.083,0.041,0.182,0.046,0.049,0.038,0.038,0.07,0.06,0.102,0.138,0.13,,15
Materials,Materials,Metals & Mining,ALAMOS GOLD INC -OLD,,,,,,,,,,,0,0,0,0,0,,,5
Materials,Materials,Chemicals,ALBEMARLE CORP,0.1,0.151,0.151,0.165,0.387,0.327,0.29,0.256,0.325,0.293,0.281,0.238,0.203,0.301,0.562,0.401,,16
Materials,Materials,Metals & Mining,ALCAN INC,0.25,0.234,0.22,0.305,0.282,0.241,0.207,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ALCOA CORP,,,,,,,,,,,,,,,0.018,0.014,0.086,3
Materials,Materials,Metals & Mining,ALDERON IRON ORE CORP,,,,,,,,,,0,0,0,0,0,0.069,0.078,,7
Materials,Materials,Chemicals,ALDEROX INC,1.9,1.447,1.911,2.543,0.27,2.588,3.249,2.085,,,,,,,,,,8
Materials,Materials,Metals & Mining,ALERIS CORP,0.297,0.308,0.33,0.465,0.385,0.419,,,,0.533,0.028,0.295,0.421,0.5,0.517,0.518,,13
Materials,Materials,Metals & Mining,ALEXCO RESOURCE CORP,,,,,,0,0,0,0,0,0,0,0,0,0,0,,11
Materials,Materials,Metals & Mining,ALHAMBRA RESOURCES LTD,,,,,,,,,,,,,0.005,0.006,,,,2
Materials,Materials,Metals & Mining,ALLEGHENY TECHNOLOGIES INC,0.196,0.22,0.248,0.282,0.252,0.205,0.169,0.129,0.122,0.246,0.237,0.25,0.237,0.282,0.232,0.26,0.363,17
Materials,Materials,Paper & Forest Products,ALLIANCE FOREST PRODS INC,0.213,,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ALLIED AMERICAN STEEL CORP,,,,,,,,,,,,0,,,,,,1
