GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACADIA REALTY TRUST,0.529,0.53,0.492,0.491,0.387,0.478,0.525,0.518,0.59,0.564,0.561,0.477,0.381,0.459,0.414,0.448,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACRE REALTY INVESTORS INC,0.712,0.729,0.768,0.774,0.564,0.526,0.581,0.598,0.394,0.473,0.456,0.481,0.367,0.198,0,0,,16
Real Estate,Real Estate,Real Estate Management & Development,ADVANCED OXYGEN TECHNOLOGY,0,0,0,0.003,0.003,,0.732,0.643,0.558,0.394,0.447,0.373,0.358,0.309,0.532,0.551,0.426,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AGREE REALTY CORP,0.627,0.631,0.647,0.438,0.431,0.305,0.308,0.345,0.391,0.399,0.35,0.406,0.435,0.342,0.374,0.403,,16
Real Estate,Real Estate,Real Estate Management & Development,ALEXANDER & BALDWIN INC,,,,,,,,,,,,0.263,0.165,0.311,0.303,0.262,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDER'S INC,0.912,0.884,0.818,0.794,0.765,0.769,0.738,0.724,0.762,0.751,0.742,0.751,0.719,0.72,0.726,0.727,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDRIA R E EQUITIES INC,0.552,0.596,0.53,0.557,0.634,0.595,0.56,0.601,0.578,0.503,0.438,0.423,0.445,0.407,0.452,0.445,,16
Real Estate,Real Estate,Real Estate Management & Development,ALON BLUE SQUARE ISRAEL -ADR,0.215,0.188,0.208,0.281,0.297,0.397,0.349,0.332,0.381,0.453,0.533,0.545,0.567,0.571,0.582,0.444,,16
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE ASSET MGMT CORP,,,,,,,,,,,,,0,0.429,0.485,0.504,,4
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE PORTFOLIO SOLTNS,,,,,,,,0.041,0.032,0.006,0.008,0.004,0.462,0.551,0.753,0.743,,9
Real Estate,Real Estate,Real Estate Management & Development,AMBASE CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN ASSETS TRUST INC,,,,,,,,,0.778,0.793,0.801,0.552,0.572,0.57,0.547,0.536,,8
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN CAMPUS COMMUNITIES,,,0.812,0.834,0.548,0.529,0.489,0.505,0.585,0.548,0.5,0.481,0.434,0.49,0.509,0.493,,14
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN FARMLAND CO,,,,,,,,,,,,,,0,0.135,0.143,,3
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN HOMES 4 RENT,,,,,,,,,,,,0,0,0.105,0.297,0.389,,5
