GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,360NETWORKS INC,0.339,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ABOVENET INC,0.424,,,,,,0.004,0.004,0.072,0.068,0.063,0.062,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ADELPHIA BUSINESS SOLUTIONS,0.736,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AIRGATE PCS INC,0.672,0.948,1.236,1.39,1.011,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALAMOSA HOLDINGS INC,0.578,0.517,0.743,0.604,0.629,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALASKA COMMUNICATIONS SYS GP,0.676,0.678,0.866,0.803,0.825,0.773,0.779,0.653,0.741,0.801,0.892,0.941,0.903,0.609,0.532,0.419,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLEGIANCE TELECOM INC,0.341,0.573,0.833,0,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLIED RISER COMMUNICATIONS,0.38,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLSTREAM INC -CL B,0.842,0.985,0.012,0.02,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALLTEL CORP,0.384,0.31,0.405,0.352,0.336,0.249,0.149,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLTEL PENNSYLVANIA INC,0.233,0.193,0.154,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALTEVA INC,0.213,0.216,0.162,0.12,0.171,0.15,0.144,0.127,0.103,0.074,0.05,0.125,0.324,0.28,0.011,,,15
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AMERICA MOVIL SAB DE CV -ADR,0.089,0.232,0.409,0.329,0.316,0.298,0.346,0.3,0.33,0.245,0.346,0.403,0.416,0.478,0.472,0.527,,16
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AMERICAN CELLULAR CORP,,0.671,1.315,0.562,0.575,0.569,0.593,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AMERN NORTEL COMMUNICATIONS,0.003,0.008,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,APT SATELLITE HOLDINGS -ADR,0.162,0.116,0.146,0.215,0.269,0.309,0.275,0.219,,,,,,,,,,8
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AQUIS COMMUNICATIONS INC,1.29,2.687,1.917,3.439,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ARBINET CORP,,,0.295,0.278,0.032,0.009,0.066,0.007,0.05,0.083,,,,,,,,8
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AREL COMMUNICATIONS & SFTWR,0,0.001,0.002,0.004,0,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ARGUSS COMMUNICATIONS INC,0.347,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ASIA GLOBAL CROSSING LTD,0.333,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ASIA SATELLITE TELECOM  -ADR,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ASKMENOW INC,0.916,0.919,0.916,0.879,0.934,0,0.19,5.011,,,,,,,,,,8
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AT HOME CORP,0.429,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AT ROAD INC,0,0,0,0,0,0,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AT&T CORP,0.288,0.352,0.408,0.3,0.325,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AT&T INC,0.273,0.272,0.232,0.179,0.248,0.21,0.221,0.233,0.283,0.268,0.246,0.24,0.256,0.269,0.28,0.313,0.306,17
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AT&T INC-PRO FORMA,,,,,0.253,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,AT&T LATIN AMERICA CORP,0.162,0.458,1.67,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AT&T MOBILITY LLC,0.69,0.556,0.522,0.497,0.316,0.269,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AT&T WIRELESS SERVICES INC,0.072,0.161,0.241,0.223,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ATN INTERNATIONAL INC,0.03,0.056,0.038,0.024,0.07,0.238,0.165,0.145,0.176,0.164,0.343,0.323,0.293,0,0.042,0.035,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ATX COMMUNICATIONS INC,0.44,21.06,0.974,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,B COMMUNICATIONS LTD,,,,,,0.205,0.252,0.355,0.372,0.493,0.451,0.556,0.599,0.628,0.653,0.65,,11
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BCE INC,0.388,0.37,0.39,0.345,0.334,0.332,0.348,0.3,0.31,0.286,0.303,0.376,0.391,0.417,0.434,0.423,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELL CANADA,0.423,0.444,0.453,0.396,0.38,0.382,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELL CANADA INTL INC,0.611,0.674,0.358,0.392,0,0,0,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELLSOUTH CORP,0.393,0.387,0.352,0.301,0.346,0.304,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BIPER SA DE CV  -ADR,0,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOINGO WIRELESS INC,,,,,,,,,,0.009,0.003,0.002,0.001,0.005,0.019,0.063,,7
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOSTON COMMUNICATIONS GROUP,0.016,0.006,0,0,0,0,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BRASIL TELECOM PART  -ADR,0.212,0.192,0.309,0.228,0.251,0.251,0.278,0.229,0.24,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADBAND WIRELESS INTL CORP,0.085,0.869,0,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADCAST INTERNATIONAL INC,0.314,0.4,0.543,0.05,0.353,0.206,0.407,0.138,0.742,1.983,0.65,1.853,1.155,9.677,,,,14
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADVIEW NETWORKS HLDG INC,,,,,,0.747,0.684,0.822,0.938,1.012,1.099,1.166,0.675,0.721,0.768,0.803,,11
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADWING CORP,0.021,0.012,0.008,0.006,0.217,0.094,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BT GROUP PLC  -ADR,0.564,0.666,0.567,0.515,0.467,0.402,0.356,0.386,0.475,0.446,0.419,0.438,0.403,0.394,0.359,0.335,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BTI TELECOM CORP,0.947,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CA NAC TELEFONOS VENEZ  -ADR,0.085,0.084,0.077,0.068,0.04,0.014,0.007,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CABLE & WIRELESS PLC  -ADR,0.123,0.139,0.21,0.185,0.165,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CALL-NET ENTERPRISES  -CL B,0.795,1.609,0.514,0.462,0.414,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CAPSULE COMMUNICATIONS INC,0.167,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARDINAL COMMUNICATIONS INC,0.017,0.083,0.219,0.059,0.547,0.815,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARRIER1 INTL SA  -ADR,0.229,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CBEYOND INC,,,,0.789,0.716,0.003,0.001,0,0,0,0,0,0.032,0.076,,,,11
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CELEXPRESS INC,1.368,0.407,1.473,0,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CELLCO PARTNERSHIP,,,0.215,0.215,0.214,0.214,,,0.198,0.198,0.12,0.079,0.071,,,,,9
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CELLCOM ISRAEL LTD,,,,,0.178,0.3,0.649,0.587,0.688,0.711,0.711,0.718,0.741,0.717,0.641,0.603,,12
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CENTENNIAL COMMUN CP  -CL A,1.061,1.125,1.216,1.148,1.119,1.487,1.548,1.462,1.389,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CENTURYLINK INC,0.544,0.49,0.47,0.403,0.386,0.342,0.348,0.368,0.402,0.344,0.332,0.389,0.381,0.405,0.412,0.425,,16
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CHADMOORE WIRELESS GROUP INC,0.893,1.165,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CHINA MOBILE LTD  -ADR,0.223,0.16,0.156,0.106,0.058,0.087,0.074,0.06,0.051,0.045,0.039,0.03,0.027,0.004,0.004,0.003,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA NETCOM GROUP CORP -ADR,,,,0.391,0.354,0.357,0.35,0.287,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA PRINTING INC,0.498,1.262,0.968,1.747,2.317,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA TELECOM CORP LTD  -ADR,0.131,0.156,0.124,0.315,0.365,0.338,0.302,0.258,0.28,0.248,0.181,0.124,0.183,0.203,0.191,0.185,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA UNICOM (HONG KONG)-ADR,0.316,0.347,0.356,0.364,0.327,0.242,0.175,0.026,0.087,0.172,0.215,0.23,0.275,0.271,0.251,0.242,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHOICE ONE COMMUNICATION INC,0.486,0.634,1.354,1.734,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHORUS COMMUNICATION GRP LTD,0.516,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHUNGHWA TELECOM CO  -ADR,,0.041,0,0.002,0.002,0.001,0.001,0,0.001,0.002,0.008,0.004,0.005,0.004,0.006,0.004,,15
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CIBL INC,,,,,,,,,,,,,,0.054,0.066,0.07,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CINCINNATI BELL INC,0.389,0.452,1.743,1.103,1.093,1.119,1.029,0.995,0.94,0.959,0.951,0.933,0.936,1.075,0.98,0.856,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CITIZENS COMMUN  -PRO FORMA,,,,,,,0.635,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CLEARWIRE CORP,,,,,,,,0,0.15,0.241,0.366,0.458,0.562,,,,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CLEARWIRE CORP-OLD,,,,,,,0.312,0.468,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COGENT COMMUNICATIONS HLDGS,0.381,0.633,0.853,0.243,0.334,0.282,0.288,0.633,0.559,0.496,0.486,0.646,0.652,0.657,0.802,0.895,,16
