GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Utilities,Utilities,Independent Power and Renewable Electricity Producers,3POWER ENERGY GROUP INC,,,,,,,,,,71.786,,13.041,37.588,71,51,9.207,,6
Utilities,Utilities,Independent Power and Renewable Electricity Producers,808 RENEWABLE ENERGY CORP,,,,,,,,,,,,,,0.008,0.001,0.012,,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,8POINT3 ENERGY PARTNERS LP,,,,,,,,,,,,,,0.172,0.375,0.294,,3
Utilities,Utilities,Multi-Utilities,AEI,,,,,,,,0.435,0.46,0.369,,,,,,,,3
Utilities,Utilities,Electric Utilities,AEP GENERATING CO,0.196,0.214,0.21,0.216,0.224,0.244,0.25,0.43,0.422,0.424,0.361,0.318,0.32,0.309,0.3,0.364,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS CENTRAL CO,0.342,0.341,0.439,0.394,0.335,0.395,0.567,0.567,0.547,0.529,0.51,0.423,0.531,0.524,0.516,0.485,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS NORTH CO,0.289,0.332,0.385,0.354,0.299,0.266,0.288,0.297,0.344,0.373,0.328,0.339,0.348,0.353,0.362,0.362,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AES CORP,0.625,0.633,0.622,0.657,0.644,0.603,0.514,0.524,0.522,0.504,0.487,0.498,0.511,0.521,0.535,0.565,,16
Utilities,Utilities,Gas Utilities,ALABAMA GAS CORP,0.297,0.369,0.327,0.226,0.264,0.284,0.268,0.276,0.239,0.19,0.236,0.227,0.276,0.25,0.187,0.185,0.209,17
Utilities,Utilities,Electric Utilities,ALABAMA POWER CO,0.391,0.394,0.403,0.348,0.343,0.346,0.337,0.328,0.356,0.353,0.344,0.332,0.33,0.324,0.323,0.316,,16
Utilities,Utilities,Water Utilities,ALANCO TECHNOLOGIES INC,0.12,0.116,0.183,0.201,0.071,0.108,0.164,0.262,0.182,0.193,0.31,0.004,0.028,0,0,0,0.049,17
