GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,13
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,,,,,,,,,,,,,,,0,0,0,3
Consumer Discretionary,Media,Media,21ST CENTURY FILM CORP,,0,0,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,4LICENSING CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,,,,,,,,,,,,,,0,0,0,0,4
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,,,,,,,,,,0,0,0,0,,,,,4
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,0,0,,,,0,,,,,,,,,,,,3
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Discretionary,Media,Media,A. H. BELO CORP,,,,,,,,,28.67,0,0,3.789,10.323,3.748,39.21,6.4,5.039,9
Consumer Discretionary,Retailing,Specialty Retail,A.A. IMPORTING CO INC,,,,0,0,0,0,0,0,0,0,0,0,,0,0,,12
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Discretionary,Retailing,Specialty Retail,AARON'S INC,0.284,0.245,0.183,0.165,0.157,0.256,0.198,0.317,0.244,0.249,0.24,0.202,0.219,0.245,0.281,0.42,0.32,17
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ABAZIAS INC,,,,,,,,0,0,,,,,,,,,2
Consumer Discretionary,Retailing,Specialty Retail,ABBY INC,,,,,,,,,,,,,0,0,0,0,0,5
Consumer Discretionary,Retailing,Specialty Retail,ABERCROMBIE & FITCH  -CL A,0,0,0,0,0.998,0.904,0.88,0.88,3.922,2.219,1.389,1.524,1.4,2.261,3.135,3.049,,16
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACCOM INC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,13
Consumer Discretionary,Media,Media,ACI TELECENTRICS INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Consumer Discretionary,Media,Media,ACKERLEY GROUP INC,0.222,0,,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,ACNIELSEN CORP,0,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ACORN INTERNATIONAL INC -ADR,,,,,,,,0,0,20.93,16.351,0,0,0,0,0,0,10
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ACORN PRODUCTS INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACQUITY GROUP LTD  -ADR,,,,,,,,,,,,,0,,,,,1
Consumer Discretionary,Retailing,Distributors,ACR GROUP INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ACRES GAMING INC,0,0,0,0,,,,,,,,,,,,,,4
Consumer Discretionary,Media,Media,ACT TELECONFERENCING INC,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,13
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACTION PERFORMANCE COS INC,0,0,0,0.777,1.974,0.4,,,,,,,,,,,,6
Consumer Discretionary,Media,Media,ACTIONVIEW INTERNATIONAL-OLD,0,0,0,0,0,0,0,0,0,,,,,,,,,9
Consumer Discretionary,Media,Media,ACTV INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACUSHNET HOLDINGS CORP,,,,,,,,,,,,,,,,,0,1
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ADAMS GOLF INC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Consumer Discretionary,Media,Media,ADELPHIA COMMUN  -CL A,0,0,0,0,0,0,0,0,,,,,,,,,,8
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE AUTO PARTS INC,,0,0,0,0,0,0.675,0.632,0.713,0.593,0.363,0.345,0.332,0.217,0.151,0.159,0.142,16
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ENGINE TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ADVANCED LIGHTING TECH INC,0,0,0,0,,,,,,,,,,,,,,4
Consumer Discretionary,Retailing,Distributors,ADVANCED MARKETING SERVICES,0.169,0.167,0.357,0.404,0,0,0,,,,,,,,,,,7
Consumer Discretionary,Media,Media,ADVANCED PROMOTION TECH INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Specialty Retail,ADVANTAGE LIFE PRODUCTS,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Discretionary,Media,Media,ADVO INC,0,0,0,0,1.422,1.406,1.573,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AEGEA INC -OLD,,,,,,,,,,,,,,0,0,,,2
Consumer Discretionary,Media,Media,AEGIS COMMUNICATIONS GROUP,0,0,0,0,0,0,,,,,,,,,,,,6
Consumer Discretionary,Automobiles & Components,Auto Components,AERO PERFORMANCE PRODUCTS,,,,0,0,0,0,0,0,0,0,0,,,,,,9
Consumer Discretionary,Retailing,Distributors,AERO SYSTEMS INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AEROGROW INTERNATIONAL INC,,,,,,,,0,0,0,0,0,0,0,0,0,,9
Consumer Discretionary,Retailing,Specialty Retail,AEROPOSTALE INC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AFFINITY INTL TRAVEL SYS,0,0,0,0,0,,,,,,,,,,,,,5
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AFTERMASTER INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AG&E HOLDINGS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.837,0,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AGP & CO INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Automobiles & Components,Auto Components,AGRI DYNAMICS INC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Consumer Discretionary,Retailing,Distributors,AGRITEK HOLDINGS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Retailing,Specialty Retail,AID AUTO STORES INC,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",AILEEN INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,AIRMEDIA GROUP INC -ADS,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AJAY SPORTS INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Consumer Discretionary,Retailing,Multiline Retail,ALCO STORES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15
Consumer Discretionary,Consumer Services,Diversified Consumer Services,ALDERWOODS GROUP INC,0,0,0,0,0,0,,,,,,,,,,,,6
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ALDILA INC,0,0,0,0,0.984,9.634,4.021,3.661,223.629,0,5,0,0,,,,,13
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ALL AMERICAN GROUP INC,1.905,1.667,1.392,1.325,1.382,2.032,1.636,1.008,0,0,0,,,,,,,11
Consumer Discretionary,Retailing,Distributors,ALL AMERICAN SEMICONDUCTOR,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ALL AMERICAN SPORTPARK INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ALL AMERN FOOD GROUP INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Consumer Discretionary,Retailing,Multiline Retail,ALL FOR A DOLLAR INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Consumer Discretionary,Media,Media,ALLIANCE ATLANTIS COMM -CL B,0,0,0,0,0,0,0,,,,,,,,,,,7
Consumer Discretionary,Retailing,Distributors,ALLIANCE MEDIA HOLDINGS INC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Consumer Discretionary,Media,Media,ALLIANCE MMA INC,,,,,,,,,,,,,,,,,0,1
Consumer Discretionary,Media,Media,ALLOY INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ALPHA SOLARCO INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ALTERNATE MARKETING NETWORKS,0,0,181.818,0,0,0,13.889,16.667,35,28.571,20,10.145,,,,,,12
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMARILLO MESQUITE GRILL INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMAYA INC,,,,,,,,,,,,,,,,0,0,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,AMAZON.COM INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMBASSADOR FOOD SVCS CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMBASSADORS GROUP INC,,,0,0.468,1.292,1.223,1.219,2.512,5,1.81,2.087,5.322,17.371,1.29,0,,,13
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMBIENT WATER CORP,,,,,,,,,,,,,0,0,0,0,0,5
Consumer Discretionary,Consumer Services,Diversified Consumer Services,AMBOW EDUCATION HLDGS  -ADR,,,,,,,,,,,0,0,0,0,0,0,0,7
