GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Staples,Food Beverage & Tobacco,Tobacco,22ND CENTURY GROUP INC,,,,,,,,,,,,0,0,0,0,0,0,6
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,7-ELEVEN INC,0,0,0,0,0,,,,,,,,,,,,,5
Consumer Staples,Food Beverage & Tobacco,Food Products,A & A INTL INDS INC,0,,,,,,,,,,,,,,,,,1
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,A.C. SIMMONDS & SONS INC,,,,,,,,,,,,,,0,0,0,0,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ACCUHEALTH INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Staples,Food Beverage & Tobacco,Food Products,ACTIVE HEALTH FOODS INC,,,,,,,,,,,,,0,0,0,0,0,5
Consumer Staples,Food Beverage & Tobacco,Food Products,ADECOAGRO SA,,,,,,,,,,,,0,0,0,0,0,0,6
Consumer Staples,Household & Personal Products,Personal Products,ADRIEN ARPEL INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,ADVANCEPIERRE FOODS HOLDINGS,,,,,,,,,,,,,,,,,0.94,1
Consumer Staples,Household & Personal Products,Personal Products,AGE RESEARCH INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED INDUSTRIES INC,,,,,,,0,0,0,0,0,0,0,0,,,,8
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIA CORP -ADS,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIBIOTECH INC,0,0,0,,0,,,,,,,,,,,,,4
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIBRANDS INTERNATIONAL INC,0,,,,,,,,,,,,,,,,,1
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRISTAR INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Staples,Household & Personal Products,Personal Products,AGRITECH WORLDWIDE INC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Consumer Staples,Household & Personal Products,Personal Products,AIRWARE LABS CORP,,,,,,,,,,,,,,0,0,0,0,4
Consumer Staples,Household & Personal Products,Personal Products,ALBERTO-CULVER CO,1.007,0.829,0.719,0.689,0.851,0.994,0.969,101.513,0.918,1.048,0.876,,,,,,,11
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSON'S INC,2.681,2.643,3.535,3.253,3.322,3.022,,,,,,,,,,,,6
Consumer Staples,Food Beverage & Tobacco,Food Products,ALICO INC,1.86,3.509,3.508,1.237,1.363,1.923,1.701,2.151,1.739,2.807,0.592,0.509,0.897,0.777,0.945,0.591,0.894,17
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKALINE WATER COMPANY INC,,,,,,,,,,,,,,0,0,0,,3
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKAME HOLDINGS INC,,,,,,,,,,,,,,0,0,0,0,4
Consumer Staples,Household & Personal Products,Personal Products,ALLERGY RESEARCH GROUP INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALLIANCE BOOTS PLC -ADR,4.68,4.412,5.724,4.198,4.673,47.99,2.886,,,,,,,,,,,7
Consumer Staples,Food Beverage & Tobacco,Tobacco,ALLIANCE ONE INTL INC,9.412,2,2.89,4.225,4.8,2.16,0,0,0,0,0,0,0,0,0,0,,16
Consumer Staples,Food Beverage & Tobacco,Beverages,ALLIED DOMECQ PLC  -ADR,87.464,3.158,3.184,3.781,3.267,2.459,,,,,,,,,,,,6
Consumer Staples,Household & Personal Products,Personal Products,ALTEROLA BIOTECH INC,,,,,,,,,,,0,0,0,0,0,0,0,7
Consumer Staples,Food Beverage & Tobacco,Tobacco,ALTRIA GROUP INC,4.591,4.842,6.02,4.851,4.615,4.095,3.869,4.035,11.155,6.724,5.93,5.329,5.407,4.793,4.059,3.728,3.475,17
Consumer Staples,Food Beverage & Tobacco,Beverages,AMBEV SA  -ADR,1.401,1.517,1.145,3.714,1.724,4.284,2.775,2.584,6.487,3.277,3.214,3.042,3.51,1.762,5.177,4.939,3.821,17
Consumer Staples,Food Beverage & Tobacco,Food Products,AMER ITALIAN PASTA CO  -CL A,0,0,0,0,1.434,5.277,0,0,0,0,,,,,,,,10
Consumer Staples,Food Beverage & Tobacco,Tobacco,AMERICAN HERITAGE INTL INC,,,,,,,,,,,,,,0,0,0,0,4
Consumer Staples,Food Beverage & Tobacco,Food Products,AMERICAN LORAIN CORP,,,,,,0,0,74.875,0,0,0,0,0,0,0,0,0,12
Consumer Staples,Household & Personal Products,Personal Products,AMERICAN ORIENTAL BIOENGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Staples,Food Beverage & Tobacco,Food Products,AMIRA NATURE FOODS LTD,,,,,,,,,,,,,0,0,0,0,,4
Consumer Staples,Food Beverage & Tobacco,Food Products,AMPLIFY SNACK BRANDS,,,,,,,,,,,,,,,,0,0,2
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ANDERSONS INC,2.841,2.6,2.087,1.785,1.216,0.778,0.431,0.558,2.018,1.356,1.045,1.099,1.422,0.723,0.884,1.818,1.398,17
Consumer Staples,Food Beverage & Tobacco,Beverages,ANHEUSER-BUSCH COS INC,1.385,1.526,1.55,1.576,1.833,2.398,2.297,2.388,,,,,,,,,,8
Consumer Staples,Food Beverage & Tobacco,Beverages,ANHEUSER-BUSCH INBEV  -ADR,,,,,,,,,,0,0.865,1.936,1.785,2.844,2.884,3.161,3.798,8
Consumer Staples,Food Beverage & Tobacco,Food Products,ANNIE'S INC,,,,,,,,,,,,0,0,0,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,ANPULO FOOD INC,,,,,,,,,,,,,,,0,0,0,3
Consumer Staples,Food Beverage & Tobacco,Food Products,AOXIN TIANLI GROUP,,,,,,,,,,,0,0,0,0,0,0,0,7
Consumer Staples,Food Beverage & Tobacco,Food Products,APPLETREE COMPANIES INC,,,,,0,0,,,,,,,,,,,,2
Consumer Staples,Household & Personal Products,Household Products,APPLEWOODS INC,,0,0,0,0,0,0,0,0,0,0,,,,,,,10
Consumer Staples,Food Beverage & Tobacco,Food Products,AQUAPRO CORP,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Staples,Food Beverage & Tobacco,Food Products,ARCADIA BIOSCIENCES INC,,,,,,,,,,,,,,,,0,0,2
Consumer Staples,Food Beverage & Tobacco,Food Products,ARCHER-DANIELS-MIDLAND CO,2.014,1.514,1.526,1.865,1.609,1.497,0.896,1.299,1.452,2.017,2.246,2.056,2.32,1.751,1.846,3.053,2.629,17
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ARDEN GROUP INC  -CL A,0,0,0,0.645,21.255,1.099,0.808,0.646,20.635,1.046,1.212,1.111,23.341,0.79,,,,14
Consumer Staples,Food Beverage & Tobacco,Beverages,ARISTOCRAT GROUP CORP,,,,,,,,,,,,,,0,0,0,0,4
Consumer Staples,Food Beverage & Tobacco,Food Products,ARMANINO FOODS DISTINCTION,5.926,9.483,7.782,32.134,9.146,15.686,4.167,8.333,11.5,8.125,5.749,5.641,6.522,2.887,3.333,3.737,3.527,17
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ASCENDANT SOLUTIONS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Staples,Household & Personal Products,Personal Products,ASCENDIA BRANDS INC,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,14
Consumer Staples,Food Beverage & Tobacco,Beverages,ASCONI CORP,0,0,0,0,,0,0,0,0,0,,,,,,,,9
Consumer Staples,Food Beverage & Tobacco,Food Products,ASIA GREEN AGRICULTURE CORP,,,,,,,,,,,0,0,0,0,,,,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ATLANTIC PREMIUM BRANDS LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.429,444.444,87.5,17
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ATLAS RESOURCES INTL INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Consumer Staples,Food Beverage & Tobacco,Food Products,AURORA FOODS INC,0,0,0,0,,,,,,,,,,,,,,4
Consumer Staples,Household & Personal Products,Personal Products,AVON PRODUCTS,1.546,1.634,1.485,1.245,1.447,2.312,2.119,1.872,3.329,2.667,3.028,5.266,5.223,1.394,2.556,5.926,0,17
Consumer Staples,Household & Personal Products,Personal Products,AZUREL LTD,0,0,0,0,0,0,,,,,,,,,,,,6
Consumer Staples,Food Beverage & Tobacco,Food Products,B&G FOODS INC,,,,,2.931,11.749,8.521,10.406,14.926,7.407,4.953,3.573,3.886,3.627,4.548,3.941,3.938,13
Consumer Staples,Household & Personal Products,Personal Products,BACTOLAC PHARMACEUTICAL INC,0,0,0,0,0,0,0,0,0,0,0,5,5,1.4,1.167,0,1.167,17
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BALFOUR MACLAINE CORP,,0,0,0,0,0,0,0,0,0,,,,,,,,9
Consumer Staples,Household & Personal Products,Personal Products,BARE ESCENTUALS INC,,,,,,,0,0,0,0,,,,,,,,4
Consumer Staples,Food Beverage & Tobacco,Food Products,BARFRESH FOOD GROUP INC,,,,,,,,,,,,,0,0,0,0,0,5
Consumer Staples,Household & Personal Products,Personal Products,BAZI INTERNATIONAL INC -OLD,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12
Consumer Staples,Food Beverage & Tobacco,Beverages,BEAM INC,3.1,2.45,2.193,1.595,1.633,1.769,1.757,2.239,4.167,2.338,1.261,1.484,1.342,1.322,,,,14
Consumer Staples,Food Beverage & Tobacco,Beverages,BERINGER WINE EST HLD  -CL B,0,,,,,,,,,,,,,,,,,1
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BEV-TYME INC,0,0,0,,,,,,,,,,,,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,BIG HEART PET BRANDS,0,0,0,0,0,0.686,1.379,1.774,2.119,1.339,1.474,,,,,,,11
Consumer Staples,Food Beverage & Tobacco,Beverages,BIG ROCK BREWERY INC,0,0,1.852,5.793,5.391,10.928,9.963,9.299,23.269,6.38,7.506,6.643,5.395,4.726,6.481,0,0,17
Consumer Staples,Household & Personal Products,Personal Products,BIOLOGIX HAIR INC,,,,,,,,,,,,,0,0,0,0,0,5
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BIONOVA HOLDING CORP,0,0,0,0,,,,,,,,,,,,,,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BJ'S WHOLESALE CLUB INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Consumer Staples,Food Beverage & Tobacco,Food Products,BLUE BUFFALO PET PRODUCTS,,,,,,,,,,,,,,,,0,0,2
Consumer Staples,Household & Personal Products,Personal Products,BODY SHOP INTL PLC  -ADR,8.577,6.986,7.715,,,,,,,,,,,,,,,3
Consumer Staples,Household & Personal Products,Personal Products,BONAMOUR INC,,,,,,,,,,,0,0,0,0,0,0,,6
Consumer Staples,Food Beverage & Tobacco,Beverages,BOSTON BEER INC  -CL A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Staples,Food Beverage & Tobacco,Food Products,BOULDER BRANDS INC,,,,,,,0,0,0,0,0,0,0,0,0,0,,10
Consumer Staples,Food Beverage & Tobacco,Beverages,BOULDER BREWING CO,0,,,,,,,,,,,,,,,,,1
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BOWLIN OUTDOOR AD&TRAVEL CTR,0,,,,,,,,,,,,,,,,,1
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,BOZZUTOS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Consumer Staples,Household & Personal Products,Household Products,BRAND MARVEL WRLDWD CONS PRO,,,,,,,,,,,,0,0,0,0,,0,5
Consumer Staples,Food Beverage & Tobacco,Food Products,BRASILAGRO CIA BRAS DE  -ADR,,,,,,,,,,,,,0,0,0.97,0,10.145,5
Consumer Staples,Food Beverage & Tobacco,Food Products,BRAVO BRANDS INC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Consumer Staples,Food Beverage & Tobacco,Food Products,BRF SA -ADR,2.161,6.944,7.841,3.182,2.737,1.601,1.675,0.872,3.056,0.48,1.057,2.232,0.269,1.456,1.53,3.658,1.602,17
Consumer Staples,Food Beverage & Tobacco,Food Products,BRIDGFORD FOODS CORP,2.24,2.074,2.597,2.189,0.595,0,0,0,0,0,0.814,1.036,0,0.496,0,0,0,17
Consumer Staples,Food Beverage & Tobacco,Tobacco,BRITISH AMER TOBA PLC  -ADR,5.684,5.582,5.499,4.439,4.081,3.587,3.176,2.994,4.985,4.242,4.093,4.825,4.17,4.036,4.489,4.124,3.871,17
Consumer Staples,Food Beverage & Tobacco,Food Products,BROOKLYN CHEESECAKE & -OLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,14
Consumer Staples,Food Beverage & Tobacco,Food Products,BROTHERS GOURMET COFF,0,0,0,,0,,,,,,,,,,,,,4
Consumer Staples,Food Beverage & Tobacco,Beverages,BROWN FORMAN CORP,2.105,1.73,1.894,1.707,1.649,1.409,4.408,1.889,2.406,2.02,3.117,1.552,7.059,1.215,1.341,1.36,,16
Consumer Staples,Food Beverage & Tobacco,Beverages,BUENOS AIRES EMBT  -ADR B,,0,0,,,,,,,,,,,,,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,BUNGE LTD,,0.408,1.6,1.276,0.842,0.989,0.855,0.567,1.391,1.253,1.343,1.678,1.431,1.388,1.408,2.109,2.215,16
