GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",3TEC ENERGY CORP,0,0,0,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ABACAN RESOURCE CORP,0,0,0,0,0,,,,,,,,,,,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ABLE ENERGY INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS PETROLEUM CORP/NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ACCESS MIDSTREAM PARTNERS LP,,,,,,,,,,,0.753,4.914,4.919,3.424,4.317,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ADAMS RESOURCES & ENERGY INC,0.929,1.667,2.476,1.697,1.701,1.62,1.395,1.829,2.941,2.268,2.221,1.958,1.768,0.964,1.762,2.292,2.219,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ADINO ENERGY CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ADVANTAGE OIL & GAS LTD,,,,,,1.112,24.092,18.879,31.532,2.48,0,0,0,0,0,0,0,12
Energy,Energy,"Oil, Gas & Consumable Fuels",AEGEAN MARINE PETROLM NETWK,,,,,,,0,0.104,0.236,0.146,0.384,0.98,0.758,0.357,0.357,0.957,0.788,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AEMETIS INC,,,,,,,0,0,0,0,0,0,0,0,0,0,0,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA ENERGY CORP,,,,,,,,,,,,,,0,0,0,0,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA OIL CORP,,,,,,,,,,,,,0,0,0,0,0,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ALAMO ENERGY CORP,,,,,,,,,,0,0,0,0,0,0,0,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ALBERTA ENERGY CO LTD,0.559,1.047,,,,,,,,,,,,,,,,2
