GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Financials,Insurance,Insurance,1347 PROPERTY INS HLDGS INC,,,,,,,,,,,,,,,0,0,0,3
Financials,Banks,Banks,1ST CAPITAL BANK,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Financials,Banks,Banks,1ST CENTENNIAL BANCORP,0.278,0.274,0,0,0,0,0,0,0,0,0,0,,,,,,12
Financials,Banks,Banks,1ST CENTURY BANCSHARES INC,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,12
Financials,Banks,Banks,1ST CONSTITUTION BANCORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,17
Financials,Banks,Banks,1ST ENTERPRISE BANK,,,,,,,,,,,0,0,0,0,0,,,5
Financials,Banks,Banks,1ST INDEPENDENCE FINL GROUP,5.647,5.042,5.169,3.043,1.9,2.162,1.951,3.326,,,,,,,,,,8
Financials,Diversified Financials,Capital Markets,1ST PRESTIGE WEALTH MGMT INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Financials,Banks,Banks,1ST SOURCE CORP,1.902,1.718,2.149,1.72,1.646,1.948,1.664,3.235,2.455,3.667,3.014,2.527,2.988,2.129,2.069,2.173,1.612,17
Financials,Banks,Banks,1ST STATE BANCORP INC,1.455,27.111,1.405,1.341,1.481,1.108,,,,,,,,,,,,6
Financials,Banks,Banks,1ST UNITED BANCORP INC,,,,,,,,,0,0,0,0,1.6,0.394,,,,6
Financials,Insurance,Insurance,21ST CENTURY INS GROUP,3.368,1.645,2.077,0.582,0.588,0.989,1.813,,,,,,,,,,,7
Financials,Diversified Financials,Capital Markets,21ST CENTURY TECHNOLOGIES,0,0,0,0,0,0,0,0,,,,,,,,,,8
Financials,Diversified Financials,Capital Markets,A B WATLEY GROUP INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15
Financials,Diversified Financials,Diversified Financial Services,A-MARK PRECIOUS METALS INC,,,,,,,,,,,,,,,,0.955,1.483,2
