GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Health Care,Health Care Equipment & Services,Health Care Providers & Services,21ST CENTURY ONCOLOGY HLDGS,,,,,0,0,0,0,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Providers & Services,24/7 KID DOC INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,3-DIMENSIONAL PHARMACEUTICAL,0,0,0,,,,,,,,,,,,,,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,3SBIO INC -ADR,,,,,,,,0,0,0,0,0,0,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,4-D NEUROIMAGING,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,14
Health Care,Health Care Equipment & Services,Health Care Technology,A D A M INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Health Care,Health Care Equipment & Services,Health Care Providers & Services,AAC HOLDINGS INC,,,,,,,,,,,,0,0,0,0,0,0,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AAIPHARMA INC,0,0,0,0,0,0,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABAXIS INC,0,0,0,0,0,0,0,0,0,0,0,0,2.113,0,0.624,0.969,,16
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABBOTT LABORATORIES,1.528,1.471,2.288,2.082,2.197,2.752,2.381,2.262,2.633,2.889,3.59,3.343,3.069,1.461,1.955,2.138,2.708,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABBVIE INC,,,,,,,,,,,,,0,3.03,2.537,3.41,3.641,5
