GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Industrials,Capital Goods,Construction & Engineering,180 CONNECT INC,,,,,,0,0,0,,,,,,,,,,3
Industrials,Commercial & Professional Services,Commercial Services & Supplies,3CI COMPLETE COMPLIANCE CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,14
Industrials,Capital Goods,Industrial Conglomerates,3M CO,1.925,2.03,2.011,1.552,1.755,2.168,2.361,2.277,3.476,2.468,2.433,2.692,2.542,1.811,2.081,2.722,2.486,17
Industrials,Commercial & Professional Services,Professional Services,51JOB INC  -ADR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC,,,,,,,,,,,0,0,0,0,0,0,0,7
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC -OLD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,A NOVO BROADBAND INC,0,0,0,0,,,,,,,,,,,,,,4
Industrials,Capital Goods,Machinery,A S V INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Capital Goods,Electrical Equipment,A-POWER ENERGY GENERATN SYS,,,,,,0,0,0,0,0,0,,0,,,,,7
Industrials,Capital Goods,Electrical Equipment,A123 SYSTEMS INC,,,,,,,,,,0,0,0,0,,,,,4
Industrials,Commercial & Professional Services,Professional Services,AAMPRO GROUP INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Capital Goods,Building Products,AAON INC,0,0,0,0,0,0,1.522,1.48,1.533,1.847,1.276,1.171,1.725,0.626,0.789,0.947,0.726,17
Industrials,Capital Goods,Aerospace & Defense,AAR CORP,2.429,1.399,0.556,0,0,0,0,0,0,0,0.284,2.49,1.496,1.235,1.016,1.229,,16
Industrials,Capital Goods,Trading Companies & Distributors,ABATIX CORP,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Industrials,Capital Goods,Electrical Equipment,ABB LTD  -ADR,0,18.677,0,23.823,0,0,0.544,0.679,3.081,2.33,2.155,3.626,3.381,2.726,3.729,4.325,3.617,17
Industrials,Capital Goods,Machinery,ABC DISPENSING TECHNOLOGIES,0,0,0,0,0,0,0,,,,,,,,,,,7
Industrials,Capital Goods,Machinery,ABC-NACO INC,0,0,,0,0,,,,,,,,,,,,,4
Industrials,Capital Goods,Construction & Engineering,ABENGOA SA  -ADR,,,,,,,,,,,,,,0,6.998,47.055,,3
Industrials,Capital Goods,Aerospace & Defense,ABILITY INC,,,,,,,,,,,,,,,,0,0,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEAUCTIONS.COM INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEST INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABM INDUSTRIES INC,2.219,2.418,2.451,2.442,1.928,2.123,2.216,2.041,3.062,2.769,2.395,2.77,3.053,2.181,2.243,2.254,1.689,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABTECH HOLDINGS INC,,,,,,,,,,,,0,0,0,0,0,0,6
Industrials,Commercial & Professional Services,Professional Services,ACACIA RESEARCH CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579,2.952,11.655,0,17
Industrials,Capital Goods,Construction & Engineering,ACCELERATED BUILDING CONCEPT,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS TO MONEY INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS WORLDWIDE CMMNCTNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCO BRANDS CORP,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,12
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCUFACTS PRE-EMPLOYMENT SCR,0,0,0,0,0,0,,,,,,,,,,,,6
Industrials,Capital Goods,Machinery,ACCURIDE CORP,,,,,,0,0,0,0,0,0,0,0,0,0,0,,11
Industrials,Transportation,Marine,ACLN LTD,0,0,0,0,,,,,,,,,,,,,,4
Industrials,Capital Goods,Electrical Equipment,ACME ELECTRIC CORP,0,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACME UNITED CORP,0,0,0,0,0.255,0.716,0.833,1.053,2.411,2.174,2.206,2.632,3.17,1.544,1.651,2.069,1.564,17
Industrials,Capital Goods,Electrical Equipment,ACRODYNE COMMUNICATIONS INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACT CLEAN TECHNOLOGIES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15
Industrials,Capital Goods,Machinery,ACTUANT CORP  -CL A,0.911,0,0,0,0,0,0.177,0.131,0.127,0.283,0.202,0.199,0.142,0.112,0.119,0.187,0.168,17
Industrials,Capital Goods,Electrical Equipment,ACUITY BRANDS INC,,,,3.35,2.608,2.032,1.404,1.142,1.241,1.619,1.342,1.129,0.81,0.608,0.42,0.267,0.189,14
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADECCO SA  -ADR,0.776,1.074,1.622,0.685,1.113,1.686,1.191,1.805,0,,,,,,,,,9
Industrials,Capital Goods,Machinery,ADEPT TECHNOLOGY INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADESA INC,,,,,,1.229,1.081,,,,,,,,,,,2
Industrials,Commercial & Professional Services,Professional Services,ADGS ADVISORY INC,,,,,,,,,,,,,,,0,0,0,3
Industrials,Transportation,Transportation Infrastructure,ADMIRALTY HOLDING,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADT CORP,,,,,,,,,,,,,0,1.23,2.045,2.776,,4
Industrials,Capital Goods,Construction & Engineering,ADUDDELL INDUSTRIES INC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Industrials,Capital Goods,Aerospace & Defense,ADV TECHNICAL PRODUCTS INC,0,0,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Electrical Equipment,ADVANCED BATTERY TECH INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANCED DISPOSAL SERVICES,,,,,,,,,,,,,,,,,0,1
Industrials,Capital Goods,Building Products,ADVANCED DRAINAGE SYSTEMS,,,,,,,,,,,,,,,0.267,0.939,,2
Industrials,Capital Goods,Building Products,ADVANCED ENVIR RECYCL  -CL A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Capital Goods,Machinery,ADVANCED RECYCLING SCIENCES,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANCED SYSTEMS INTL INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANCED TOBACCO PRODUCTS,60,16.667,10.87,14.953,,,,,,,,,,,,,,4
Industrials,Commercial & Professional Services,Professional Services,ADVISORY BOARD CO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Industrials,Capital Goods,Construction & Engineering,AECOM INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Industrials,Capital Goods,Construction & Engineering,AEGION CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Capital Goods,Electrical Equipment,AER ENERGY RESOURCES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,15
Industrials,Capital Goods,Trading Companies & Distributors,AERCAP HOLDINGS NV,,,,,,,0,0,0,0,0,0,0,0,0,0,0,11
Industrials,Capital Goods,Machinery,AERO SYSTEMS ENGINEERING INC,0,0,0,0,0,0,,,,,,,,,,,,6
Industrials,Capital Goods,Trading Companies & Distributors,AEROCENTURY CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Capital Goods,Aerospace & Defense,AEROJET ROCKETDYNE HOLDINGS,1.5,0.941,1.481,1.199,0.357,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Capital Goods,Aerospace & Defense,AEROSONIC CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,13
Industrials,Capital Goods,Aerospace & Defense,AEROVIRONMENT INC,,,,,,,0,0,0,0,0,0,0,0,0,0,,10
Industrials,Capital Goods,Electrical Equipment,AEROVOX INC,0,0,0,0,0,0,0,0,0,,,,,,,,,9
Industrials,Commercial & Professional Services,Commercial Services & Supplies,AFA PROTECTIVE SYSTEMS INC,1.093,0.791,0.753,0.735,0.621,19.745,0.694,0.649,7.131,0.784,21.667,0.833,3.922,0,0.694,0.707,0.708,17
Industrials,Capital Goods,Machinery,AG CHEM EQUIPMENT INC,0,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,AG SERVICES OF AMERICA,0,0,0,,,,,,,,,,,,,,,3
Industrials,Capital Goods,Machinery,AGCO CORP,0.33,0.063,0,0,0,0,0,0,0,0,0,0,0,0.676,0.973,1.058,0.899,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,AHL SERVICES INC,0,0,0,,,,,,,,,,,,,,,3
Industrials,Transportation,Airlines,AIR FRANCE-KLM  -ADR,,,,,0.343,0.78,0.828,2.271,9.684,0,0,0,0,0,0,0,0,13
Industrials,Capital Goods,Aerospace & Defense,AIR INDUSTRIES GROUP INC,,,,,,,,,,,,0,0.86,2.784,6.892,5.521,0,6
Industrials,Capital Goods,Trading Companies & Distributors,AIR LEASE CORP,,,,,,,,,,,,0,0,0.338,0.379,0.508,0.655,6
Industrials,Transportation,Air Freight & Logistics,AIR T INC,2.5,4.286,8.511,0,1.155,2.21,3.129,2.601,5.245,2.895,3.511,2.618,2.632,2.479,0,0,,16
Industrials,Transportation,Air Freight & Logistics,AIR TRANSPORT SERVICES GROUP,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Industrials,Capital Goods,Machinery,AIR WATER INTERNATIONAL CORP,0,0,0,0,0,0,0,0,0,,,,,,,,,9
Industrials,Transportation,Air Freight & Logistics,AIRBORNE INC,1.641,1.079,1.079,,,,,,,,,,,,,,,3
Industrials,Capital Goods,Trading Companies & Distributors,AIRCASTLE LTD,,,,,,,2.141,9.305,17.782,4.061,3.828,3.931,4.904,3.627,3.837,4.308,4.7,11
Industrials,Capital Goods,Trading Companies & Distributors,AIRLEASE LTD  -LP,15.238,40.826,44.444,43.114,,,,,,,,,,,,,,4
Industrials,Transportation,Air Freight & Logistics,AIRNET SYSTEMS INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Capital Goods,Building Products,AIRTECH INTERNATIONAL GROUP,0,0,,,0,,,,,,,,,,,,,3
Industrials,Transportation,Airlines,AIRTRAN HOLDINGS INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Industrials,Capital Goods,Machinery,AIRTRAX INC,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Industrials,Capital Goods,Aerospace & Defense,ALABAMA AIRCRAFT INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Capital Goods,Machinery,ALAMO GROUP INC,1.837,1.684,1.959,1.573,0.884,1.171,1.023,1.325,1.605,1.399,0.863,0.891,0.735,0.461,0.578,0.614,0.473,17
Industrials,Capital Goods,Aerospace & Defense,ALAS INTL HOLDINGS INC-OLD,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,12
Industrials,Transportation,Airlines,ALASKA AIR GROUP INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.837,0.994,1.24,17
Industrials,Capital Goods,Machinery,ALBANY INTL CORP  -CL A,0,0.23,0.992,0.737,0.853,0.94,1.185,1.159,3.66,2.137,2.026,2.206,2.425,1.642,1.658,1.833,1.469,17
Industrials,Capital Goods,Aerospace & Defense,ALCOA INC,1.493,1.688,2.634,1.579,1.91,2.029,1.999,1.86,6.039,1.613,0.78,1.387,1.382,1.129,0.76,1.216,,16
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ALFORD REFRIGERATED WHSES,0,0,0,0,0,0,0,0,,,,,,,,,,8
Industrials,Transportation,Airlines,ALLEGIANT TRAVEL CO,,,,,,,0,0,0,0,1.523,0,2.724,2.134,1.663,1.639,1.442,11
Industrials,Capital Goods,Building Products,ALLEGION PLC,,,,,,,,,,,,,,0,0.577,0.607,0.75,4
Industrials,Transportation,Road & Rail,ALLIED HOLDINGS INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,ALLIED MOTION TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0,0,0.709,1.515,0.803,0.422,0.382,0.468,17
Industrials,Capital Goods,Machinery,ALLIED PRODUCTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ALLIED SECURITY INNOVATIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ALLIED WASTE INDUSTRIES INC,0,0,0,0,0,0,0,0,0,,,,,,,,,9
Industrials,Capital Goods,Machinery,ALLISON TRANSMISSION HLDGS,,,,,,,,,,,,,0.881,1.521,1.504,2.317,1.781,5
Industrials,Capital Goods,Building Products,ALPHA PRO TECH LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
