GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,1MAGE SOFTWARE INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Information Technology,Software & Services,Internet Software & Services,21VIANET GROUP INC  -ADR,,,,,,,,,,,,0,0,0,0,0,0,6
Information Technology,Software & Services,Internet Software & Services,24/7 REAL MEDIA INC,0,0,0,0,0,0,0,,,,,,,,,,,7
Information Technology,Software & Services,Internet Software & Services,2U INC,,,,,,,,,,,,,,,0,0,0,3
Information Technology,Software & Services,Internet Software & Services,30DC INC,,,,,,,,,,,,,0,0,0,0,0,5
Information Technology,Technology Hardware & Equipment,Communications Equipment,3COM CORP,0,0,0,0,0,0,0,0,0,,,,,,,,,9
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products,3D LABS INC LTD,0,0,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Software,3D PIONEER SYSTEMS INC,,,,,,,,,,,,,,,0,0,0,3
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3D SYSTEMS CORP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Information Technology,Technology Hardware & Equipment,Communications Equipment,3DICON CORP -OLD,,,,,,,,,,,,,0,0,0,0,,4
Information Technology,Software & Services,Software,3DO CO,0,0,0,0,0,0,0,0,,,,,,,,,,8
Information Technology,Software & Services,Internet Software & Services,3DSHOPPING .COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3PAR INC,,,,,,,,0,0,0,,,,,,,,3
Information Technology,Software & Services,Internet Software & Services,58.COM INC  -ADR,,,,,,,,,,,,,,0,0,0,0,4
Information Technology,Software & Services,Software,5B TECHNOLOGIES CORP,0,0,,,0,,,,,,,,,,,,,3
Information Technology,Technology Hardware & Equipment,Communications Equipment,5BARZ INTERNATIONAL INC,,,,,,,,,,,,0,0,0,0,0,0,6
Information Technology,Software & Services,IT Services,6D GLOBAL TECHNOLOGIES,,,,,,,,,,,0,0,0,0,0,,0,6
Information Technology,Software & Services,Internet Software & Services,724 SOLUTIONS INC,0,0,0,0,0,0,,,,,,,,,,,,6
Information Technology,Software & Services,Software,8X8 INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Information Technology,Software & Services,Internet Software & Services,A-1 GROUP INC,,,,,,,,,,,,,,0,0,0,0,4
Information Technology,Software & Services,Software,A10 NETWORKS INC,,,,,,,,,,,,,,,0,0,0,3
Information Technology,Software & Services,Internet Software & Services,A21 GROUP INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Information Technology,Technology Hardware & Equipment,Communications Equipment,ABLE TELCOM HOLDING CORP,0,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Internet Software & Services,ABOUT.COM INC,0,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Internet Software & Services,ACCELERIZE INC,,,,,,,,,,,,0,0,0,0,0,0,6
Information Technology,Software & Services,Software,ACCELIO CORP,0,0,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Software,ACCELRYS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,14
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",ACCENT COLOR SCIENCES INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Information Technology,Software & Services,IT Services,ACCENTURE PLC,,0,0,0,0,0,1.011,0.849,1.015,1.515,3.074,1.679,2.192,2.242,2.295,2.164,1.913,16
Information Technology,Software & Services,Internet Software & Services,ACCESS POWER INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,15
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",ACCESS SOLUTIONS INTL INC,0,0,0,200,0,,,,,,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,ACCESSPOINT CORP,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Information Technology,Software & Services,Software,ACCLAIM ENTERTAINMENT INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Information Technology,Technology Hardware & Equipment,Communications Equipment,ACCORD NETWORKS LTD,0,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Internet Software & Services,ACCRUE SOFTWARE INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Information Technology,Technology Hardware & Equipment,Communications Equipment,ACE COMM CORP,0,0,0,0,0,0,0,0,0,,,,,,,,,9
