GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Materials,Materials,Metals & Mining,37 CAPITAL INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Materials,Materials,Metals & Mining,3DX INDUSTRIES INC,,,,,,,,,,,,,0,0,0,0,0,5
Materials,Materials,Chemicals,ABAKAN INC,,,,,,,,,0,0,0,0,0,0,0,0,,8
Materials,Materials,Paper & Forest Products,ABITIBI CONSOLIDATED INC,2.927,3.501,3.315,1.522,1.105,2.032,1.734,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ABS INDUSTRIES INC,0,0,0,,,0,0,,,,,,,,,,,5
Materials,Materials,Metals & Mining,ACME METALS INC,0,0,0,0,0,0,0,0,,,,,,,,,,8
Materials,Materials,Containers & Packaging,ACOLOGY INC,,,,,,,,,,,,,,0,0,0,0,4
Materials,Materials,Metals & Mining,ADAL GROUP INC,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11
Materials,Materials,Metals & Mining,ADEX MINING INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Materials,Materials,Chemicals,ADM TRONICS UNLIMITED INC/DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
Materials,Materials,Chemicals,ADVANCED DEPOSITION TECH INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Materials,Materials,Chemicals,ADVANCED EMISSIONS SOLUTIONS,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Materials,Materials,Chemicals,ADVANCED MATERIALS GROUP INC,0,0,0,0,0,0,0,0,0,0,,,,,,,,10
Materials,Materials,Chemicals,ADVANSIX INC,,,,,,,,,,,,,,,,,0,1
Materials,Materials,Containers & Packaging,AEP INDUSTRIES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913,17
Materials,Materials,Metals & Mining,AFRICAN GOLD GROUP INC,,,,,,,,,,,,,,0,0,0,0,4
Materials,Materials,Metals & Mining,AGNICO EAGLE MINES LTD,0.333,0.203,0.135,0.249,0.218,0.152,0.073,0.22,0.351,0.333,0.235,1.762,1.525,3.336,1.286,1.218,0.857,17
Materials,Materials,Chemicals,AGRIUM INC,0.752,0.519,1.459,0.668,0.653,0.5,0.349,0.152,0.322,0.179,0.12,0.417,1.001,2.733,3.199,3.811,3.481,17
Materials,Materials,Chemicals,AGROFRESH SOLUTIONS INC,,,,,,,,,,,,,,,0,0,0,3
Materials,Materials,Chemicals,AIR LIQUIDE SA  -ADR,1.444,1.884,1.961,2.114,1.88,2.304,1.889,1.818,3.485,2.564,2.046,2.679,2.306,2.286,2.54,2.511,5.278,17
Materials,Materials,Containers & Packaging,AIR PACKAGING TECHNOLOGY INC,0,0,0,0,0,0,,,,,,,,,,,,6
