GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACADIA REALTY TRUST,8.533,7.559,7.008,4.76,4.003,3.504,3.018,4.032,9.741,4.446,3.947,3.575,2.871,3.464,3.84,3.68,3.55,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACRE REALTY INVESTORS INC,9.397,4.839,0,7.971,55.762,0,0,0,288.312,0,0,0,0,0,0,0,0,17
Real Estate,Real Estate,Real Estate Management & Development,ADVANCED OXYGEN TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AGREE REALTY CORP,13.382,9.951,10.888,6.842,6.153,6.782,5.703,6.545,11.031,8.673,7.789,6.563,5.972,5.651,5.597,5.428,4.169,17
Real Estate,Real Estate,Real Estate Management & Development,ALEXANDER & BALDWIN INC,,,,,,,,,,,,,0,0.096,0.433,0.595,0.557,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDER'S INC,0,0,0,0,0,0,0,0,2.746,0,1.819,3.243,41.415,3.333,2.974,3.645,3.748,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDRIA R E EQUITIES INC,3.469,4.404,5.775,3.8,3.386,3.379,2.849,2.99,5.27,2.878,2.048,2.697,3.015,4.102,3.245,3.375,2.907,17
Real Estate,Real Estate,Real Estate Management & Development,ALON BLUE SQUARE ISRAEL -ADR,1.97,1.792,9.467,14.917,15.164,4.989,4.321,11.992,16.285,0,43.264,7.439,0,0,0,0,,16
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE ASSET MGMT CORP,,,,,,,,,,,,,0,0,0,0,0,5
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE PORTFOLIO SOLTNS,,,,,,,,,,0,0,0,0,0,0,0,0,8
Real Estate,Real Estate,Real Estate Management & Development,AMBASE CORP,0,0,0,0,0,0,0,0,0,0,0,0,204.082,0,0,0,0,17
