GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,360NETWORKS INC,0,0,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ABOVENET INC,0,0,0,0,0,0,0,0,0,0,8.553,0,,,,,,12
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ADELPHIA BUSINESS SOLUTIONS,0,0,0,0,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AIRGATE PCS INC,0,0,0,0,0,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALAMOSA HOLDINGS INC,0,0,0,0,0,0,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALASKA COMMUNICATIONS SYS GP,0,0,0,0,2.144,7.874,5.662,5.733,9.168,10.777,7.748,23.09,7.732,0,0,0,0,17
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLEGIANCE TELECOM INC,0,0,0,0,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLIED RISER COMMUNICATIONS,0,0,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLSTREAM INC -CL B,0,0,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALLTEL CORP,2.066,2.155,2.686,3.049,2.536,2.417,1.766,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALTEVA INC,3.827,2.931,2.547,2.366,4.35,4.191,10.147,6.757,8.753,6.723,6.882,7.945,10.345,6.61,0,55.319,,16
