GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Utilities,Utilities,Independent Power and Renewable Electricity Producers,3POWER ENERGY GROUP INC,,,,,,,,,,,,0,0,0,0,0,,5
Utilities,Utilities,Independent Power and Renewable Electricity Producers,808 RENEWABLE ENERGY CORP,,,,,,,,,,,,,,,0,0,0,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,8POINT3 ENERGY PARTNERS LP,,,,,,,,,,,,,,,,1.286,7.157,2
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AES CORP,0,0,0,0,0,0,0,0,0,0,0,0,0.374,1.103,1.452,4.18,3.787,17
Utilities,Utilities,Electric Utilities,AES GENER SA  -ADR,0.829,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Water Utilities,ALANCO TECHNOLOGIES INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALGONQUIN POWER & UTIL CORP,,,,,,,,,,,,,,,,,1.249,1
Utilities,Utilities,Electric Utilities,ALLEGHENY ENERGY INC,3.569,4.749,17.063,0,0,0,0,0.236,1.772,2.555,2.475,,,,,,,11
Utilities,Utilities,Electric Utilities,ALLETE INC,4.312,4.246,4.85,3.693,7.735,2.83,3.116,4.144,5.33,5.386,4.724,4.24,4.49,3.809,3.555,3.974,3.24,17
Utilities,Utilities,Electric Utilities,ALLIANT ENERGY CORP,6.275,6.588,12.085,4.016,3.54,3.745,3.045,3.121,4.798,4.957,4.297,3.854,4.099,3.643,3.071,3.523,3.101,17
Utilities,Utilities,Multi-Utilities,AMEREN CORP,5.484,6.005,6.11,5.522,5.066,4.957,4.727,4.685,7.637,5.51,5.463,4.694,5.208,4.425,3.49,3.828,3.269,17
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERICAN DG ENERGY INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,10
Utilities,Utilities,Electric Utilities,AMERICAN ELECTRIC POWER CO,5.161,5.513,8.782,5.408,4.077,3.829,3.523,3.393,4.928,4.714,4.753,4.478,4.405,4.172,3.343,3.69,3.605,17
Utilities,Utilities,Water Utilities,AMERICAN STATES WATER CO,3.485,3.72,3.764,3.536,3.415,2.922,2.356,2.535,3.032,2.852,3.017,3.152,2.647,2.645,2.207,2.083,2.006,17
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS CO INC,,,,,,,,,1.916,3.659,3.401,3.515,3.259,1.988,2.27,2.226,2.025,9
