GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,0.88,0.85,-0.35,-0.11,-0.05,-0.2,-1.68,,,,,,,,,,,7
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,-5.28,-2.8,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,-1.1,-0.64,-0.02,0.19,0.62,0.12,0.05,0.27,0.33,-1.05,-0.03,0.09,0.2,0.24,0.23,0.31,0.57,17
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,,-300,-100,-40,-160,-220,-240,-240,,,,,,,0,0,,10
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,,,,,,,,,,,,,,,-0.02,-0.02,,2
Consumer Discretionary,Retailing,Specialty Retail,2ND SWING INC-REDH,-0.79,-0.87,,,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,4LICENSING CORP,3.25,1.01,0.55,1.11,0.93,0.39,-0.13,-1.77,-2.79,-3.16,-1.87,-1.25,1.44,-0.29,-0.09,,,15
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,,,,,,,,,,,,0.07,0.02,0.55,0.74,-1.3,,5
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,-86,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,,,,,,,,-0.35,-0.65,-0.41,0.36,0.41,0.57,,,,,6
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,0.16,0.52,,,,,,,,,,,,,,,,2
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,-0.25,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,-0.16,0.03,-0.25,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,0.575,0.705,0.84,0.79,0.39,0.16,0.14,0.04,0.12,0.88,1.06,,,,,,,11
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,A-MAX TECHNOLOGY -ADR -REDH,,,,0.05,0.52,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,A. H. BELO CORP,,,,,,,0.74,-16.97,-3.04,-5.25,-5.92,-0.51,0.01,0.31,3.84,-0.84,,10
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,0.445,0.64,0.81,0.91,0.86,0.51,0.12,0.19,-1.31,-1.15,-1.23,,,,,,,11
Consumer Discretionary,Retailing,Specialty Retail,AARON'S INC,0.409,0.184,0.388,0.498,0.707,0.773,1,0.987,1.073,1.393,1.46,1.46,2.28,1.59,1.08,1.87,,16
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ABAZIAS INC,,,,,,,,-0.63,-0.14,,,,,,,,,2
Consumer Discretionary,Retailing,Specialty Retail,ABBY INC,,,,,,,,,,,,,0,,,,,1
Consumer Discretionary,Retailing,Specialty Retail,ABERCROMBIE & FITCH  -CL A,1.58,1.7,1.99,2.12,2.33,3.83,4.79,5.45,3.14,0.9,1.71,1.46,2.89,0.71,0.72,0.52,,16
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACCOM INC,0.19,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Media,Media,ACI TELECENTRICS INC,0.13,0.01,-0.49,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACKERLEY GROUP INC,4.54,-1.14,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ACORN INTERNATIONAL INC -ADR,,,,,,1.8,0.867,4.067,-5.867,-0.8,-1.6,1.2,-4,-9.4,-10.8,-10.14,,11
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ACORN PRODUCTS INC,-23.1,-25.9,-8.61,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ACQUITY GROUP LTD  -ADR,,,,,,,,,,,-0.24,0.37,0.14,,,,,3
Consumer Discretionary,Retailing,Distributors,ACR GROUP INC,-0.14,0.04,0.1,0.22,0.39,0.25,0.51,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ACRES GAMING INC,-0.47,0.47,0.43,1.79,,,,,,,,,,,,,,4
Consumer Discretionary,Media,Media,ACT TELECONFERENCING INC,0.23,-0.03,-0.93,-0.9,-1.41,-1.16,-0.32,,,,,,,,,,,7
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACTION PERFORMANCE COS INC,-3.52,1.41,2.61,1.36,0.03,,,,,,,,,,,,,5
Consumer Discretionary,Media,Media,ACTIONVIEW INTERNATIONAL-OLD,,-40,-20,-52,-28,-52,-16,0,,,,,,,,,,7
Consumer Discretionary,Media,Media,ACTV INC,-0.67,-0.77,-0.78,,,,,,,,,,,,,,,3
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACUSHNET HOLDINGS CORP,,,,,,,,,,,,,,,0.29,-0.01,,2
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ADAMS GOLF INC,-6.64,-2.4,-1.6,0.36,0.56,0.56,1.56,1.56,-0.23,-1.82,0.7,1.87,,,,,,12
Consumer Discretionary,Media,Media,ADELPHIA COMMUN  -CL A,-4.45,,,-3.31,-4.2,0.13,,,,,,,,,,,,4
Consumer Discretionary,Automobiles & Components,Auto Components,ADIENT PLC,,,,,,,,,,,,,,,3.28,5.08,-16.4,3
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE AUTO PARTS INC,,0.2,0.717,1.147,1.693,2.17,2.18,2.3,2.51,2.85,4,5.21,5.29,5.36,6.75,6.45,,15
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ENGINE TECHNOLOGIES,-0.12,-0.06,-0.09,-0.07,-0.06,,,,,,,,,,,,,5
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ADVANCED LIGHTING TECH INC,0.01,-0.34,-1.39,-1.4,,,,,,,,,,,,,,4
Consumer Discretionary,Retailing,Distributors,ADVANCED MARKETING SERVICES,1.093,1.21,0.58,,,,,,,,,,,,,,,3
Consumer Discretionary,Media,Media,ADVERTISING.COM INC-REDH,,,-0.38,-5.95,,,,,,,,,,,,,,2
Consumer Discretionary,Media,Media,ADVO INC,1.6,1.687,1.407,1.667,1.61,1.29,0.66,,,,,,,,,,,7
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AEGEA INC -OLD,,,,,,,,,,,,,-0.01,-0.02,,,,2
Consumer Discretionary,Media,Media,AEGIS COMMUNICATIONS GROUP,-0.25,-0.32,-0.68,-0.33,-0.07,-0.02,,,,,,,,,,,,6
Consumer Discretionary,Media,Media,AEGIS GROUP PLC  -ADR,0.13,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Automobiles & Components,Auto Components,AERO PERFORMANCE PRODUCTS,,,-0.013,0,-2,-0.05,-0.01,-0.01,0,,,,,,,,,7
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AEROGROW INTERNATIONAL INC,,,,,-56,-155,-109,-84,-82,-50,-56,-18,-1.55,-0.76,-0.26,-0.18,,12
Consumer Discretionary,Retailing,Specialty Retail,AEROPOSTALE INC,0.08,0.095,0.267,0.441,0.671,0.68,0.889,1.16,1.493,2.3,2.52,0.86,0.44,-1.81,-2.62,-1.72,,16
Consumer Discretionary,Automobiles & Components,Auto Components,AFFINIA GROUP HLDGS INC-REDH,,,,,,,,,,-3.89,,,,,,,,1
Consumer Discretionary,Media,Media,AFFINION GROUP HOLDINGS INC,,,,,,-0.96,-4.91,,,,,,,,,95.07,,3
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AFFINITY INTL TRAVEL SYS,-1.54,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AFTERMASTER INC,-10.8,-6.6,-3,0,-0.22,-0.1,-0.08,-0.8,-0.71,-0.46,-0.26,-0.35,-0.23,-0.11,-0.09,-0.13,-0.06,17
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AG&E HOLDINGS INC,0.104,-0.367,0.095,-0.085,0.112,-0.274,0.033,0.017,0.018,0.1,0.019,0,0.01,0.06,-0.21,-0.05,,16
Consumer Discretionary,Retailing,Distributors,AGRITEK HOLDINGS INC,,,,,,,,0,-0.04,-0.02,0,-0.1,0,-0.1,-0.03,-0.01,,13
Consumer Discretionary,Media,Media,AIRMEDIA GROUP INC -ADS,,,,,,,0.06,-0.08,0.46,-0.56,-0.08,-0.15,-0.52,-0.18,-0.43,-1.16,,10
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,AJAY SPORTS INC,-0.18,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Multiline Retail,ALCO STORES INC,1.04,1.13,1.32,1.5,0.99,1.12,1.49,-0.06,-0.79,0.8,-0.93,0.48,0.48,-7.53,,,,14
Consumer Discretionary,Consumer Services,Diversified Consumer Services,ALDERWOODS GROUP INC,-1.64,-1.29,-5.86,0.25,-0.09,1.06,,,,,,,,,,,,6
