GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Staples,Food Beverage & Tobacco,Tobacco,22ND CENTURY GROUP INC,,,,,,,,,,,,,-0.22,-0.6,-0.26,-0.16,,4
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,7-ELEVEN INC,1.06,0.89,0.5,0.82,0.97,,,,,,,,,,,,,5
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,A.C. SIMMONDS & SONS INC,,,,,,,,,,,,,,-0.01,,,,1
Consumer Staples,Food Beverage & Tobacco,Food Products,ACTIVE HEALTH FOODS INC,,,,,,,,,,-100,0,0,,,,,,5
Consumer Staples,Food Beverage & Tobacco,Food Products,ADECOAGRO SA,,,,,,,,,-0.17,0,-0.38,0.48,0.08,-0.23,0.02,0.14,,8
Consumer Staples,Food Beverage & Tobacco,Food Products,ADVANCEPIERRE FOODS HOLDINGS,,,,,,,,,,,,,,,-0.48,0.47,,2
Consumer Staples,Household & Personal Products,Personal Products,AGE RESEARCH INC,,0,0,0,,,,,,,,,,,,,,3
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED ANIMAL NUTR-ADR-REDH,,,,,,,,,3.58,3.68,,,,,,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,AGFEED INDUSTRIES INC,,,,,,,0.07,0.26,0.54,0.25,-0.9,,,,,,,5
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIA CORP -ADS,,,,,,0.33,0.53,0.31,-1.74,-0.32,-0.15,0.2,-0.04,-2.5,0.1,-0.01,-0.17,12
Consumer Staples,Food Beverage & Tobacco,Food Products,AGRIBRANDS INTERNATIONAL INC,4.46,,,,,,,,,,,,,,,,,1
Consumer Staples,Household & Personal Products,Personal Products,AGRITECH WORLDWIDE INC,-3.6,-7.5,-5.1,-3,-3.3,-3.9,-8.4,-5.4,-3,-4.48,-2.03,-0.87,-0.76,-0.41,-0.14,-0.41,,16
Consumer Staples,Household & Personal Products,Personal Products,AIRWARE LABS CORP,,,,,,,,,,,,0,-0.16,-0.1,-0.34,-0.07,,5
Consumer Staples,Household & Personal Products,Personal Products,ALBERTO-CULVER CO,1.233,1.307,1.6,1.853,1.57,2.31,2.22,0.85,1.08,1.21,1.58,,,,,,,11
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSON'S INC,1.83,1.23,2.18,1.51,1.29,1.25,,,,,,,,,,,,6
Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,ALBERTSONS COS INC  -REDH,,,,,,,,,,,,,,8.89,0,,,2
Consumer Staples,Food Beverage & Tobacco,Food Products,ALICO INC,2.01,2.29,1.07,1.78,2.47,0.83,0.88,-1.88,0.76,-0.5,-0.08,0.96,2.51,2.69,1.1,1.96,0.84,17
Consumer Staples,Food Beverage & Tobacco,Beverages,ALKALINE WATER COMPANY INC,,,,,,,,,,,,,,-2.5,-3,-2.19,,3
