GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",3TEC ENERGY CORP,2.91,1.06,0.04,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ABLE ENERGY INC,-0.15,-0.75,-0.76,0.1,-1.34,-1.04,-2.23,-1.6,-0.86,,,,,,,,,9
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS ENERGY PARTNERS-REDH,,,,,,0.47,0.05,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS PETROLEUM CORP/NV,0.29,-0.76,-3.95,1.59,0.22,0.16,0.02,1.22,-1.07,-0.34,0.02,0.15,-0.2,0.42,0.63,-1.21,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ACCESS MIDSTREAM PARTNERS LP,,,,,,,,,1.2,0.226,1.328,1.291,1.055,1.074,0.951,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ADAMS RESOURCES & ENERGY INC,2.1,-1.09,0.34,1.53,2.1,3.97,2.49,4.04,-1.32,0.98,2.05,5.44,6.53,5.24,1.48,-0.3,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ADINO ENERGY CORP,-0.08,-0.01,-0.02,0.01,0.01,-0.01,-0.03,-0.03,-0.01,0,0,-0.02,0,,,,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",ADVANTAGE OIL & GAS LTD,,,,1,0.52,1.14,0.53,-0.06,-0.12,-0.54,-0.27,-0.9,-0.53,-0.02,0.38,0.09,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",AEGEAN MARINE PETROLM NETWK,,,,,,0.72,0.84,0.65,0.94,1.13,0.4,0.22,0.44,0.58,0.37,0.73,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AEMETIS INC,,,,,,,,,,,,,-0.3,-1.3,0.35,-1.37,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA ENERGY CORP,,,,,,,,,,,,,0.03,0.02,-0.95,-0.03,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA OIL CORP,,,,,,,,,,,-0.05,-0.06,-0.1,-0.2,-0.34,-0.21,,6
