GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Financials,Insurance,Insurance,1347 PROPERTY INS HLDGS INC,,,,,,,,,,,,,,-0.19,0.71,-0.27,,3
Financials,Banks,Banks,1ST CAPITAL BANK,,,,,,,,,,,,,0.484,0.441,0.481,0.562,,4
Financials,Banks,Banks,1ST CENTENNIAL BANCORP,,0.359,0.472,0.492,0.66,1.084,1.553,1.63,,,,,,,,,,7
Financials,Banks,Banks,1ST CENTURY BANCSHARES INC,,,,,,,0.01,0.3,-0.15,-0.86,-0.22,0.12,0.35,0.79,0.25,0.27,,10
Financials,Banks,Banks,1ST CONSTITUTION BANCORP,0.304,0.401,0.5,0.593,0.706,0.837,0.974,0.972,0.469,0.321,0.392,0.675,0.795,0.88,0.562,1.105,,16
Financials,Banks,Banks,1ST ENTERPRISE BANK,,,,,,,,,,,0.42,0.89,1.04,1.28,,,,4
Financials,Banks,Banks,1ST INDEPENDENCE FINL GROUP,0.76,0.52,0.54,1.05,-0.84,2.38,1,-2.42,,,,,,,,,,8
Financials,Diversified Financials,Capital Markets,1ST PRESTIGE WEALTH MGMT INC,,,-800,-100,-300,-200,-200,,,,,,,,,,,6
Financials,Banks,Banks,1ST SOURCE CORP,1.495,1.529,0.397,0.76,1,1.347,1.582,1.182,1.255,0.718,1.1,1.782,1.836,2.027,2.173,2.17,2.22,17
Financials,Banks,Banks,1ST STATE BANCORP INC,1.35,1.12,1.25,1.39,1.23,1.21,,,,,,,,,,,,6
Financials,Banks,Banks,1ST UNITED BANCORP INC,,,,,,,,0.72,-0.25,0.3,0.09,0.13,0.14,0.2,,,,7
Financials,Insurance,Insurance,21ST CENTURY INS GROUP,0.15,-0.32,-0.14,0.63,1.03,1.02,1.13,,,,,,,,,,,7
Financials,Diversified Financials,Capital Markets,21ST CENTURY TECHNOLOGIES,,-150.001,-30,0,,,,,,,,,,,,,,3
Financials,Diversified Financials,Capital Markets,A B WATLEY GROUP INC,-1.21,-2.13,-2.62,-0.57,-0.31,,,,,,,,,,,,,5
Financials,Diversified Financials,Diversified Financial Services,A-MARK PRECIOUS METALS INC,,,,,,,,,,,,,1.29,1.61,1.1,1.01,1.33,5
Financials,Not Assigned,Real Estate Investment Trusts (REITs) - Discontinued Effective 08/31/2016,AAMES INVESTMENT CORP,-149.97,-50.727,-10.345,17.052,78.624,-0.1,,,,,,,,,,,,6
Financials,Not Assigned,Real Estate,AAMES INVESTMENT CORP-OLD,,,,0.9,2.81,,,,,,,,,,,,,2
Financials,Banks,Banks,ABIGAIL ADAMS NATL BANCORP,0.76,0.879,1.036,0.955,1.09,0.98,1.07,0.88,-1.67,,,,,,,,,9
Financials,Banks,Thrifts & Mortgage Finance,ABINGTON BANCORP INC,,,,,,0.256,0.288,0.31,0.1,-0.36,0.41,,,,,,,6
Financials,Banks,Thrifts & Mortgage Finance,ABINGTON BANCORP INC-OLD,1.46,1.09,1.83,0.8,,,,,,,,,,,,,,4
Financials,Banks,Banks,ABN AMRO HOLDING NV  -ADR,1.92,1.36,1.59,2.44,3.32,2.88,2.88,1.34,,,,,,,,,,8
Financials,Banks,Banks,ACADIANA BANCSHARES INC/LA,1.8,2.12,,,,,,,,,,,,,,,,2
