GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Health Care,Health Care Equipment & Services,Health Care Providers & Services,21ST CENTURY ONCOLOGY HLDGS,,,,1.41,0.45,1.1,1.31,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Providers & Services,24/7 KID DOC INC,-0.13,-0.08,-0.04,-0.02,-0.02,-0.02,0,-0.05,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,,,15
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,3-DIMENSIONAL PHARMACEUTICAL,-0.97,-0.53,,,,,,,,,,,,,,,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,3SBIO INC -ADR,,,,,,,0.18,0.56,0.28,0.56,0.57,0.79,0.74,,,,,7
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,4-D NEUROIMAGING,-120.005,-48.002,-84.003,-24.001,,,,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Technology,A D A M INC,-1.42,0.25,-0.22,0.08,0.21,0.87,0.3,0.42,0,-1.35,,,,,,,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,AAC HOLDINGS INC,,,,,,,,,,,,,7,0.09,0.36,0.49,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AAIPHARMA INC,0.02,0.22,0.827,-1.18,-6.69,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABAXIS INC,-0.09,0.02,0.02,1.3,0.25,0.37,0.49,0.58,0.55,0.59,0.65,0.59,1.25,0.64,0.92,1.37,,16
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABBOTT LABORATORIES,1.8,1,1.79,1.76,2.03,2.17,1.12,2.34,3.06,3.71,2.98,3.03,3.76,1.52,1.13,1.73,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABBVIE INC,,,,,,,,,,,2.66,2.18,3.33,2.58,1.11,3.15,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABEONA THERAPEUTICS INC,-122.5,-117.5,-180,-130,-170,-115,-187.5,-517.5,-175.5,-81.5,-30,-11,-26,3,-15.26,-0.53,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABGENIX INC,-0.11,-0.71,-2.39,-2.23,-2.11,-2.3,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABIOMED INC,-0.55,-1.02,-0.87,-0.45,-0.11,-1.15,-1.03,-1.26,-0.91,-0.52,-0.32,0.04,0.38,0.19,2.8,0.9,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ABLE LABORATORIES INC,-1.949,-1.499,1.98,0.56,0.84,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABRAXIS BIOSCIENCE INC,,,,,,-0.08,-0.78,-1.04,-6.91,-2.57,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABVIVA INC,-13,-19.2,-5.4,-3.4,-3.4,-3.8,-2.2,-1.6,,,,,,,,,,8
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AC IMMUNE SA,,,,,,,,,,,,,,,0.19,0.37,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACACIA DIVERSIFIED HLDGS INC,,,,,,0,-0.24,-0.35,-0.07,-0.02,-0.02,-0.08,-0.06,-0.06,-0.01,-0.07,,11
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACADIA HEALTHCARE CO INC,,,,,,,,,,,0.3,-1.46,0.53,0.87,1.51,1.65,,6
