GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Industrials,Capital Goods,Construction & Engineering,180 CONNECT INC,,,,,-0.04,-0.19,-0.39,-1.2,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,3CI COMPLETE COMPLIANCE CORP,-0.12,-0.3,0.06,0.33,-0.01,-0.03,,,,,,,,,,,,6
Industrials,Capital Goods,Industrial Conglomerates,3M CO,2.345,1.815,2.53,3.07,3.83,4.23,5.15,5.7,4.95,4.56,5.72,6.05,6.4,6.83,7.63,7.72,8.35,17
Industrials,Commercial & Professional Services,Professional Services,51JOB INC  -ADR,,,,0.05,0.16,0.135,0.23,0.25,0.2,0.295,0.64,1.08,1.31,1.41,1.21,1.65,,13
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC,,,,,,,,,,0,0,,,,,,,2
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC -OLD,380,,,,,,,-10,0,0,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,A NOVO BROADBAND INC,-0.12,-0.42,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Machinery,A S V INC,0.075,0.035,0.065,0.425,0.675,1.04,0.82,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,A-POWER ENERGY GENERATN SYS,,,,,,0.01,0.01,-0.1,0.96,-0.49,,,,,,,,5
Industrials,Capital Goods,Electrical Equipment,A123 SYSTEMS INC,,,,,,,,-0.32,-0.82,-0.86,-1.46,-2.12,,,,,,5
Industrials,Commercial & Professional Services,Professional Services,AAMPRO GROUP INC,0,-200.192,-6.006,-12.012,-9.009,-6.006,-6.006,,,,,,,,,,,7
Industrials,Capital Goods,Building Products,AAON INC,0.191,0.215,0.219,0.221,0.119,0.184,0.275,0.367,0.483,0.477,0.385,0.253,0.498,0.68,0.81,0.85,,16
Industrials,Capital Goods,Aerospace & Defense,AAR CORP,0.69,-2.08,-0.39,0.11,0.58,1.05,1.63,2.04,2.12,1.17,1.85,1.68,1.38,1.85,-1.4,1.16,,16
Industrials,Capital Goods,Trading Companies & Distributors,ABATIX CORP,0.35,0.7,0.79,0.04,0.13,1.22,0.58,0.74,0.88,0.38,4.8,0.94,,,,,,12
Industrials,Capital Goods,Electrical Equipment,ABB LTD  -ADR,0.75,-0.11,0.09,0.06,0.22,0.44,0.73,1.4,1.37,1.26,1.12,1.38,1.18,1.23,1.12,0.87,,16
Industrials,Capital Goods,Machinery,ABC DISPENSING TECHNOLOGIES,-2.2,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Machinery,ABC-NACO INC,-3.76,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Construction & Engineering,ABENGOA SA  -ADR,,,,,,,,,,,,,,0.9,1.09,-7.22,,3
Industrials,Capital Goods,Aerospace & Defense,ABILITY INC,,,,,,,,,,,,,,,0.13,0.6,,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEAUCTIONS.COM INC,-6.963,-1.2,-0.6,-0.12,0.12,0.12,0,-0.12,-0.48,,,,,,,,,9
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEST INC,0.21,-1.75,0.21,1.01,0.31,0.19,0.47,,,,,,,,,,,7
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABM INDUSTRIES INC,0.97,0.68,0.95,0.74,0.63,0.88,1.9,1.06,1.04,1.08,1.23,1.29,1.16,1.33,1.35,0.95,1.11,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABTECH HOLDINGS INC,,,,,,,,,,,-0.06,-0.11,-0.19,-0.08,-0.09,-0.11,,6
Industrials,Commercial & Professional Services,Professional Services,ACACIA RESEARCH CORP,-1.809,-1.16,-0.64,-0.28,-0.27,-0.23,-0.2,-0.26,-0.47,-0.38,1.05,0.53,1.26,-1.18,-1.37,-3.25,,16
Industrials,Capital Goods,Construction & Engineering,ACCELERATED BUILDING CONCEPT,-5.7,-4.5,-0.1,0.1,0,0,-0.1,-0.1,,,0,0,,,,,,10
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS TO MONEY INC,-0.88,-1.13,-0.74,0.56,0.66,-0.62,-3.32,-0.8,-1.29,-0.3,-0.05,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS WORLDWIDE CMMNCTNS,-1.25,-3.76,-0.03,-1.2,-0.14,-0.41,-0.25,-0.19,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCO BRANDS CORP,,,,0.85,2.17,1.35,0.13,-0.02,-4.85,-2.13,0.21,0.34,1.24,0.68,0.81,0.79,,13
Industrials,Capital Goods,Machinery,ACCO BRANDS-PRO FORMA,,,,,1.24,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCUFACTS PRE-EMPLOYMENT SCR,-0.06,0.01,0.04,0.05,0.05,0.06,,,,,,,,,,,,6
Industrials,Capital Goods,Machinery,ACCURIDE CORP,,,,,,17.4,19,-2.5,-92.4,-35.9,-4.83,-0.3,-3.75,-0.56,-0.04,-0.16,,11
Industrials,Transportation,Marine,ACLN LTD,3.03,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Electrical Equipment,ACME ELECTRIC CORP,0.16,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACME UNITED CORP,0.3,0.37,0.19,0.37,0.96,0.84,1.11,1.14,1.28,0.86,0.82,0.91,1.14,1.26,1.48,1.44,,16
Industrials,Capital Goods,Electrical Equipment,ACRODYNE COMMUNICATIONS INC,-1.84,-0.39,0.05,,,,,,,,,,,,,,,3
