GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,1MAGE SOFTWARE INC,0,0.07,-0.09,0.03,-0.34,,,,,,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,21VIANET GROUP INC  -ADR,,,,,,,,,,,-0.68,0.05,0.15,-0.13,-0.84,-0.8,,6
Information Technology,Software & Services,Internet Software & Services,24/7 REAL MEDIA INC,-116.9,-19,-2.3,-0.85,-0.1,0,-0.18,,,,,,,,,,,7
Information Technology,Software & Services,Internet Software & Services,2U INC,,,,,,,,,,,,,-0.59,-0.71,-0.73,-0.63,,4
Information Technology,Software & Services,Internet Software & Services,30DC INC,,,,,,,,,,,,-0.02,0,-0.01,0,-0.02,,5
Information Technology,Technology Hardware & Equipment,Communications Equipment,3COM CORP,-2.81,-1.71,-0.64,-0.91,-0.51,-0.26,-0.22,-0.57,0.29,,,,,,,,,9
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products,3D LABS INC LTD,-0.7,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Software,3D PIONEER SYSTEMS INC,,,,,,,,,,,,,,-0.001,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3D SYSTEMS CORP,0.23,-0.037,-0.387,-0.517,0.027,0.187,-0.59,-0.11,-0.093,0.017,0.283,0.473,0.48,0.45,0.11,-5.85,,16
Information Technology,Technology Hardware & Equipment,Communications Equipment,3DICON CORP -OLD,,,,,,,,,,,,,,-0.01,0,0,,3
Information Technology,Software & Services,Software,3DO CO,-14.32,-8,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,3DSHOPPING .COM,-1.69,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3PAR INC,,,,,,-0.27,-0.26,-0.17,-0.02,-0.05,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,58.COM INC  -ADR,,,,,,,,,,,,-1.07,-0.39,0.25,0.27,-2.14,,5
Information Technology,Software & Services,Software,5B TECHNOLOGIES CORP,-0.94,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,Communications Equipment,5BARZ INTERNATIONAL INC,,,,,,,,,,,,,-0.02,-0.02,-0.05,-0.04,,4
Information Technology,Software & Services,IT Services,6D GLOBAL TECHNOLOGIES,,,,,,,,,0.138,0.276,1.242,0,-2.001,-4.554,0.01,-0.22,,8
Information Technology,Software & Services,Internet Software & Services,724 SOLUTIONS INC,-17.1,-97.2,-14.7,-4.73,-1.34,-1.01,,,,,,,,,,,,6
Information Technology,Software & Services,Software,8X8 INC,-2.95,-0.36,-0.4,-0.09,-0.43,-0.43,-0.16,0,-0.04,0.06,0.1,1.04,0.2,0.02,0.02,-0.06,,16
Information Technology,Software & Services,Internet Software & Services,A-1 GROUP INC,,,,,,,,,,,,,0,-0.01,0,,,3
Information Technology,Software & Services,Software,A10 NETWORKS INC,,,,,,,,,,,,,-1.8,-0.54,-0.6,-0.64,,4
Information Technology,Software & Services,Internet Software & Services,A21 GROUP INC,,,,-0.08,-0.07,-0.1,-0.12,-0.05,,,,,,,,,,5
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",ACACIA RESEARCH-CONSOLIDATED,-1.99,-1.16,-1.38,-0.55,-0.1,-0.31,-0.37,-0.09,,,,,,,,,,8
Information Technology,Software & Services,Internet Software & Services,ACCELERIZE INC,,,,,,,,,,,,,0,0,-0.05,-0.1,,4
Information Technology,Software & Services,Software,ACCELIO CORP,-0.82,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Software,ACCELRYS INC,0.05,-0.62,-0.49,-0.15,-0.96,-0.3,-0.06,0.05,0,0.04,-0.44,0.03,-0.19,0.1,,,,14
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",ACCENT COLOR SCIENCES INC,-0.08,,,,,,,,,,,,,,,,,1
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,ACCENT OPTICAL TECH INC-REDH,,,-0.1,-0.08,,,,,,,,,,,,,,2
Information Technology,Software & Services,IT Services,ACCENTURE PLC,,,0.57,1.06,1.25,1.6,1.65,2.06,2.77,2.55,2.79,3.53,3.97,5.08,4.64,4.87,6.58,15
Information Technology,Software & Services,Internet Software & Services,ACCESS POWER INC,-0.11,-0.05,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,ACCESSPOINT CORP,-0.33,-0.2,-0.12,0,0,,,,,,,,,,,,,5
Information Technology,Software & Services,Software,ACCLAIM ENTERTAINMENT INC,-2.36,0.24,-0.05,-0.53,,,,,,,,,,,,,,4
Information Technology,Software & Services,Software,ACCPAC INTERNATIONAL -REDH,-1.04,-0.98,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,ACCRUE SOFTWARE INC,-7.55,-0.41,,,,,,,,,,,,,,,,2
Information Technology,Technology Hardware & Equipment,Communications Equipment,ACE COMM CORP,0.24,-0.75,-0.43,-0.21,-0.49,-0.44,0.02,-0.53,,,,,,,,,,8
Information Technology,Software & Services,Software,ACI WORLDWIDE INC,0.023,-0.42,0.143,0.133,0.42,0.383,0.493,-0.083,0.103,0.19,0.27,0.457,0.42,0.543,0.59,0.73,,16
