GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Materials,Materials,Metals & Mining,37 CAPITAL INC,,-470.588,-125.49,0,-31.373,20.189,96.459,-67.295,-112.158,-12.561,-3.589,-2.692,-0.897,-0.479,-0.84,-0.22,,16
Materials,Materials,Metals & Mining,3DX INDUSTRIES INC,,,,,,,,,,,,,,-0.5,-0.33,,,2
Materials,Materials,Chemicals,ABAKAN INC,,,,,,,,,,,,,-0.12,-0.09,-0.1,,,3
Materials,Materials,Paper & Forest Products,ABITIBI CONSOLIDATED INC,0.64,0.41,-0.07,0.32,-0.21,-0.69,0.1,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ACME METALS INC,-3.72,,,,,,,,,,,,,,,,,1
Materials,Materials,Containers & Packaging,ACOLOGY INC,,,,,,,,,,,,,,,0,0,,2
Materials,Materials,Metals & Mining,ADAL GROUP INC,0,0,0,-0.086,-0.14,-0.29,,,,,,,,,,,,6
Materials,Materials,Metals & Mining,ADEX MINING INC,,,,,,,,,,,-0.01,-0.02,-0.01,-0.01,-0.01,0,,6
Materials,Materials,Chemicals,ADM TRONICS UNLIMITED INC/DE,-0.01,-0.01,-0.01,0,-0.06,-0.13,-0.15,-0.05,-0.16,-0.02,-0.01,0,-0.01,0,0.01,0.02,,16
Materials,Materials,Chemicals,ADVANCED EMISSIONS SOLUTIONS,,,23.5,0.06,0.04,0.065,0.035,0.025,-0.335,-0.63,-1.045,-1.24,-0.655,,,-1.37,,12
Materials,Materials,Chemicals,ADVANCED MATERIALS GROUP INC,0.06,-0.39,-0.05,-0.14,0.07,0.01,0.11,0.07,0.03,,,,,,,,,9
Materials,Materials,Chemicals,ADVANSIX INC,,,,,,,,,,,,,,,2.69,2.04,,2
Materials,Materials,Containers & Packaging,AEP INDUSTRIES INC,-0.57,-0.57,-0.23,-3.16,-0.05,0.28,4.6,3.45,0.49,4.48,-0.08,2.1,4.2,1.93,-1.03,5.66,5.64,17
Materials,Materials,Metals & Mining,AFRICAN GOLD GROUP INC,,,,,,,,,,,,,-0.05,-0.02,-0.04,0.01,,4
Materials,Materials,Metals & Mining,AGNICO EAGLE MINES LTD,-0.09,-0.12,0.06,-0.17,0.56,0.42,1.4,1.05,0.51,0.55,2.05,-3.36,1.82,-2.35,0.43,0.11,,16
Materials,Materials,Chemicals,AGRAQUEST INC,-3.07,,,,,,,,,,,,,,,,,1
Materials,Materials,Chemicals,AGRIUM INC,0.65,-0.49,-0.08,-0.25,2.04,2.14,0.25,3.28,8.39,2.33,4.64,9.53,9.56,7.31,5.51,6.98,,16
Materials,Materials,Chemicals,AGROFRESH SOLUTIONS INC,,,,,,,,,,,,,,,-0.1,-0.57,,2
Materials,Materials,Chemicals,AIR LIQUIDE SA  -ADR,0.349,0.365,0.434,0.538,0.624,0.599,0.775,0.965,1.015,1.046,1.091,1.165,1.236,1.327,1.17,1.11,,16
Materials,Materials,Containers & Packaging,AIR PACKAGING TECHNOLOGY INC,-0.36,-0.29,,,,,,,,,,,,,,,,2
Materials,Materials,Chemicals,AIR PRODUCTS & CHEMICALS INC,0.58,2.39,2.42,1.82,2.7,3.15,3.38,4.82,5.14,3.05,4.85,5.71,4.73,4.79,4.64,5.95,7,17
Materials,Materials,Chemicals,AIRGAS INC,0.43,0.71,0.97,1.1,1.23,1.66,1.98,2.74,3.19,2.39,2.99,4.09,4.45,4.76,4.93,4.6,,16
Materials,Materials,Metals & Mining,AK STEEL HOLDING CORP,1.2,-0.87,-4.42,-5.48,0.28,-0.01,0.11,3.5,0.04,-0.68,-1.17,-1.41,-9.06,-0.34,-0.65,-2.86,-0.03,17
Materials,Materials,Chemicals,AKZO NOBEL NV  -ADR,1.083,0.633,1,0.887,1.353,1.327,1.77,0.727,-2.073,0.573,1.26,0.87,-3.2,1.13,0.87,1.42,,16
Materials,Materials,Metals & Mining,ALAMOS GOLD INC,,-0.119,-0.119,-0.02,-0.198,-0.476,-0.555,-1.784,0.495,0.02,-2.101,1.744,-0.674,-1.407,-1.348,-2.62,,15
Materials,Materials,Metals & Mining,ALAMOS GOLD INC -OLD,,,,,,,,,,,0.57,0.51,0.98,0.3,-0.02,,,5
Materials,Materials,Chemicals,ALBEMARLE CORP,1.11,0.745,0.89,0.895,0.66,1.24,1.51,2.41,2.13,1.95,3.54,4.82,3.49,4.93,2.57,3.01,,16
Materials,Materials,Metals & Mining,ALCAN INC,2.45,-0.01,1.16,0.88,0.67,0.4,4.75,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ALCOA CORP,,,,,,,,,,,,,,,-1.41,-4.75,-2.19,3
Materials,Materials,Metals & Mining,ALDERON IRON ORE CORP,,,,,,,,,,-0.1,-0.04,-0.43,-0.65,-0.08,-0.05,-0.03,,7
Materials,Materials,Chemicals,ALDEROX INC,-0.28,-0.2,-0.3,-0.2,-0.24,-0.26,-0.38,-0.2,,,,,,,,,,8
Materials,Materials,Metals & Mining,ALERIS CORP,0.02,-0.18,0.47,-0.06,-1.51,2.44,,,,,73.61,5.2,3.28,-1.2,,,,10
Materials,Materials,Metals & Mining,ALERIS INTL INC-PRO FORMA,,,,0.1,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ALEXCO RESOURCE CORP,,,,,,,-0.13,-0.08,-0.11,-0.21,-0.1,0.06,0.06,-0.76,-0.43,-0.06,,10
Materials,Materials,Metals & Mining,ALHAMBRA RESOURCES LTD,,,,,,,,,,,,,-0.05,-0.21,,,,2
Materials,Materials,Metals & Mining,ALLEGHENY TECHNOLOGIES INC,1.6,-0.31,-0.82,-3.87,0.23,3.76,5.74,7.35,5.71,0.33,0.73,2.09,1.49,-0.93,-0.02,-3.53,-5.97,17
Materials,Materials,Paper & Forest Products,ALLIANCE FOREST PRODS INC,0.45,,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ALLIED AMERICAN STEEL CORP,,,,,,,,,,,,-0.01,0,,,,,2
Materials,Materials,Metals & Mining,ALLOY STEEL INTL INC,,-0.01,-0.05,0,0,0.01,-0.02,0.08,0.15,0,0.28,0.14,0.2,0.32,,,,13
Materials,Materials,Metals & Mining,ALLOYCORP MINING INC,,,,,,,,,,,-0.2,0,-0.1,-0.2,-0.6,-0.9,,6
Materials,Materials,Metals & Mining,ALMADEN MINERALS LTD,,,,-0.05,-0.09,-0.03,-0.09,-0.02,-0.07,-0.05,-0.07,0.13,-0.17,-0.09,-0.2,-0.01,,13
Materials,Materials,Metals & Mining,ALTAN RIO MINERALS LTD,,,,,,,,,,,,,-0.03,-0.04,-0.01,-0.06,,4
Materials,Materials,Chemicals,ALTANA AG  -ADR,4.32,2.22,2.48,3.19,3.9,3.82,0.54,1.47,1.06,0.11,,,,,,,,10
Materials,Materials,Chemicals,ALTERNATE ENERGY CORP,-1.76,-2.244,-0.704,-0.08,-0.04,-0.04,-0.02,-0.01,0,,,,,,,,,9
Materials,Materials,Metals & Mining,ALUMINA LTD  -ADR,1.51,0.2,0.35,0.63,0.87,0.79,1.38,1.34,0.36,-0.04,0.06,0.21,-0.1,0,-0.14,0.12,,16
Materials,Materials,Metals & Mining,ALUMINUM CORP OF CHINA  -ADR,0.952,0.59,0.393,1.023,1.702,1.967,3.3,3.19,0,-1.26,0.23,0.07,-2.44,0.21,-4.83,0.05,,16
Materials,Materials,Metals & Mining,AMCOL INTERNATIONAL CORP,0.12,0.47,0.46,0.7,1.08,1.24,1.65,1.89,0.83,1.13,0.97,1.88,2.03,1.06,,,,14
Materials,Materials,Containers & Packaging,AMCOR LTD  -ADR,1.1,0.92,2.76,0.99,0.94,0.42,1.32,0.91,1.03,0.82,0.54,1.24,1.39,1.83,2.3,2.26,0.84,17
Materials,Materials,Chemicals,AMERICAN BILTRITE INC,152,82,-259,-197,69,-505,20,-58,-874,-355,123,-48,-8.76,102.4,91.57,-22.2,,16
Materials,Materials,Containers & Packaging,AMERICAN BK NT HOLOGRAPHICS,-0.12,0.03,-0.44,0.05,0.1,-0.03,0.19,,,,,,,,,,,7
Materials,Materials,Chemicals,AMERICAN GROUP INC,-2.51,,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,AMERICAN INTL VENTURES INC,,,,,,,,,,,,,-0.03,0,0,0,,4
Materials,Materials,Metals & Mining,AMERICAN LITHIUM MINERALS,,,,,,,,,0,0,-0.21,,,,,,,3
Materials,Materials,Chemicals,AMERICAN PACIFIC CORP,2.09,1.1,1.22,1.29,0.05,-1.54,-0.41,0.68,1.2,-0.8,-0.44,-0.96,2.69,2.98,,,,14
Materials,Materials,Metals & Mining,AMERICAN RARE EARTHS & MTRLS,0,0,-2.6,-1.4,-0.8,-0.4,-1,-1.4,-0.44,-0.19,-0.34,-0.27,,,,,,12
Materials,Materials,Chemicals,AMERICAN SOIL TECHNOLOGIES,-0.06,-0.07,-0.12,-0.12,-0.16,-0.1,-0.08,-0.07,-0.05,-0.05,-0.02,-0.01,-0.01,-0.01,0,-0.01,,16
