GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACADIA REALTY TRUST,0.75,0.37,0.42,0.3,0.47,0.68,0.49,0.55,0.59,0.75,0.75,0.5,0.51,0.61,1.18,0.94,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ACRE REALTY INVESTORS INC,0.59,1.61,-0.51,-0.68,-0.5,-0.46,-0.67,-0.59,-0.76,-1.4,-0.88,-0.96,-0.67,-0.11,-0.24,-0.08,,16
Real Estate,Real Estate,Real Estate Management & Development,ADVANCED OXYGEN TECHNOLOGY,-0.4,-0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AGREE REALTY CORP,1.61,1.83,1.97,1.79,1.94,1.73,1.84,2.02,1.95,2.15,0.94,1.32,1.31,1.41,1.23,2.17,,16
Real Estate,Real Estate,Real Estate Management & Development,ALEXANDER & BALDWIN INC,,,,,,,,,,,,0.21,0.41,0.33,0.56,0.54,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDER'S INC,1.04,4.77,2.66,-3.79,-6.68,16.38,-14.92,22.68,15.05,25.9,13.01,15.55,9.8,10.7,13.19,15.04,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDRIA R E EQUITIES INC,1.55,1.67,1.81,2.08,2.28,2.25,2.22,2.37,2.63,2.59,2.18,1.75,1.05,1.59,0.99,1.63,,16
Real Estate,Real Estate,Real Estate Management & Development,ALON BLUE SQUARE ISRAEL -ADR,8.5,8.5,0.4,-0.4,3.6,5,12.9,9.2,6.3,4.7,2.7,2.4,0.8,-5,-16.6,-8.34,,16
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE ASSET MGMT CORP,,,,,,,,,,,,,-0.02,-2.26,26.31,-1.59,,4
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE PORTFOLIO SOLTNS,,,,,,,,0.28,0.38,1.08,1.96,2.92,4.74,5.63,6.22,2.13,,9
