GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,360NETWORKS INC,-0.55,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ABOVENET INC,-0.38,,,,,,2.035,0.64,1.925,11.98,2.74,2.81,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ADELPHIA BUSINESS SOLUTIONS,-4.93,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AIRGATE PCS INC,-33,-42.4,-209.8,-16.35,-1.1,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALAMOSA HOLDINGS INC,-1.33,-1.65,-4.33,-0.8,-0.32,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALASKA COMMUNICATIONS SYS GP,-0.77,-0.36,-2.3,-0.22,-1.33,-1.04,0.48,3.38,-0.23,-0.08,-0.69,0.01,0.38,3.32,-0.06,0.26,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLEGIANCE TELECOM INC,-2.58,-3.82,-4.88,-2.98,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLIED RISER COMMUNICATIONS,-3.18,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLSTREAM INC -CL B,-3.65,-4.68,-11.36,2.56,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALLTEL CORP,6.25,3.36,2.97,3.06,3.34,3.84,2.15,,,,,,,,,,,7
