GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Utilities,Utilities,Independent Power and Renewable Electricity Producers,3POWER ENERGY GROUP INC,,,,,,,,,,-0.05,-0.02,-0.12,-0.02,-0.01,0,0,,7
Utilities,Utilities,Independent Power and Renewable Electricity Producers,808 RENEWABLE ENERGY CORP,,,,,,,,,,,,,,-0.02,-0.14,-0.07,,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,8POINT3 ENERGY PARTNERS LP,,,,,,,,,,,,,,-0.19,-0.06,-0.07,,3
Utilities,Utilities,Multi-Utilities,AEI,,,,,,,,0.42,0.73,1.27,,,,,,,,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AES CORP,1.47,0.88,-4.81,0.56,0.4,0.96,0.21,0.74,1.82,1.09,-0.11,0.59,-1.21,0.38,1.1,0.45,,16
Utilities,Utilities,Water Utilities,ALANCO TECHNOLOGIES INC,-6.2,-10,-11.4,-2.8,-3.8,-3.4,-3.2,-2.72,-3.36,-1.44,-0.64,-0.4,-0.04,-0.14,-0.02,-0.18,-0.32,17
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALGONQUIN POWER & UTIL CORP,,,,,,,,,,,,,,,0.28,0.31,,2
Utilities,Utilities,Electric Utilities,ALLEGHENY ENERGY INC,2.84,3.74,-4,-2.64,1,0.48,1.94,2.48,2.35,2.32,2.42,,,,,,,11
Utilities,Utilities,Electric Utilities,ALLETE INC,6.36,5.1,4.41,5.16,1.39,0.65,2.78,3.09,2.82,1.89,2.2,2.66,2.59,2.64,2.91,2.92,,16
Utilities,Utilities,Electric Utilities,ALLIANT ENERGY CORP,2.42,1.15,0.42,0.785,0.93,0.24,1.45,1.89,1.27,0.505,1.31,1.365,1.465,1.645,1.74,1.69,,16
Utilities,Utilities,Multi-Utilities,AMEREN CORP,3.33,3.46,2.61,3.14,2.84,3.13,2.66,2.98,2.88,2.78,0.58,2.15,-4.01,2.11,2.42,2.39,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERICAN DG ENERGY INC,,,,,,,,-0.05,-0.07,-0.07,-0.04,-0.08,-0.14,-0.1,-0.12,-0.11,,9
Utilities,Utilities,Electric Utilities,AMERICAN ELECTRIC POWER CO,0.94,3.11,0.06,1.35,2.85,2.64,2.52,2.87,3.4,2.97,2.53,3.25,2.6,3.04,3.34,3.59,1.25,17
Utilities,Utilities,Water Utilities,AMERICAN STATES WATER CO,0.64,0.673,0.67,0.39,0.595,0.79,0.67,0.81,0.635,0.815,0.835,1.12,1.415,1.61,1.57,1.61,,16
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS CO INC,,,,,,-1.72,-0.97,-2.14,-3.52,-1.39,1.53,1.74,2.12,2.08,2.4,2.66,,11
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS INC,1.61,1.62,,,,,,,,,,,,,,,,2
Utilities,Utilities,Electric Utilities,AMERICAS POWER PARTNERS INC,-0.31,-0.46,-0.13,-0.13,,,,,,,,,,,,,,4
Utilities,Utilities,Gas Utilities,AMERIGAS PARTNERS  -LP,0.36,1.18,1.12,1.42,1.71,1.1,1.59,3.15,2.7,3.59,2.8,2.3,-0.11,2.14,2.82,1.91,1.77,17
Utilities,Utilities,Water Utilities,AQUA AMERICA INC,0.392,0.422,0.47,0.48,0.516,0.576,0.56,0.576,0.584,0.616,0.728,0.84,1.056,1.16,1.21,1.14,,16
Utilities,Utilities,Multi-Utilities,AQUILA INC,2.22,2.49,-10.65,-1.8,-1.35,-0.4,-0.75,-0.05,,,,,,,,,,8
Utilities,Utilities,Multi-Utilities,AQUILA INC-OLD,1.14,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Water Utilities,ARTESIAN RESOURCES  -CL A,0.529,0.716,0.778,0.66,0.747,0.84,1,0.92,0.87,0.97,1.01,0.83,1.14,0.95,1.07,1.26,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ATLANTIC POWER CORP,,,,,,,,,1.81,-0.4,-0.06,-0.5,-1.11,-0.23,-1.47,-0.76,,8
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ATLANTICA YIELD PLC,,,,,,,,,,,,,0.02,-0.04,-0.71,-2.25,,4
Utilities,Utilities,Gas Utilities,ATLAS PIPELINE PRTNRS LP-OLD,2.07,,,,,,,,,,,,,,,,,1
Utilities,Utilities,Gas Utilities,ATMOS ENERGY CORP,1.14,1.47,1.45,1.72,1.6,1.73,1.83,1.94,2.02,2.1,2.22,2.18,2.12,2.54,2.96,3.09,3.38,17
Utilities,Utilities,Electric Utilities,AVANGRID INC,,,,,,,,,,,,,,,1.68,1.05,,2
Utilities,Utilities,Multi-Utilities,AVISTA CORP,1.49,1.21,0.67,1.03,0.74,0.93,1.49,0.73,1.37,1.59,1.66,1.73,1.32,1.85,1.94,1.9,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AZURE POWER GLOBAL LTD,,,,,,,,,,,,,,-0.17,-0.27,-0.42,,3
Utilities,Utilities,Electric Utilities,BANGOR HYDRO-ELECTRIC CO,1.47,1.14,1.66,,,,,,,,,,,,,,,3
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BAYCORP HOLDINGS CORP,-1.89,2.49,7.02,-1.72,-4.81,,,,,,,,,,,,,5
Utilities,Utilities,Water Utilities,BIW LTD,0.45,3.48,0.5,0.5,0.31,0.4,0.39,,,,,,,,,,,7
Utilities,Utilities,Multi-Utilities,BLACK HILLS CORP,2.39,3.45,2.35,1.86,1.76,1.09,2.23,2.7,-1.37,2.04,1.76,1.01,2.02,2.62,2.95,-0.71,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BLUE EARTH INC,,,,,,,,,,,,,-0.54,-0.78,-0.42,,,3
Utilities,Utilities,Water Utilities,BRAVO ENTERPRISES LTD,-551.996,-647.995,-297.598,-28.2,-5.4,-3.6,-1.2,-0.6,-2.2,-0.2,-0.2,0,-0.03,0,,,,14
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BRIGHTSOURCE ENERGY INC-REDH,,,,,,,,,,-0.46,-0.76,,,,,,,2
Utilities,Utilities,Electric Utilities,BRITISH ENERGY PLC  -ADR,4.875,-94.501,-775.33,53.64,-85,,,,,,,,,,,,,5
Utilities,Utilities,Electric Utilities,BROOKFIELD INFRS PTRS LP,,,,,,,,,0.48,0.653,2.833,0.767,0.313,-0.347,0.853,1.247,,8
Utilities,Utilities,Independent Power and Renewable Electricity Producers,BROOKFIELD RENEWABLE PRTS LP,,,,,,,,,,,,-1.8,-0.26,0.52,0.42,0.01,,5
Utilities,Utilities,Water Utilities,CADIZ INC,-16,-18.75,-16.75,-6.39,-2.32,-2.14,-1.21,-1.15,-1.32,-1.13,-1.16,-1.2,-1.27,-1.46,-1.15,-1.35,,16
Utilities,Utilities,Water Utilities,CALIFORNIA WATER SERVICE GP,0.655,0.49,0.625,0.605,0.73,0.735,0.67,0.75,0.95,0.975,0.905,0.9,1.17,1.02,1.19,0.94,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,CALPINE CORP,1.23,2.11,0.14,0.28,-1.02,-21.32,-3.68,5.62,-0.03,0.31,-0.33,-0.39,0.43,0.03,2.34,0.65,,16
Utilities,Utilities,Electric Utilities,CAP ROCK ENERGY CORP,,,6.74,7.69,2.28,-2.58,,,,,,,,,,,,4
Utilities,Utilities,Independent Power and Renewable Electricity Producers,CAPITAL POWER CORP,,,,,,,,,,,0.5,1.57,0.84,2,0.24,0.51,,6
