GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800 CONTACTS INC,0.603,0.534,0.627,0.22,0.638,0.75,0.213,,,,,,,,,,,7
Consumer Discretionary,Media,Media,1-800-ATTORNEY INC,0.044,0.021,,,,,,,,,,,,,,,,2
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1-800-FLOWERS.COM,0.796,0.387,0.241,0.201,0.227,0.314,0.406,0.302,0.319,0.187,0.275,0.332,0.344,0.412,0.434,0.542,0.2,17
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,1PM INDUSTRIES INC,0.223,0,,0,,4.121,0.819,0.096,,,,,,,,,,6
Consumer Discretionary,Retailing,Distributors,2050 MOTORS INC,,,,,,,,,,,,,,,,1.117,,1
Consumer Discretionary,Retailing,Specialty Retail,2ND SWING INC-REDH,,0.912,,,,,,,,,,,,,,,,1
Consumer Discretionary,Media,Media,4LICENSING CORP,1.474,1.193,1.248,0.194,0.256,0.304,0.295,1.475,0.368,0.049,0.107,0.005,0,0.317,0.568,,,15
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",500.COM LTD  -ADR,,,,,,,,,,,,,2.166,0.246,0.417,0.238,,4
Consumer Discretionary,Media,Media,5TH AVE CHANNEL CORP,0.367,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",7 DAYS GROUP HLDGS LTD  -ADR,,,,,,,,,0.734,0.339,0.434,0.438,0.324,,,,,5
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,800 AMERICA.COM INC,4.058,1.452,,,,,,,,,,,,,,,,2
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",800 TRAVEL SYSTEMS INC,0.317,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,9278 COMMUNICATIONS INC,4.263,1.344,0.672,,,,,,,,,,,,,,,3
Consumer Discretionary,Retailing,Multiline Retail,99 CENTS ONLY STORES,0.539,0.696,0.402,0.773,0.283,0.192,0.181,0.199,0.119,0.128,0.219,,,,,,,11
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,A-MAX TECHNOLOGY -ADR -REDH,,,,,1.151,,,,,,,,,,,,,1
Consumer Discretionary,Media,Media,A. H. BELO CORP,,,,,,,,0.132,0.059,0.043,0.052,0.049,0.069,0.044,0.081,0.123,,9
Consumer Discretionary,Retailing,Specialty Retail,A.C. MOORE ARTS & CRAFTS INC,0.723,0.403,0.388,0.95,0.859,0.193,0.222,0.2,0.16,0.112,0.115,,,,,,,11
Consumer Discretionary,Retailing,Distributors,AAI FOSTERGRANT INC,0.451,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Specialty Retail,AARON'S INC,1.1,0.824,1.173,0.094,0.085,0.114,0.139,0.181,0.086,0.092,0.096,0.078,0.06,0.049,0.044,0.047,,16
Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ABAZIAS INC,,,,,,,,,0,,,,,,,,,1
Consumer Discretionary,Media,Media,ABC FAMILY WORLDWIDE INC,,0.221,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Specialty Retail,ABERCROMBIE & FITCH  -CL A,1.048,0.454,0.255,0.407,0.294,0.373,0.496,0.369,0.279,0.125,0.129,0.277,0.284,0.125,0.154,0.148,,16
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACCOM INC,0.167,,,,,,,,,,,,,,,,,1
Consumer Discretionary,Retailing,Distributors,ACE HARDWARE CORP,0.181,0.196,0.105,,,,,,,,,,,,,,,3
