GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",3TEC ENERGY CORP,0.673,0.439,0.178,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ABLE ENERGY INC,0.3,,0.138,0.178,0.204,0.238,0.111,0.191,0.045,,,,,,,,,8
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS ENERGY PARTNERS-REDH,,,,,,,0.25,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",ABRAXAS PETROLEUM CORP/NV,0.253,0.187,0.138,0.122,0.083,0.453,0.25,0.258,1.492,0.103,0.233,0.674,0.382,0.447,1.067,0.215,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ACCESS MIDSTREAM PARTNERS LP,,,,,,,,,,0.343,0.403,0.188,0.139,0.228,0.219,,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ADAMS RESOURCES & ENERGY INC,0.198,0.131,0.193,0.348,0.498,0.658,0.366,0.366,0.446,0.629,0.53,1.12,0.737,0.304,0.332,0.13,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ADINO ENERGY CORP,0,0,,0,0,0,57.1,0.073,0.018,0.159,6.758,0.804,0.083,,,,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",ADVANTAGE OIL & GAS LTD,,,,,0.604,0.114,0.176,0.111,0.098,0.092,0.127,0.131,0.109,0.108,0.124,0.116,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",AEGEAN MARINE PETROLM NETWK,,,,,,,1.256,1.118,0.629,0.315,0.259,0.099,0.121,0.122,0.132,0.014,,10
Energy,Energy,"Oil, Gas & Consumable Fuels",AEMETIS INC,,,,,,,,,,,,,,0.015,0.025,0.001,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA ENERGY CORP,,,,,,,,,,,,,,0.024,0.013,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AFRICA OIL CORP,,,,,,,,,,,,0.433,0.721,0.813,0.896,0.28,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ALAMO ENERGY CORP,,,,,,,,,,,1.714,0.09,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALBERTA ENERGY CO LTD,0.309,0.282,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALL STAR GAS CORP,0.054,0.064,0.128,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE BIOENERGY PLUS INC,,,,,,,,,,,,,,,2.725,1.529,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE HOLDINGS GP LP,,,,,,0.473,0.62,0.396,0.396,0.532,0.352,0.393,0.389,0.232,0.193,0.128,0.051,12
Energy,Energy,"Oil, Gas & Consumable Fuels",ALLIANCE RESOURCE PTNRS  -LP,0.263,0.291,0.261,0.207,0.246,0.473,0.611,0.274,0.339,0.532,0.352,0.393,0.389,0.232,0.193,0.128,0.051,17
Energy,Energy,Energy Equipment & Services,ALLIS-CHALMERS ENERGY INC,0.006,0.381,0.122,0.313,0.148,0.472,0.493,0.204,0.246,0.103,0.137,,,,,,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",ALMA MARITIME LTD  -REDH,,,,,,,,,,0.02,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",ALON USA ENERGY INC,,,,,0.124,0.098,0.188,0.054,0.595,0.089,0.032,0.076,0.062,0.046,0.062,0.082,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",ALON USA PARTNERS LP,,,,,,,,,,,,0.038,0.064,0.061,0.158,0.066,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ALPHA NATURAL RESOURCES INC,,,,0.397,0.364,0.561,0.226,0.198,0.215,0.34,0.109,0.191,0.045,0.027,0.025,0.026,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",ALTEX INDUSTRIES INC,0.066,0.072,0,0.069,0.132,0.096,0,2,1,0,0,0,0,0,0,0,0,17
Energy,Energy,"Oil, Gas & Consumable Fuels",ALVOPETRO ENERGY LTD,,,,,,,,,,,,,,,0.785,0.174,,2
Energy,Energy,Energy Equipment & Services,ALY ENERGY SERVICES INC,,,,,,,,,,,,,,,0.603,0.026,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMBER RESOURCES CO OF COLO,0,0.002,0,0,0,0,0,0,0,0,,,,,,,,10
Energy,Energy,Energy Equipment & Services,AMEC FOSTER WHEELER PLC -ADR,,,,,,,,,,,,,,,0.337,0.09,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMEN PROPERTIES INC,0.227,0.297,0.087,0.013,0.049,0.061,0.05,1.007,,0.041,0,,,0.667,,,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICA WEST RESOURCES INC,,,,,,,,,,0.547,0.498,0.486,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN EAGLE ENERGY CORP,,,,,,,,,,,,6.235,0.829,2.681,1.042,,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN ENERGY DEV CORP,,,,,,,,,,,,0,0.908,0,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN ENERGY GROUP LTD,,,,,,,,6,0.297,0,2.857,0.001,0.001,0,0,0.001,0,10
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN INTL PETROLEUM CORP,0.041,0.042,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN LIBERTY PETRO -OLD,,,,,,,,,,,,1.138,0.273,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN MIDSTREAM PRTNRS LP,,,,,,,,,,,0.069,0.043,0.069,0.122,0.31,0.224,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN OIL & GAS INC,,,,,1.499,4.057,0.646,0.406,0.385,0.339,,,,,,,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN RESOURCES OFFSHORE,0.34,,,,,,,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN SANDS ENERGY CORP,,,,,,,,,,,,,,,2,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN STANDARD ENERGY CP,,,,,,,,,,,,3.345,0.423,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMYRIS INC,,,,,,,,,,0.183,0.256,1.494,0.444,0.05,0.036,0.028,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ANADARKO PETROLEUM CORP,0.464,0.255,0.175,0.184,0.176,0.214,0.256,0.087,0.128,0.117,0.135,0.149,0.193,0.201,0.232,0.146,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ANDATEE CHINA MARINE FUEL,,,,,,,,,0.038,2.788,2.215,0.483,0.016,0.345,,,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ANDERSON EXPLORATION LTD,0.268,0.276,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ANR PIPELINE CO,0.077,0.085,0.082,0.072,0.098,0.08,0.103,,,,,,,,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ANTERO MIDSTREAM PARTNERS LP,,,,,,,,,,,,,,2.281,0.977,0.401,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ANTERO RESOURCES CORP,,,,,,,,,,,,,,0.909,0.735,0.251,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",APACHE CORP,0.434,0.286,0.163,0.35,0.296,0.268,0.333,0.272,0.237,0.152,0.54,0.186,0.21,0.211,0.236,0.108,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",APCO OIL AND GAS INTL INC,0.154,0.246,0.11,0.099,0.187,0.373,0.536,0.425,0.513,0.251,0.377,0.335,0.432,0.321,,,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",APOLLO RESOURCES INTL INC,,0.647,0.364,0,0,0.036,,,,,,,,,,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",APPROACH RESOURCES INC,,,,,,,0.669,0.394,0.437,0.097,0.3,0.772,0.5,0.358,0.376,0.114,,10
Energy,Energy,"Oil, Gas & Consumable Fuels",ARC LOGISTICS PARTNERS LP,,,,,,,,,,,,,0.098,0.121,0.033,0.067,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",ARCH COAL INC,0.078,0.086,0.098,0.103,0.222,0.176,0.341,0.218,0.202,0.12,0.093,0.163,0.05,0.04,0.022,0.018,,16
Energy,Energy,Energy Equipment & Services,ARCHROCK INC,0.551,1.151,0.217,0.122,0.045,0.083,0.135,0.189,0.144,0.1,0.069,0.091,0.143,0.138,0.192,0.077,,16
Energy,Energy,Energy Equipment & Services,ARCHROCK PARTNERS LP,,,,,,0.061,0.105,0.211,0.078,0.041,0.05,0.079,0.196,0.172,0.265,0.137,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",ARDMORE SHIPPING CORP,,,,,,,,,,,,,0.102,0.92,0.718,0.474,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",ARENA RESOURCES INC,,17.098,1.636,0.649,0.582,1.061,1.472,1.096,0.658,0.223,,,,,,,,9
Energy,Energy,"Oil, Gas & Consumable Fuels",ARETE INDUSTRIES INC,,,0,0,5,0,165,0.339,0,0,0,4.072,0.101,0.035,0.078,0.143,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",ARLINGTON TANKERS LTD,,,,0.227,0.536,0,0.342,0,,,,,,,,,,5
Energy,Energy,Energy Equipment & Services,ASPEN AEROGELS INC,,,,,,,,,,,,,,0.046,0.213,0.307,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",ASPEN EXPLORATION CORP -OLD,0.741,0.932,0.491,0.426,0.353,0.301,0.836,0.676,0.309,0.018,,,,,,,,10
Energy,Energy,"Oil, Gas & Consumable Fuels",ASPEN GROUP RESOURCES CORP,0.484,0.232,0.047,0.035,0.058,0.677,0.673,0.298,0.124,,,,,,,,,9
Energy,Energy,"Oil, Gas & Consumable Fuels",ASSURE ENERGY INC,,,,0.804,0.547,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ATHLON ENERGY INC,,,,,,,,,,,,,0.687,0.527,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ATLAS ENERGY GROUP LLC,,,,,0.339,0.3,0.188,0.23,0.186,0.077,0.027,0.218,0.239,0.205,0.178,0.028,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",ATLAS ENERGY INC,,,,0.237,0.289,0.317,0.315,0.395,0.194,0.081,,,,,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ATLAS ENERGY RESOURCES LLC,,,,,,0.42,0.376,0.708,0.201,,,,,,,,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",ATLAS PIPELINE PARTNER LP,0.089,0.11,0.253,0.321,0.339,0.3,0.188,0.23,0.186,0.077,0.027,0.183,0.238,0.205,0.238,,,15
Energy,Energy,"Oil, Gas & Consumable Fuels",ATLAS RESOURCE PARTNERS LP,,,,,,,,,,,,0.093,0.244,0.202,0.1,0.058,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ATP OIL & GAS CORP,1.06,1.117,0.263,0.701,0.463,1.97,0.919,0.775,0.501,0.339,0.241,0.15,,,,,,12
Energy,Energy,Energy Equipment & Services,ATWOOD OCEANICS,0.159,0.481,0.292,0.276,0.015,0.064,0.201,0.209,0.665,0.546,0.158,0.383,0.416,0.294,0.308,0.113,0.054,17
Energy,Energy,"Oil, Gas & Consumable Fuels",AURORA OIL & GAS CORP,0,0,,1.717,2.613,11.997,0.949,0.398,0.059,,,,,,,,,8
Energy,Energy,"Oil, Gas & Consumable Fuels",AUSTRAL PACIFIC ENERGY LTD,,,,,0.307,1.159,1.244,1.07,0,,,,,,,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",AUSTRALIAN OIL & GAS CORP,,0.225,0.35,,,,0,,,,0,0,,,,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",AVALON OIL AND GAS INC,0.101,0.058,0,0,0,,370,1.192,0.113,0,0.021,0,0,0,0.071,,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",AVENEX ENERGY CORP,,,,,,,,,0.154,0.121,0.162,0.192,0.097,,,,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",AVENTINE RENEWABLE ENERGY,,,,,,0.844,1.785,2.034,0.786,0.004,0.135,0.079,,,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",AVIVA PETE INC  -DEP,0.096,0.141,0.385,,,,,,,,,,,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AVOCA INC,0,0,0.422,0,,,,,,,,,,,,,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",AZARGA URANIUM CORP,,,,,,,,,,,,,,,,0.032,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",AZURE MIDSTREAM PARTNERS LP,,,,,,,,,,,,,0.077,0.077,0.058,0.029,,4
Energy,Energy,Energy Equipment & Services,BAKER HUGHES INC,0.298,0.231,0.23,0.299,0.248,0.359,0.68,0.626,0.556,0.383,0.472,0.39,0.392,0.239,0.197,0.106,0.05,17
Energy,Energy,"Oil, Gas & Consumable Fuels",BAKKEN RESOURCES INC,,,,,,,,,,,,,,0,0.61,0.895,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",BARGO ENERGY CO,2.284,,,,,,,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",BARNWELL INDUSTRIES,0.261,0.215,0.227,0.38,0.311,0.349,0.41,0.21,0.185,0.088,0.097,0.302,0.125,0.085,0.086,0.113,0.185,17
Energy,Energy,"Oil, Gas & Consumable Fuels",BARRETT RESOURCES CORP,0.401,,,,,,,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",BASELINE OIL & GAS CORP,,,,,,,,16.72,0.164,,,,,,,,,2
Energy,Energy,Energy Equipment & Services,BASIC ENERGY SERVICES INC,,,,,0.296,0.356,0.338,0.207,0.144,0.059,0.095,0.355,0.2,0.145,0.255,0.053,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",BAYOU CITY EXPLORATION INC,0.265,0.234,0.579,0.237,0.139,3.183,0.542,0.114,0.008,69,2.11,3.713,0.855,,,,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",BAYTEX ENERGY CORP,,,,,,0.206,0.138,0.186,0.175,0.217,0.17,0.26,0.266,0.227,0.3,0.079,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",BELCO OIL & GAS CORP,0.402,,,,,,,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",BELDEN & BLAKE CORP,0.09,0.182,0.169,0.2,0.122,0.057,0.056,0.035,0.045,0.019,0.026,,,,,,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",BELLATRIX EXPLORATION LTD,,,,,,,,,,,,0.408,0.366,0.453,0.466,0.065,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",BERRY PETROLEUM  -CL A,0.152,0.085,0.179,0.395,0.254,0.717,0.984,0.316,0.836,0.066,0.306,0.258,0.298,,,,,13
Energy,Energy,"Oil, Gas & Consumable Fuels",BG GROUP PLC  -ADR,0.062,0.195,0.253,0.173,0.187,0.209,0.269,0.292,0.277,0.424,0.386,0.364,0.267,0.241,0.202,0.156,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",BIG WEST OIL PARTNRS LP-REDH,,,,,,,0.68,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",BILL BARRETT CORP,,,,,1.065,0.577,0.592,0.404,0.479,0.291,0.271,0.529,0.401,0.171,0.265,0.186,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",BIOFUEL ENERGY CORP,,,,,,,,2.274,0.147,0.047,0.016,0.011,0.004,0.012,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",BIOPOWER OPERATIONS CORP,,,,,,,,,,,,,0,0.842,0.172,0.429,,4
Energy,Energy,Energy Equipment & Services,BJ SERVICES CO,0.122,0.313,0.265,0.209,0.236,0.354,0.423,0.54,0.309,0.17,,,,,,,,10
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACK RAVEN ENERGY INC,,,,0.012,0.066,0.243,3.008,0.26,0.083,0.031,0.031,,,,,,,8
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACK RIDGE OIL & GAS INC,,,,,,,,,,,,,1.048,0.831,0.34,0.22,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACK STONE MINERALS LP,,,,,,,,,,,,,,,0.092,0.098,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACKBIRD ENERGY INC,,,,,,,,,,,,,,0.352,0.247,1.993,0.661,4
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACKSANDS PETROLEUM INC,,,,,,,,,,,,1.66,0.399,0.09,1.772,,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",BLACKWATER MIDSTREAM CORP,,,,,,,,,,,0.216,0.106,,,,,,2
