GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Financials,Insurance,Insurance,1347 PROPERTY INS HLDGS INC,,,,,,,,,,,,,,,,0.203,,1
Financials,Diversified Financials,Capital Markets,1ST PRESTIGE WEALTH MGMT INC,,,0,0,0.6,0,156,,,,,,,,,,,5
Financials,Insurance,Insurance,21ST CENTURY INS GROUP,0.745,0.444,0.107,0.166,0.281,0.243,0.197,,,,,,,,,,,7
Financials,Diversified Financials,Capital Markets,21ST CENTURY TECHNOLOGIES,,,0.01,0,,,,,,,,,,,,,,2
Financials,Diversified Financials,Capital Markets,A B WATLEY GROUP INC,0.805,0.095,0.018,0.022,0,,,,,,,,,,,,,5
Financials,Diversified Financials,Diversified Financial Services,A-MARK PRECIOUS METALS INC,,,,,,,,,,,,,,0.409,0.833,1.063,0.514,4
Financials,Not Assigned,Real Estate Investment Trusts (REITs) - Discontinued Effective 08/31/2016,AAMES INVESTMENT CORP,0.197,0.48,0.378,0.194,0.437,0.613,,,,,,,,,,,,6
Financials,Not Assigned,Real Estate,AAMES INVESTMENT CORP-OLD,,,,,0.437,,,,,,,,,,,,,1
Financials,Insurance,Insurance,ACCEPTANCE INSURANCE COS INC,0,0,0,0,,,,,,,,,,,,,,4
Financials,Banks,Thrifts & Mortgage Finance,ACCREDITED HOME LENDERS HLDG,,0.778,1.586,1.917,1.174,0.466,0.892,,,,,,,,,,,6
Financials,Diversified Financials,Consumer Finance,ACE CASH EXPRESS INC,0.403,0.343,0.182,0.128,0.246,0.617,0.482,,,,,,,,,,,7
Financials,Insurance,Insurance,ACMAT CORP  -CL A,0.043,0.033,0.018,0.016,0.028,0.04,0.022,0.016,0.068,0.028,0.165,0.21,2.348,0.022,0.016,0.011,,16
Financials,Diversified Financials,Diversified Financial Services,ACTRADE FINL TECHNOLGIES LTD,1.449,0.408,,,,,,,,,,,,,,,,2
Financials,Banks,Thrifts & Mortgage Finance,ADFITECH INC,,,,,,,,,,,,,,,0.003,,,1
Financials,Diversified Financials,Consumer Finance,ADVANCE AMER CASH ADVANCE CT,,,,0.48,0.553,0.262,0.272,0.264,0.169,0.105,0.193,0.334,,,,,,9
Financials,Diversified Financials,Consumer Finance,ADVANTA CORP  -CL B,0.203,0.294,0.321,0.116,0.293,0.338,0.33,0.375,0.45,,,,,,,,,9
Financials,Diversified Financials,Diversified Financial Services,ADVEST GROUP INC,0.461,,,,,,,,,,,,,,,,,1
Financials,Insurance,Insurance,AEGON NV  -ADR,0.92,0.724,0.533,0.297,0.825,0,0.256,0.352,0.401,0.385,0.196,0.123,0.118,0.131,0.139,0.159,,16
Financials,Diversified Financials,Diversified Financial Services,AF OCEAN INVESTMENT MGMT CO,,,,,,,,,,,,,,,0.167,0,,2
Financials,Diversified Financials,Capital Markets,AFFILIATED MANAGERS GRP INC,0.506,0.471,0.346,1.242,0.189,0.355,0.425,0.263,0.137,0.036,0.14,0.238,0.289,0.294,0.208,0.4,,16
Financials,Insurance,Insurance,AFFIRMATIVE INS HOLDINGS INC,,,,0.491,0.518,0.62,1.835,2.029,0.687,0.216,0.157,0.069,0.045,0.041,0.026,,,12
Financials,Insurance,Insurance,AFLAC INC,0.051,0.094,0.055,0.044,0.041,0.031,0.051,0.1,0.099,0,0,0,0,0,0,0,,16
Financials,Diversified Financials,Capital Markets,AFP PROVIDA SA  -ADR,0.041,0.096,0.018,0.058,0.008,0.002,0.038,0.034,0.041,0.13,0.127,0.114,0.171,0.067,,,,14
Financials,Diversified Financials,Diversified Financial Services,AGILITY CAPITAL INC,0,,,,,,,,,,,,,,,,,1
Financials,Insurance,Insurance,ALLEGHANY CORP,0.074,0.073,0.082,0.081,0.093,0.057,0.247,0.296,0.454,0.238,0.329,0.329,0.454,0.511,0.741,0.307,,16
Financials,Diversified Financials,Capital Markets,ALLIANCEBERNSTEIN LP,,,,,,,,,,,,0.128,0.079,0.11,0.146,0.188,,5
Financials,Insurance,Insurance,ALLIANZ SE  -ADR,0,0,0,0,0,0,0.306,0.124,0.139,0.218,0.233,0.189,0.265,0.233,0.221,0.244,,16
Financials,Insurance,Insurance,ALLSTATE CORP,0.328,0.186,0.243,0.171,0.191,0.193,0.155,0.271,0.274,0.178,0.164,0.267,0.312,0.209,0.281,0.294,,16
Financials,Diversified Financials,Consumer Finance,ALLY FINANCIAL INC,0.494,0.42,0.621,0.453,0.509,0.545,0.552,0.697,0.32,0.027,0.217,0.687,0.772,0.665,0.552,0.237,,16
Financials,Insurance,Insurance,ALPHASTAR INSURANCE GRP LTD,0.285,0.194,,,,,,,,,,,,,,,,2
Financials,Insurance,Insurance,AMCOMP INC,,,,,0.514,0.331,0.675,0.509,,,,,,,,,,4
Financials,Banks,Thrifts & Mortgage Finance,AMER BUSINESS FINL SVCS INC,1.08,0.519,0.216,0.675,0.424,,,,,,,,,,,,,5
Financials,Insurance,Insurance,AMER COUNTRY HOLDINGS INC,0,0,,,,,,,,,,,,,,,,2
