GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Health Care,Health Care Equipment & Services,Health Care Providers & Services,21ST CENTURY ONCOLOGY HLDGS,,,,,0.258,0.239,0.173,,,0.127,0.146,0.154,0.123,0.172,0.218,0.14,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,24/7 KID DOC INC,,0.162,0.037,0.009,0.072,0.025,0.511,0.842,0.73,0.159,0.094,0.013,0.126,0.06,0.002,,,14
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,3-DIMENSIONAL PHARMACEUTICAL,0.804,1.65,,,,,,,,,,,,,,,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,3SBIO INC -ADR,,,,,,,,0.29,0.749,1.201,0.256,0.183,0.235,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,4-D NEUROIMAGING,0.386,0.196,0.227,0.038,,,,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Technology,A D A M INC,0.237,0.084,0.109,0.376,0.546,1.109,0.698,0.442,1.78,0.264,,,,,,,,10
Health Care,Health Care Equipment & Services,Health Care Providers & Services,AAC HOLDINGS INC,,,,,,,,,,,,,,0.847,0.421,1.047,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,AAIPHARMA INC,0.102,0.15,0.612,0.224,0.095,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABAXIS INC,1.501,0.092,0.129,0.149,0.313,0.373,0.291,0.286,0.182,0.231,0.446,0.39,0.232,0.219,0.224,0.19,,16
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABBOTT LABORATORIES,,,0.234,0.214,0.206,0.201,0.223,0.238,0.171,0.151,0.133,0.187,0.228,0.142,0.182,0.187,,14
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABBVIE INC,,,,,,,,,,,,0.151,0.155,0.219,0.266,0.214,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABEONA THERAPEUTICS INC,0.667,3.612,0.845,0.623,0.22,0.027,0.01,0.085,0.215,0.023,0.14,1.25,0.255,0.286,0,77,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABGENIX INC,2.605,3.981,1.977,0.125,0.035,0.031,,,,,,,,,,,,6
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ABIOMED INC,0.647,0.342,0.178,0.107,0.218,1.045,0.492,0.652,0.497,0.231,0.267,0.278,0.445,0.422,0.753,1.712,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ABLE LABORATORIES INC,0.129,0.419,1.418,1.112,1.281,,,,,,,,,,,,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABRAXIS BIOSCIENCE INC,,,,,,,1.091,0.349,0.301,0.567,,,,,,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ABVIVA INC,1.167,2.03,0.021,0.083,0.467,0,0.25,0,,,,,,,,,,8
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AC IMMUNE SA,,,,,,,,,,,,,,,,0.446,,1
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACACIA DIVERSIFIED HLDGS INC,,,,,,,,4.893,0.291,0.14,0.072,0,0.396,0,0.157,0.074,,9
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACADIA HEALTHCARE CO INC,,,,,,,,,,,,0.974,0.973,0.325,0.369,0.283,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACADIA PHARMACEUTICALS INC,,,,0.735,0.188,0.401,0.887,0.119,0.074,0.019,0,0.007,,14.714,0.311,3.872,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACAMBIS PLC  -ADR,0.073,2.573,1.035,0.333,0.184,0.19,,,,,,,,,,,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACASTI PHARMA INC,,,,,,,,,,,,0,0,1.278,0.8,3.643,,5
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,ACCELERATE DIAGNOSTICS INC,0.027,0.383,0.22,1.416,0.901,0.387,0.126,0,1.103,1.892,3.267,18.75,24,289.25,1.846,1.442,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCELERON PHARMA INC,,,,,,,,,,,,,0.09,0.076,0.139,0.311,,4
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCELLENT INC,,,,,,,,,,0.129,0.22,0.255,0.142,,,,,4
Health Care,Health Care Equipment & Services,Health Care Technology,ACCELPATH INC,,,,,,,,,,,,,2.182,0.431,0,,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACCENTIA BIOPHARMACEUTICALS,,,,,,0.239,0.361,0.539,0.05,0,0.217,5.556,0.123,,,,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESS PLANS USA INC,,5.007,0.811,0.242,0.221,0.169,0.754,0.33,,,,,,,,,,7
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCESSITY CORP,0.599,0.263,0.704,0.056,0.009,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCLARENT INC -REDH,,,,,,,,0.651,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCREDO HEALTH INC,1.472,0.377,1.081,0.673,0.621,,,,,,,,,,,,,5
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACCRETIVE HEALTH INC,,,,,,,,,,0.882,1.165,0.616,0.421,0.088,0.371,1.458,,7
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCUMED INTERNATIONAL INC,0.04,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACCURAY INC,,,,,,,1.049,0.329,0.21,0.247,0.341,0.274,0.24,0.404,0.344,0.304,0.253,11
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACELITY HOLDINGS INC -REDH,0.428,0.581,0.606,0.723,0.642,0.515,0.479,0.441,0.575,0.34,0.29,,,,,,,11
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACELRX PHARMACEUTICALS INC,,,,,,,,,,0.079,0.003,2.524,0.358,1.323,1.063,0.148,,7
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ACETO CORP,2.002,1.012,0.252,0.243,0.31,1.347,0.099,0.146,0.272,0.129,0.932,0.785,0.091,0.087,0.1,0.053,0.108,17
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACHAOGEN INC,,,,,,,,,,,,,,0.082,0.458,0.836,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACHILLION PHARMACEUTICALS,,,,,,0.031,0.19,0.631,0.031,0.024,0.193,1.564,0.66,0.327,0.749,0.408,,11
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACLARA BIOSCIENCES INC,0.464,0.609,0.261,0.102,,,,,,,,,,,,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACLARIS THERAPEUTICS INC,,,,,,,,,,,,,,,21.947,0.984,,2
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACORDA THERAPEUTICS INC,,,,,0.172,0.079,0.309,1.092,1.093,0.489,1.293,0.684,2.692,0.242,0.308,0.128,,12
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ACTINIUM PHARMACEUTICALS INC,,,,,,,,,,,,,,5.667,10.786,0.375,,3
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ACTIVECARE INC,,,,,,,,,,,,,,0.838,0.123,0.068,0.037,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACURA PHARMACEUTICALS INC,0.983,0.29,0.048,0.076,0.131,0.023,0.063,0.027,0.137,0.205,0.035,0.125,0.141,0.022,0.143,0.224,,16
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ACUSPHERE INC,,,0.179,0.192,6.019,2.563,0.026,0.031,,,,,,,,,,6
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAMAS PHARMACEUTICALS INC,,,,,,,,,,,,,,1.687,6.457,1.139,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMIS PHARMACEUTICALS CORP,,,,,,,,,,,0,,,,0,0,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,ADAMS RESPIRATORY THERAPTCS,,,,,0.129,3.355,3.539,2.073,,,,,,,,,,4
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADAPTIMMUNE THERAPEUTCS -ADR,,,,,,,,,,,,,,,6.967,3.411,,2
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADCARE HEALTH SYSTEMS INC,,,,,,,0.036,0.076,0.033,0.034,0.069,0.119,0.055,0.03,0.024,0.013,,10
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADDISON-DAVIS DIAGNOSTICS,,0,0,,0.233,0,,,,,,,,,,,,4
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADDUS HOMECARE CORP,,,,,,,,,0.103,0.196,0.195,0.189,0.447,0.356,2.434,0.288,,8
Health Care,Health Care Equipment & Services,Health Care Providers & Services,ADEPTUS HEALTH INC,,,,,,,,,,,,,,2.323,0.764,0.079,,3
Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ADERIS PHARMACEUTICALS INC,1.526,,,,,,,,,,,,,,,,,1
Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,ADEZA BIOMEDICAL CORP,,,,0.496,0.571,0.836,0.799,,,,,,,,,,,4
