GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Industrials,Capital Goods,Construction & Engineering,180 CONNECT INC,,,,,,1.907,0.066,0.097,,,,,,,,,,3
Industrials,Commercial & Professional Services,Commercial Services & Supplies,3CI COMPLETE COMPLIANCE CORP,0.046,0.021,0.02,0.07,0.111,0.101,,,,,,,,,,,,6
Industrials,Capital Goods,Industrial Conglomerates,3M CO,0.197,0.168,0.136,0.12,0.167,0.165,0.209,0.241,0.223,0.131,0.156,0.189,0.194,0.199,0.173,0.172,0.167,17
Industrials,Commercial & Professional Services,Professional Services,51JOB INC  -ADR,,,,,0.673,2.089,4.917,0.178,0.126,0.14,0.132,0.305,0.719,0.814,0.063,0.159,,12
Industrials,Commercial & Professional Services,Professional Services,A CLEAN SLATE INC -OLD,0.41,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,A NOVO BROADBAND INC,0.528,3.36,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Machinery,A S V INC,0.057,0.125,0.159,0.342,0.759,1.072,0.54,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,A-POWER ENERGY GENERATN SYS,,,,,,,,,,0.731,,,,,,,,1
Industrials,Capital Goods,Electrical Equipment,A123 SYSTEMS INC,,,,,,,,,1.398,0.748,2.473,0.856,,,,,,4
Industrials,Commercial & Professional Services,Professional Services,AAMPRO GROUP INC,,,,0.656,0.103,0.139,0,,,,,,,,,,,4
Industrials,Capital Goods,Building Products,AAON INC,0.484,0.306,0.18,0.219,0.453,0.206,0.352,0.184,0.158,0.161,0.292,0.533,0.151,0.1,0.185,0.228,,16
Industrials,Capital Goods,Aerospace & Defense,AAR CORP,0.119,0.111,0.097,0.062,0.078,0.117,0.14,0.117,0.089,0.117,0.373,0.218,0.082,0.062,0.112,0.3,,16
Industrials,Capital Goods,Trading Companies & Distributors,ABATIX CORP,0.757,0.865,0.73,0.577,0.122,0.488,0.943,0.208,0.286,0.196,,,,,,,,10
Industrials,Capital Goods,Electrical Equipment,ABB LTD  -ADR,0.157,0.235,0.2,0.196,0.191,0.153,0.209,0.269,0.361,0.271,0.206,0.234,0.263,0.186,0.164,0.155,,16
Industrials,Capital Goods,Machinery,ABC DISPENSING TECHNOLOGIES,0.003,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Machinery,ABC-NACO INC,0.093,,,,,,,,,,,,,,,,,1
Industrials,Capital Goods,Construction & Engineering,ABENGOA SA  -ADR,,,,,,,,,,,,,,,0.011,0.012,,2
Industrials,Capital Goods,Aerospace & Defense,ABILITY INC,,,,,,,,,,,,,,,,0.496,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEAUCTIONS.COM INC,0.274,0.046,0.016,0.024,0.676,4.269,0.01,0.012,0.007,,,,,,,,,9
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABLEST INC,0.47,0.337,0.125,0.341,0.572,2.812,1.242,,,,,,,,,,,7
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABM INDUSTRIES INC,0.532,0.415,0.174,0.32,0.382,0.566,0.41,0.685,0.875,0.304,0.421,0.381,0.467,0.544,0.484,0.318,0.595,17
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ABTECH HOLDINGS INC,,,,,,,,,,,,0.182,0.755,0.233,0.41,0.105,,5
Industrials,Commercial & Professional Services,Professional Services,ACACIA RESEARCH CORP,2.146,1.013,0.016,0.017,1.141,0.721,1.479,1.009,0.087,0.303,0.356,1.407,1.218,1.991,0.142,0.016,,16
Industrials,Capital Goods,Construction & Engineering,ACCELERATED BUILDING CONCEPT,0.509,0.014,,,,,,,,,,,,,,,,2
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS TO MONEY INC,0.466,0.03,0.046,0.028,0.178,0.209,0.098,0.005,-0.011,0.629,0.299,,,,,,,11
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCESS WORLDWIDE CMMNCTNS,0.299,0.237,0.132,0.122,0.215,0.787,0.112,0.431,,,,,,,,,,8
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCO BRANDS CORP,,,,,0.162,0.219,0.138,0.272,0.183,0.053,0.07,0.083,0.206,0.134,0.117,0.117,,12
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACCUFACTS PRE-EMPLOYMENT SCR,2.665,0.23,0.089,0.184,0.545,0.362,,,,,,,,,,,,6
Industrials,Capital Goods,Machinery,ACCURIDE CORP,0.243,0.078,0.086,0.096,0.128,0.195,0.133,0.121,0.106,0.079,0.077,0.242,0.218,0.145,0.117,0.106,,16
Industrials,Transportation,Road & Rail,ACF INDUSTRIES HOLDING CORP,0.151,0.102,0.072,0.143,,,,,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACG HOLDINGS INC,0.14,0.129,0.227,0.103,0.057,0.128,0.145,,,,,,,,,,,7
Industrials,Capital Goods,Electrical Equipment,ACME ELECTRIC CORP,0.166,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACME UNITED CORP,0.115,0.099,0.215,0.186,0.186,0.624,0.203,0.265,0.3,0.25,0.449,0.425,0.272,1.952,0.344,0.253,,16
Industrials,Capital Goods,Electrical Equipment,ACRODYNE COMMUNICATIONS INC,0.207,0.007,0.007,,,,,,,,,,,,,,,3
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ACT CLEAN TECHNOLOGIES INC,0.802,0.193,0.085,1.17,0.07,0.028,0.306,0.043,,,,,,,,,,8
Industrials,Capital Goods,Machinery,ACTUANT CORP  -CL A,0.042,0.136,0.254,0.344,0.185,0.322,0.235,0.333,0.362,0.159,0.155,0.213,0.177,0.204,0.208,0.133,0.142,17
Industrials,Capital Goods,Electrical Equipment,ACUITY BRANDS INC,,0.194,0.135,0.117,0.242,0.144,0.13,0.175,0.127,0.132,0.15,0.168,0.219,0.292,0.239,0.37,0.479,16
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADECCO SA  -ADR,0.833,0.439,0.251,0.149,0.219,0.228,0.395,,,,,,,,,,,7
Industrials,Capital Goods,Machinery,ADEPT TECHNOLOGY INC,0.424,1.527,0.137,0.065,0.101,0.511,1.525,0.794,0.168,0.225,0.096,0.514,0.631,0.038,0.157,0.491,,16
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADESA INC,,,,,0.043,0.096,0.062,,,,,,,,,,,3
Industrials,Commercial & Professional Services,Professional Services,ADGS ADVISORY INC,,,,,,,,,,,,,,,0.041,,,1
Industrials,Transportation,Transportation Infrastructure,ADMIRALTY HOLDING,,,0,0,448,0.035,,,,,,,,,,,,4
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADS TACTICAL INC  -REDH,,,,,,,,,,0.972,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADT CORP,,,,,,,,,,,,0.177,0.241,0.332,0.332,0.318,,5
Industrials,Capital Goods,Construction & Engineering,ADUDDELL INDUSTRIES INC,,0.052,0.215,0.138,0.246,2.002,3.209,0.073,,,,,,,,,,7
Industrials,Capital Goods,Aerospace & Defense,ADV TECHNICAL PRODUCTS INC,0.042,0.5,,,,,,,,,,,,,,,,2
Industrials,Capital Goods,Electrical Equipment,ADVANCED BATTERY TECH INC,,0,0,0,,0.345,0.009,0.007,0.005,0.401,0.246,,,,,,,10
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANCED DISPOSAL SERVICES,,,,,,,,,,,,,,,,0.108,,1
Industrials,Capital Goods,Building Products,ADVANCED DRAINAGE SYSTEMS,,,,,,,,,,,,,,0.137,0.108,0.119,,3
Industrials,Capital Goods,Building Products,ADVANCED ENVIR RECYCL  -CL A,0.259,0.085,0.422,0.775,0.265,0.232,0.22,0.121,0.166,0.298,0.065,0.068,0.096,0.114,0.073,0.098,,16
Industrials,Capital Goods,Machinery,ADVANCED RECYCLING SCIENCES,,,0.027,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANCED SYSTEMS INTL INC,0.469,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Commercial Services & Supplies,ADVANTAGE PAYROLL SVCS -REDH,0.37,,,,,,,,,,,,,,,,,1
Industrials,Commercial & Professional Services,Professional Services,ADVISORY BOARD CO,1.008,0.161,0.127,1.807,0.618,0.235,1.166,0.52,0.612,0.053,0.465,0.989,0.716,0.619,0.47,0.392,,16
