GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,1MAGE SOFTWARE INC,0.203,0.545,0.103,5.327,0.116,,,,,,,,,,,,,5
Information Technology,Software & Services,Internet Software & Services,21VIANET GROUP INC  -ADR,,,,,,,,,,,,1.361,0.994,0.524,0.557,0.332,,5
Information Technology,Software & Services,Internet Software & Services,24/7 REAL MEDIA INC,1.52,0.049,0.207,0.314,0.948,1.306,0.457,,,,,,,,,,,7
Information Technology,Software & Services,Internet Software & Services,2U INC,,,,,,,,,,,,,,0.486,0.727,0.606,,3
Information Technology,Software & Services,Internet Software & Services,30DC INC,,,,,,,,,,,,,0.083,0.353,0.478,0.263,,4
Information Technology,Technology Hardware & Equipment,Communications Equipment,3COM CORP,0.271,0.577,0.038,0.064,0.292,0.25,0.318,0.234,0.305,,,,,,,,,9
Information Technology,Technology Hardware & Equipment,Semiconductor Equipment & Products,3D LABS INC LTD,0.907,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3D SYSTEMS CORP,0.301,0.252,0.18,0.057,0.068,0.274,0.83,0.04,0.272,0.04,0.052,0.104,0.109,0.203,0.503,0.274,,16
Information Technology,Software & Services,Software,3DO CO,2.094,0.132,,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Internet Software & Services,3DSHOPPING .COM,3.132,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3PAR INC,,,,,,,1.855,1.872,0.989,0.454,,,,,,,,4
Information Technology,Software & Services,Internet Software & Services,58.COM INC  -ADR,,,,,,,,,,,,,0.814,0.526,5.053,10.919,,4
Information Technology,Software & Services,Software,5B TECHNOLOGIES CORP,0.022,,,,,,,,,,,,,,,,,1
Information Technology,Technology Hardware & Equipment,Communications Equipment,5BARZ INTERNATIONAL INC,,,,,,,,,,,,,,12.4,0.513,0.088,,3
Information Technology,Software & Services,IT Services,6D GLOBAL TECHNOLOGIES,,,,,,,,,,1.201,2.474,0.095,0.002,0.004,0.001,1.677,,7
