GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Materials,Materials,Metals & Mining,37 CAPITAL INC,0.405,0,0,0,0,6.343,0.134,0.242,0.047,0.351,0,0,,,,,,12
Materials,Materials,Metals & Mining,3DX INDUSTRIES INC,,,,,,,,,,,,,,,0.145,,,1
Materials,Materials,Chemicals,ABAKAN INC,,,,,,,,,,,,,,0.118,0.085,,,2
Materials,Materials,Paper & Forest Products,ABITIBI CONSOLIDATED INC,0.104,0.055,0.026,0.045,0.064,0.031,0.039,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ACINDAR INDUSTRIA ARGENT-ADR,,0.01,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ACME METALS INC,0.028,,,,,,,,,,,,,,,,,1
Materials,Materials,Containers & Packaging,ACOLOGY INC,,,,,,,,,,,,,,,,1.5,,1
Materials,Materials,Metals & Mining,ADAL GROUP INC,,,,,,0.246,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ADEX MINING INC,,,,,,,,,,,,0.312,0.059,0.065,0.065,0.043,,5
Materials,Materials,Chemicals,ADM TRONICS UNLIMITED INC/DE,0.002,0.013,0,0,0.249,0.239,0.52,0.789,0.273,0,0,0.048,0,0,0,9,,16
Materials,Materials,Chemicals,ADVANCED EMISSIONS SOLUTIONS,,,,1.368,0.461,0.833,2.202,10.188,13.691,0.008,3.442,7.03,0.292,,,,,10
Materials,Materials,Chemicals,ADVANCED MATERIALS GROUP INC,0.442,0.188,0.214,0.016,0.152,0.1,0.098,1.053,0.16,,,,,,,,,9
Materials,Materials,Chemicals,ADVANSIX INC,,,,,,,,,,,,,,,,0.207,,1
Materials,Materials,Containers & Packaging,AEP INDUSTRIES INC,0.08,0.11,0.118,0.081,0.082,0.075,0.323,0.112,0.212,0.145,0.09,0.086,0.248,0.238,0.12,0.056,0.082,17
Materials,Materials,Metals & Mining,AFRICAN GOLD GROUP INC,,,,,,,,,,,,,,0.054,0.049,0.066,,3
Materials,Materials,Metals & Mining,AGNICO EAGLE MINES LTD,0.311,0.128,0.213,0.119,0.133,0.165,0.275,0.594,0.431,0.219,0.143,0.106,0.114,0.142,0.117,0.085,,16
Materials,Materials,Chemicals,AGRAQUEST INC,1.134,,,,,,,,,,,,,,,,,1
Materials,Materials,Chemicals,AGRIUM INC,0.156,0.111,0.035,0.071,0.065,0.141,0.162,0.341,0.284,0.154,0.247,0.316,0.506,0.475,0.407,0.189,,16
Materials,Materials,Chemicals,AIR LIQUIDE SA  -ADR,,0.107,0.108,0.146,0.159,0.123,0.154,0.188,0.217,0.153,0.135,0.155,0.169,0.176,0.126,0.125,,15
Materials,Materials,Containers & Packaging,AIR PACKAGING TECHNOLOGY INC,0.254,0.399,,,,,,,,,,,,,,,,2
Materials,Materials,Chemicals,AIR PRODUCTS & CHEMICALS INC,0.148,0.135,0.123,0.114,0.125,0.163,0.215,0.171,0.16,0.178,0.15,0.192,0.205,0.185,0.188,0.169,0.11,17
Materials,Materials,Chemicals,AIRGAS INC,0.087,0.083,0.076,0.108,0.162,0.169,0.174,0.143,0.16,0.107,0.105,0.145,0.124,0.132,0.167,0.155,,16
Materials,Materials,Metals & Mining,AK STEEL HOLDING CORP,0.046,0.038,0.034,0.03,0.041,0.075,0.034,0.049,0.104,0.065,0.135,0.146,0.03,0.032,0.043,0.045,0.061,17
Materials,Materials,Chemicals,AKZO NOBEL NV  -ADR,0.153,0.173,0.178,0.159,0.149,0.127,0.172,0.119,0.231,0.164,0.142,0.205,0.227,0.186,0.144,0.152,,16
Materials,Materials,Metals & Mining,ALAMOS GOLD INC,,,0.046,0.151,0.542,0.848,0.852,0.128,0.117,0.129,0.171,0.405,0.182,0.159,0.113,0.1,,14
Materials,Materials,Metals & Mining,ALAMOS GOLD INC -OLD,,,,,,,,,,,,0.261,0.177,0.178,0.139,,,4
Materials,Materials,Chemicals,ALBEMARLE CORP,0.105,0.102,0.072,0.079,0.109,0.078,0.103,0.101,0.096,0.1,0.074,0.189,0.249,0.12,0.081,0.185,,16
Materials,Materials,Metals & Mining,ALCAN INC,0.232,0.111,0.073,0.087,0.086,0.138,0.189,,,,,,,,,,,7
Materials,Materials,Metals & Mining,ALCOA CORP,,,,,,,,,,,,,,,,0.035,0.043,2
Materials,Materials,Metals & Mining,ALDERON IRON ORE CORP,,,,,,,,,,,,0.001,0.002,0.414,0.298,0.004,,5
Materials,Materials,Chemicals,ALDEROX INC,3.517,0,2.818,1.842,0.011,0.417,0.151,0.333,,,,,,,,,,8
Materials,Materials,Metals & Mining,ALERIS CORP,0.198,0.05,0.103,0.111,0.204,0.144,,,,,0.125,0.401,0.582,0.221,0.142,0.333,,12
Materials,Materials,Metals & Mining,ALEXCO RESOURCE CORP,,,,,,,0.64,0.734,0.511,0.457,0.393,0.606,0.233,0.131,0.059,0.023,,10
Materials,Materials,Metals & Mining,ALHAMBRA RESOURCES LTD,,,,,,,,,,,,,,0.002,,,,1
Materials,Materials,Metals & Mining,ALLEGHENY TECHNOLOGIES INC,0.066,0.119,0.059,0.098,0.07,0.125,0.334,0.516,0.416,0.254,0.115,0.14,0.161,0.239,0.079,0.049,0.069,17
Materials,Materials,Paper & Forest Products,ALLIANCE FOREST PRODS INC,0.158,,,,,,,,,,,,,,,,,1
Materials,Materials,Metals & Mining,ALLOY STEEL INTL INC,,0.468,0.221,0.023,0.07,0.103,0.07,0.268,0.244,0.116,0.962,0.394,0.48,0.128,,,,13
Materials,Materials,Metals & Mining,ALLOYCORP MINING INC,,,,,,,,,,,,0.325,0.119,0.13,0.401,0.004,,5
Materials,Materials,Metals & Mining,ALMADEN MINERALS LTD,,,,,0.367,0.466,0.508,0.606,0.337,0.145,0.673,1.277,0.68,0.436,0.244,0.104,,12
Materials,Materials,Metals & Mining,ALTAN RIO MINERALS LTD,,,,,,,,,,,,,,0.114,0.088,0.013,,3
Materials,Materials,Chemicals,ALTANA AG  -ADR,,0.471,0.458,0.517,0.354,0.282,0.2,0.199,0.196,0.095,,,,,,,,9
