GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Real Estate Management & Development,ADVANCED OXYGEN TECHNOLOGY,0,0,,,0.357,0,,0,0,0,0,0,0,0,0,0,0,14
Real Estate,Real Estate,Real Estate Management & Development,ALEXANDER & BALDWIN INC,,,,,,,,,,,,,0.047,0.514,0.049,0.029,,4
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ALEXANDRIA R E EQUITIES INC,,,,,,,,,,,,,,,,0,,1
Real Estate,Real Estate,Real Estate Management & Development,ALON BLUE SQUARE ISRAEL -ADR,0.162,0.125,0.108,0.068,0.043,0.042,0.063,0.113,0.115,0.121,0.117,0.083,0.07,0.052,0.079,0.046,,16
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE ASSET MGMT CORP,,,,,,,,,,,,,,,1.304,0.277,,2
Real Estate,Real Estate,Real Estate Management & Development,ALTISOURCE PORTFOLIO SOLTNS,,,,,,,,,0.428,0.81,1.018,0.94,1.389,0.677,0.743,0.283,,8
Real Estate,Real Estate,Real Estate Management & Development,AMBASE CORP,,,,0.002,0,0,0,0,0,0,0,0,0,0,0,0,,13
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN CAMPUS COMMUNITIES,,,,0.092,0.002,,,,,,,,,,,,,2
Real Estate,Real Estate,Real Estate Management & Development,AMERICAN REALTY INVESTORS,0.09,,,,,,,,,0.038,0.04,0.041,0.017,0.01,0.14,0.342,,8
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),AMERICAN TOWER CORP,0.503,0.247,0.055,0.023,0.017,0.039,0.037,0.048,0.08,0.083,0.109,0.144,0.116,0.125,0.134,0.096,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BEHRINGER HARVARD OPP REIT I,,,,,,,,,,0.609,0.429,0.84,0.55,1.03,5.488,13.888,,7
Real Estate,Real Estate,Real Estate Management & Development,BLUE RIDGE REAL ESTATE CO,0.093,,0.164,0.175,0.931,0.044,0.362,0.025,0.008,0.001,0.026,0.008,0.002,0.002,0.009,0.016,,15
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BOARDWALK REAL ESTATE TRUST,,0.058,0.105,0.091,0.045,0.08,0.069,0.244,0.052,0.038,0.035,0.035,0.019,0.001,0.279,0.272,,15
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BRANDYWINE REALTY TRUST,,,,,,0,0,0,0,0,0,0,0,0,,,,9
Real Estate,Real Estate,Real Estate Management & Development,BRESLER & REINER INC,0,,0.119,0.643,0.631,0.273,0.345,0.169,0.024,,,,,,,,,8
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BRIXMOR PROPERTY GROUP INC,,,,,,,,,,,,,,,0,0,,2
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BROOKFIELD CDA OFFICE PPTYS,,,,,,,,,,,0,,,,,,,1
Real Estate,Real Estate,Real Estate Management & Development,BROOKFIELD PROPERTY PRTRS LP,,,,,,,,,,,,0.068,0.102,0.091,0.147,0.183,,5
Real Estate,Real Estate,Real Estate Management & Development,CAL-BAY INTERNATIONAL INC,,,0.2,0.111,0,-4.545,,,,,0,0,,,,,,6
