GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,360NETWORKS INC,6.513,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ABOVENET INC,2.171,,,,,,,0.303,0.337,0.298,0.289,0.273,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ADELPHIA BUSINESS SOLUTIONS,0.755,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,AIRGATE PCS INC,3.447,0.388,0.464,0.065,0.079,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALAMOSA HOLDINGS INC,1.616,0.628,0.196,0.084,0.193,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALASKA COMMUNICATIONS SYS GP,0.154,0.19,0.14,0.104,0.117,0.142,0.151,0.16,0.312,0.123,0.091,0.116,0.14,0.113,0.138,0.132,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLEGIANCE TELECOM INC,1.18,0.489,0.128,0.024,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLIED RISER COMMUNICATIONS,1.714,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLSTREAM INC -CL B,0.235,0.153,0.066,0.078,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,ALLTEL CORP,0.203,0.188,0.176,0.148,0.148,0.173,0.144,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALLTEL PENNSYLVANIA INC,0.096,0.104,0.093,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ALTEVA INC,0.184,0.319,0.24,0.158,0.119,0.062,0.122,0.106,0.1,0.049,0.041,0.088,0.159,0.033,0.02,,,15
