GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Utilities,Utilities,Independent Power and Renewable Electricity Producers,808 RENEWABLE ENERGY CORP,,,,,,,,,,,,,,,0.006,0,,2
Utilities,Utilities,Independent Power and Renewable Electricity Producers,8POINT3 ENERGY PARTNERS LP,,,,,,,,,,,,,,,0.585,1.414,,2
Utilities,Utilities,Multi-Utilities,AEI,,,,,,,,,0.123,0.125,,,,,,,,2
Utilities,Utilities,Electric Utilities,AEP GENERATING CO,0.015,0.021,0.017,0.075,0.049,0.047,0.033,0.14,0.161,0.075,0.02,0.146,0.083,0.094,0.094,0.125,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS CENTRAL CO,0.061,0.059,0.046,0.044,0.07,0.101,0.134,0.099,0.115,0.069,0.07,0.08,0.102,0.127,0.145,0.126,,16
Utilities,Utilities,Electric Utilities,AEP TEXAS NORTH CO,0.094,0.056,0.061,0.069,0.047,0.081,0.087,0.105,0.149,0.095,0.071,0.076,0.087,0.097,0.107,0.124,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AES CORP,0.16,0.178,0.09,0.065,0.048,0.063,0.078,0.141,0.142,0.118,0.095,0.099,0.087,0.077,0.08,0.092,,16
Utilities,Utilities,Gas Utilities,ALABAMA GAS CORP,0.207,0.151,0.169,0.135,0.105,0.127,0.126,0.091,0.095,0.112,0.128,0.094,0.086,0.102,0.052,0.095,0.1,17
Utilities,Utilities,Electric Utilities,ALABAMA POWER CO,0.113,0.078,0.076,0.076,0.082,0.085,0.088,0.105,0.125,0.097,0.067,0.07,0.061,0.077,0.097,0.086,,16
Utilities,Utilities,Water Utilities,ALANCO TECHNOLOGIES INC,0.401,0.234,0.351,0.108,0.09,0.617,0.259,1.02,0.677,1.159,0.089,0.167,251,0.273,0.038,0.095,0.003,17
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALGONQUIN POWER & UTIL CORP,,,,,,,,,,,,,,,,0.052,,1
Utilities,Utilities,Electric Utilities,ALLEGHENY ENERGY INC,0.077,0.084,0.059,0.037,0.036,0.049,0.071,0.13,0.138,0.146,0.106,,,,,,,11
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALLEGHENY ENRG SUPPLY CO LLC,,,,0.028,0.025,0.037,0.066,0.148,0.113,0.07,0.041,0.048,0.032,0.036,0.03,0.032,,13
Utilities,Utilities,Independent Power and Renewable Electricity Producers,ALLEGHENY GENERATING CO,0.002,0.004,0.002,0.016,0.017,0.024,0.008,,,,,,,,,,,7
Utilities,Utilities,Electric Utilities,ALLETE INC,0.134,0.103,0.155,0.133,0.042,0.066,0.119,0.228,0.273,0.23,0.153,0.132,0.205,0.14,0.222,0.087,,16
Utilities,Utilities,Electric Utilities,ALLIANT ENERGY CORP,0.097,0.108,0.133,0.182,0.122,0.098,0.082,0.118,0.203,0.24,0.146,0.104,0.175,0.108,0.115,0.123,,16
Utilities,Utilities,Multi-Utilities,AMEREN CORP,0.131,0.144,0.095,0.079,0.078,0.072,0.076,0.101,0.137,0.108,0.064,0.061,0.073,0.088,0.115,0.113,,16
Utilities,Utilities,Multi-Utilities,AMEREN ILLINOIS CO,0.028,0.061,0.071,0.06,0.048,0.067,0.073,0.068,0.082,0.091,0.226,0.077,0.093,0.139,0.149,0.149,,16
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERENENERGY GENERATING CO,,,0.292,0.033,0.028,0.043,0.056,0.124,0.188,0.142,0.044,0.063,0.078,0.025,0.026,0.031,,14
Utilities,Utilities,Independent Power and Renewable Electricity Producers,AMERICAN DG ENERGY INC,,,,,,,,,0.431,0.597,0.607,0.114,0.287,0.324,0.258,0.163,,8
Utilities,Utilities,Electric Utilities,AMERICAN ELECTRIC POWER CO,0.136,0.082,0.07,0.063,0.077,0.105,0.145,0.133,0.134,0.09,0.071,0.078,0.085,0.097,0.104,0.104,0.106,17
Utilities,Utilities,Water Utilities,AMERICAN STATES WATER CO,0.102,0.095,0.075,0.102,0.14,0.107,0.093,0.066,0.099,0.094,0.094,0.094,0.076,0.106,0.074,0.087,,16
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS CO INC,,,,,,,0.092,0.096,0.12,0.086,0.08,0.092,0.094,0.093,0.085,0.098,,10
Utilities,Utilities,Water Utilities,AMERICAN WATER WORKS INC,0.075,0.071,,,,,,,,,,,,,,,,2
Utilities,Utilities,Electric Utilities,AMERICAS POWER PARTNERS INC,,0.619,4.527,0,,,,,,,,,,,,,,3
Utilities,Utilities,Gas Utilities,AMERIGAS PARTNERS  -LP,0.07,0.087,0.085,0.087,0.104,0.106,0.121,0.127,0.099,0.128,0.132,0.12,0.16,0.074,0.079,0.074,0.077,17
Utilities,Utilities,Electric Utilities,APPALACHIAN POWER,0.063,0.095,0.082,0.083,0.118,0.146,0.192,0.135,0.113,0.081,0.076,0.063,0.059,0.047,0.055,0.069,,16
Utilities,Utilities,Water Utilities,AQUA AMERICA INC,0.114,0.099,0.1,0.11,0.107,0.115,0.119,0.095,0.096,0.095,0.101,0.095,0.096,0.078,0.079,0.083,,16
Utilities,Utilities,Water Utilities,AQUAVENTURE HOLDINGS LTD,,,,,,,,,,,,,,,,0.183,,1
